,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1970-01-03,Raindrops Keep Fallin' On My Head,B.J. Thomas,3,1,10
2,1970-01-03,Leaving On A Jet Plane,"Peter, Paul & Mary",2,1,11
3,1970-01-03,Someday We'll Be Together,Diana Ross & The Supremes,1,1,9
4,1970-01-03,Down On The Corner/Fortunate Son,Creedence Clearwater Revival,4,3,11
5,1970-01-03,Na Na Hey Hey Kiss Him Goodbye,Steam,5,1,12
6,1970-01-03,Whole Lotta Love,Led Zeppelin,9,6,7
7,1970-01-03,I Want You Back,Jackson 5,8,7,8
8,1970-01-03,Venus,The Shocking Blue,19,8,4
9,1970-01-03,Holly Holy,Neil Diamond,6,6,10
10,1970-01-03,La La La (If I Had You),Bobby Sherman,14,10,7
11,1970-01-03,Midnight Cowboy,Ferrante & Teicher,11,11,10
12,1970-01-03,Come Together/Something,The Beatles,7,1,12
13,1970-01-03,Jam Up Jelly Tight,Tommy Roe,20,13,8
14,1970-01-03,Eli's Coming,Three Dog Night,12,10,11
15,1970-01-03,Don't Cry Daddy/Rubberneckin',Elvis Presley,23,15,6
16,1970-01-03,Take A Letter Maria,R.B. Greaves,10,2,12
17,1970-01-03,Jingle Jangle,The Archies,22,17,6
18,1970-01-03,Early In The Morning,Vanity Fare,30,18,7
19,1970-01-03,Backfield In Motion,Mel And Tim,18,10,12
20,1970-01-03,And When I Die,"Blood, Sweat & Tears",15,2,12
21,1970-01-03,These Eyes,Jr. Walker & The All Stars,16,16,11
22,1970-01-03,Evil Woman Don't Play Your Games With Me,CROW,28,22,11
23,1970-01-03,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,13,7,12
24,1970-01-03,Friendship Train,Gladys Knight And The Pips,17,17,11
25,1970-01-03,Up On Cripple Creek,The Band,26,25,10
26,1970-01-03,Smile A Little Smile For Me,The Flying Machine,24,5,14
27,1970-01-03,A Brand New Me,Dusty Springfield,27,24,9
28,1970-01-03,She,Tommy James And The Shondells,34,28,4
29,1970-01-03,Without Love (There Is Nothing),Tom Jones,50,29,2
30,1970-01-03,"Baby, I'm For Real",The Originals,25,14,15
31,1970-01-03,Ain't It Funky Now (Part 1),James Brown,36,31,7
