Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,1991-01-05,Justify My Love,Madonna,2.0,1.0,8.0,Madonna
2,1991-01-05,Because I Love You (The Postman Song),Stevie B,1.0,1.0,14.0,Stevie B
3,1991-01-05,From A Distance,Bette Midler,3.0,2.0,14.0,Bette Midler
4,1991-01-05,High Enough,Damn Yankees,6.0,4.0,16.0,Damn Yankees
5,1991-01-05,Tom's Diner,DNA Featuring Suzanne Vega,5.0,5.0,14.0,DNA Featuring Suzanne Vega
6,1991-01-05,Impulsive,Wilson Phillips,4.0,4.0,13.0,Wilson Phillips
7,1991-01-05,Love Will Never Do (Without You),Janet Jackson,11.0,7.0,8.0,Janet Jackson
8,1991-01-05,Sensitivity,Ralph Tresvant,10.0,8.0,10.0,Ralph Tresvant
9,1991-01-05,The First Time,Surface,16.0,9.0,10.0,Surface
10,1991-01-05,I'm Your Baby Tonight,Whitney Houston,7.0,1.0,12.0,Whitney Houston
11,1991-01-05,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,21.0,11.0,8.0,C+C Music Factory
12,1991-01-05,Freedom,George Michael,8.0,8.0,11.0,George Michael
13,1991-01-05,Miles Away,Winger,17.0,13.0,13.0,Winger
14,1991-01-05,Play That Funky Music,Vanilla Ice,23.0,14.0,5.0,Vanilla Ice
15,1991-01-05,The Way You Do The Things You Do,UB40,9.0,6.0,17.0,UB40
16,1991-01-05,After The Rain,Nelson,20.0,16.0,10.0,Nelson
17,1991-01-05,Something To Believe In,Poison,13.0,4.0,14.0,Poison
18,1991-01-05,"Miracle (From ""Young Guns II"")",Jon Bon Jovi,12.0,12.0,11.0,Jon Bon Jovi
19,1991-01-05,Love Takes Time,Mariah Carey,14.0,1.0,17.0,Mariah Carey
20,1991-01-05,I'm Not In Love,Will To Power,25.0,20.0,8.0,Will To Power
21,1991-01-05,Just Another Dream,Cathy Dennis,24.0,21.0,11.0,Cathy Dennis
22,1991-01-05,One And Only Man,Steve Winwood,18.0,18.0,10.0,Steve Winwood
23,1991-01-05,Groove Is In The Heart,Deee-Lite,15.0,4.0,17.0,Deee-Lite
24,1991-01-05,For You,The Outfield,26.0,24.0,10.0,The Outfield
25,1991-01-05,Hang In Long Enough,Phil Collins,27.0,25.0,9.0,Phil Collins
26,1991-01-05,Wiggle It,2 In A Room,19.0,15.0,14.0,2 In A Room
27,1991-01-05,On The Way Up,Elisa Fiorillo,29.0,27.0,15.0,Elisa Fiorillo
28,1991-01-05,Anything Is Possible,Debbie Gibson,32.0,28.0,8.0,Debbie Gibson
29,1991-01-05,I'll Give All My Love To You,Keith Sweat,36.0,29.0,6.0,Keith Sweat
30,1991-01-05,You're Amazing,Robert Palmer,33.0,30.0,8.0,Robert Palmer
31,1991-01-05,Gentle,Dino,34.0,31.0,9.0,Dino
32,1991-01-05,Disappear,INXS,39.0,32.0,7.0,INXS
33,1991-01-05,Feels Good,Tony Toni Tone,22.0,9.0,19.0,Tony Toni Tone
34,1991-01-05,More Than Words Can Say,Alias,28.0,2.0,18.0,Alias
35,1991-01-05,Stranded,Heart,30.0,13.0,16.0,Heart
36,1991-01-05,Around The Way Girl,LL Cool J,41.0,36.0,6.0,LL Cool J
