Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,2015-01-03,Blank Space,Taylor Swift,1.0,1.0,8.0,Taylor Swift
2,2015-01-03,Take Me To Church,Hozier,2.0,2.0,19.0,Hozier
3,2015-01-03,Uptown Funk!,Mark Ronson Featuring Bruno Mars,3.0,3.0,6.0,Mark Ronson Featuring Bruno Mars
4,2015-01-03,Thinking Out Loud,Ed Sheeran,6.0,4.0,11.0,Ed Sheeran
5,2015-01-03,Lips Are Movin,Meghan Trainor,4.0,4.0,9.0,Meghan Trainor
6,2015-01-03,I'm Not The Only One,Sam Smith,5.0,5.0,16.0,Sam Smith
7,2015-01-03,Love Me Harder,Ariana Grande & The Weeknd,9.0,7.0,11.0,Ariana Grande Featuring The Weeknd
8,2015-01-03,Jealous,Nick Jonas,11.0,8.0,15.0,Nick Jonas
9,2015-01-03,Animals,Maroon 5,8.0,3.0,18.0,Maroon 5
10,2015-01-03,All About That Bass,Meghan Trainor,7.0,1.0,24.0,Meghan Trainor
11,2015-01-03,Shake It Off,Taylor Swift,10.0,1.0,18.0,Taylor Swift
12,2015-01-03,I Don't F**k With You,Big Sean Featuring E-40,14.0,11.0,13.0,Big Sean Featuring E-40
13,2015-01-03,The Heart Wants What It Wants,Selena Gomez,13.0,6.0,7.0,Selena Gomez
14,2015-01-03,Wasted Love,Matt McAndrew,,,,Matt McAndrew
15,2015-01-03,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",12.0,12.0,8.0,Nicki Minaj Featuring Drake Featuring Lil Wayne Featuring Chris Brown
16,2015-01-03,Habits (Stay High),Tove Lo,15.0,3.0,30.0,Tove Lo
17,2015-01-03,Tuesday,I LOVE MAKONNEN Featuring Drake,16.0,12.0,13.0,I LOVE MAKONNEN Featuring Drake
18,2015-01-03,Waves,Mr. Probz,18.0,14.0,18.0,Mr. Probz
19,2015-01-03,Don't,Ed Sheeran,17.0,9.0,28.0,Ed Sheeran
20,2015-01-03,Centuries,Fall Out Boy,26.0,20.0,15.0,Fall Out Boy
21,2015-01-03,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,23.0,12.0,4.0,James Newton Howard Featuring Jennifer Lawrence
22,2015-01-03,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",19.0,3.0,21.0,Jessie J Featuring Ariana Grande Featuring Nicki Minaj
23,2015-01-03,No Type,Rae Sremmurd,22.0,16.0,13.0,Rae Sremmurd
24,2015-01-03,7/11,Beyonce,20.0,13.0,4.0,Beyonce
25,2015-01-03,Hot Boy,Bobby Shmurda,24.0,6.0,21.0,Bobby Shmurda
26,2015-01-03,Blame,Calvin Harris Featuring John Newman,21.0,19.0,15.0,Calvin Harris Featuring John Newman
27,2015-01-03,Stay With Me,Sam Smith,25.0,2.0,37.0,Sam Smith
28,2015-01-03,CoCo,O.T. Genasis,27.0,27.0,5.0,O.T. Genasis
29,2015-01-03,Beg For It,Iggy Azalea Featuring M0,28.0,28.0,9.0,Iggy Azalea Featuring M0
30,2015-01-03,Don't Tell 'Em,Jeremih Featuring YG,29.0,6.0,26.0,Jeremih Featuring YG
31,2015-01-03,I Don't Mind,Usher Featuring Juicy J,37.0,31.0,5.0,Usher Featuring Juicy J
32,2015-01-03,Riptide,Vance Joy,32.0,32.0,26.0,Vance Joy
33,2015-01-03,Black Widow,Iggy Azalea Featuring Rita Ora,30.0,3.0,25.0,Iggy Azalea Featuring Rita Ora
34,2015-01-03,My Baby's Got A Smile On Her Face,Craig Wayne Boyd,,,,Craig Wayne Boyd
35,2015-01-03,All I Want For Christmas Is You,Mariah Carey,40.0,21.0,10.0,Mariah Carey
36,2015-01-03,Heroes (We Could Be),Alesso Featuring Tove Lo,35.0,35.0,12.0,Alesso Featuring Tove Lo
37,2015-01-03,Trumpets,Jason Derulo,31.0,14.0,30.0,Jason Derulo
38,2015-01-03,Shotgun Rider,Tim McGraw,39.0,38.0,12.0,Tim McGraw
39,2015-01-03,Stolen Dance,Milky Chance,42.0,39.0,22.0,Milky Chance
40,2015-01-03,Chandelier,Sia,34.0,8.0,33.0,Sia
41,2015-01-03,Something In The Water,Carrie Underwood,38.0,24.0,12.0,Carrie Underwood
42,2015-01-03,Santa Tell Me,Ariana Grande,64.0,42.0,4.0,Ariana Grande
43,2015-01-03,Feeling Myself,Nicki Minaj Featuring Beyonce,,,,Nicki Minaj Featuring Beyonce
44,2015-01-03,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,33.0,16.0,23.0,Rich Gang Featuring Young Thug Featuring Rich Homie Quan
45,2015-01-03,Rather Be,Clean Bandit Featuring Jess Glynne,36.0,10.0,28.0,Clean Bandit Featuring Jess Glynne
46,2015-01-03,Try Me,DeJ Loaf,45.0,45.0,9.0,DeJ Loaf
47,2015-01-03,Ghost,Ella Henderson,57.0,47.0,8.0,Ella Henderson
48,2015-01-03,Anaconda,Nicki Minaj,55.0,2.0,20.0,Nicki Minaj
49,2015-01-03,Rude,MAGIC!,43.0,1.0,35.0,MAGIC!
50,2015-01-03,Night Changes,One Direction,53.0,31.0,5.0,One Direction
51,2015-01-03,Talladega,Eric Church,51.0,51.0,9.0,Eric Church
52,2015-01-03,"Touchin, Lovin",Trey Songz Featuring Nicki Minaj,47.0,43.0,16.0,Trey Songz Featuring Nicki Minaj
53,2015-01-03,Velvet,Chris Jamison,,,,Chris Jamison
54,2015-01-03,Hold You Down,"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",44.0,39.0,16.0,"DJ Khaled Featuring Chris Brown Featuring August Alsina, Future Featuring Jeremih"
55,2015-01-03,L.A.LOVE (la la),Fergie,41.0,27.0,11.0,Fergie
56,2015-01-03,About The Money,T.I. Featuring Young Thug,50.0,42.0,20.0,T.I. Featuring Young Thug
57,2015-01-03,Sun Daze,Florida Georgia Line,58.0,57.0,9.0,Florida Georgia Line
58,2015-01-03,"Mary, Did You Know?",Pentatonix,48.0,26.0,5.0,Pentatonix
59,2015-01-03,Perfect Storm,Brad Paisley,52.0,52.0,11.0,Brad Paisley
60,2015-01-03,I Bet My Life,Imagine Dragons,63.0,53.0,7.0,Imagine Dragons
61,2015-01-03,I See You,Luke Bryan,61.0,61.0,4.0,Luke Bryan
62,2015-01-03,Bed Of Lies,Nicki Minaj Featuring Skylar Grey,,62.0,4.0,Nicki Minaj Featuring Skylar Grey
63,2015-01-03,Lost Without U,Chris Jamison & Adam Levine,,,,Chris Jamison Featuring Adam Levine
64,2015-01-03,I Lived,OneRepublic,67.0,64.0,4.0,OneRepublic
65,2015-01-03,Masterpiece,Jessie J,,,,Jessie J
66,2015-01-03,Lonely Tonight,Blake Shelton Featuring Ashley Monroe,54.0,54.0,3.0,Blake Shelton Featuring Ashley Monroe
67,2015-01-03,Til It's Gone,Kenny Chesney,68.0,67.0,8.0,Kenny Chesney
68,2015-01-03,Dangerous,David Guetta Featuring Sam Martin,60.0,56.0,9.0,David Guetta Featuring Sam Martin
69,2015-01-03,Prayer In C,Lillywood & Robin Schulz,79.0,69.0,3.0,Lillywood Featuring Robin Schulz
70,2015-01-03,Steal My Girl,One Direction,70.0,13.0,12.0,One Direction
71,2015-01-03,Close Your Eyes,Parmalee,69.0,69.0,13.0,Parmalee
72,2015-01-03,Drinking Class,Lee Brice,72.0,72.0,10.0,Lee Brice
73,2015-01-03,Just Gettin' Started,Jason Aldean,84.0,61.0,4.0,Jason Aldean
74,2015-01-03,Soldier,Damien,,,,Damien
75,2015-01-03,Sledgehammer,Fifth Harmony,94.0,75.0,4.0,Fifth Harmony
76,2015-01-03,Make Me Wanna,Thomas Rhett,80.0,76.0,6.0,Thomas Rhett
