,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1966-01-08,We Can Work It Out,The Beatles,2,1,4
2,1966-01-08,The Sound Of Silence,Simon & Garfunkel,1,1,8
3,1966-01-08,She's Just My Style,Gary Lewis And The Playboys,16,3,5
4,1966-01-08,Flowers On The Wall,The Statler Brothers,12,4,9
5,1966-01-08,Ebb Tide,The Righteous Brothers,8,5,6
6,1966-01-08,Over And Over,The Dave Clark Five,5,1,9
7,1966-01-08,I Got You (I Feel Good),James Brown And The Famous Flames,3,3,9
8,1966-01-08,Five O'Clock World,The Vogues,11,8,7
9,1966-01-08,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,4,1,12
10,1966-01-08,Day Tripper,The Beatles,18,10,4
11,1966-01-08,Let's Hang On!,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",6,3,14
12,1966-01-08,Fever,The McCoys,7,7,9
13,1966-01-08,No Matter What Shape (Your Stomach's In),The T-Bones,22,13,5
14,1966-01-08,As Tears Go By,The Rolling Stones,48,14,3
15,1966-01-08,A Must To Avoid,Herman's Hermits,27,15,3
16,1966-01-08,You Didn't Have To Be So Nice,The Lovin' Spoonful,21,16,7
17,1966-01-08,Make The World Go Away,Eddy Arnold,10,6,13
18,1966-01-08,The Duck,Jackie Lee,24,18,8
19,1966-01-08,Spanish Eyes,Al Martino,25,19,6
20,1966-01-08,England Swings,Roger Miller,9,8,10
21,1966-01-08,Puppet On A String,Elvis Presley With The Jordanaires,14,14,9
22,1966-01-08,One Has My Name (The Other Has My Heart),Barry Young,13,13,10
23,1966-01-08,Just Like Me,Paul Revere & The Raiders Featuring Mark Lindsay,28,23,6
24,1966-01-08,The Men In My Little Girl's Life,Mike Douglas,57,24,3
25,1966-01-08,It's My Life,The Animals,23,23,10
26,1966-01-08,Satin Pillows,Bobby Vinton,29,26,6
27,1966-01-08,Don't Think Twice,The Wonder Who?,17,12,10
28,1966-01-08,Attack,The Toys,33,28,4
29,1966-01-08,A Sweet Woman Like You,Joe Tex,34,29,6
30,1966-01-08,Thunderball,Tom Jones,36,30,5
31,1966-01-08,Sunday And Me,Jay & The Americans,26,18,8
32,1966-01-08,Jenny Take A Ride!,Mitch Ryder And The Detroit Wheels,43,32,5
33,1966-01-08,You've Been Cheatin',The Impressions,37,33,8
34,1966-01-08,The Little Girl I Once Knew,The Beach Boys,20,20,7
35,1966-01-08,Lies,The Knickerbockers,40,35,6
36,1966-01-08,I Can Never Go Home Anymore,The Shangri-Las,15,6,10
37,1966-01-08,Sandy,Ronny And The Daytonas,45,37,6
38,1966-01-08,A Well Respected Man,The Kinks,50,38,6
39,1966-01-08,Look Through Any Window,The Hollies,49,39,8
40,1966-01-08,Taste Of Honey,Herb Alpert & The Tijuana Brass,31,7,16
41,1966-01-08,I've Got To Be Somebody,Billy Joe Royal,44,41,6
42,1966-01-08,Harlem Nocturne,The Viscounts,39,39,27
43,1966-01-08,Hang On Sloopy,Ramsey Lewis Trio,19,11,8
44,1966-01-08,Apple Of My Eye,Roy Head And The Traits,42,32,8
45,1966-01-08,Crying Time,Ray Charles,56,45,5
46,1966-01-08,Under Your Spell Again,Johnny Rivers,60,46,4
47,1966-01-08,It Was A Very Good Year,Frank Sinatra,58,47,3
48,1966-01-08,Are You There (With Another Girl),Dionne Warwick,52,48,5
49,1966-01-08,Second Hand Rose,Barbra Streisand,59,49,4
50,1966-01-08,It's Good News Week,Hedgehoppers Anonymous,54,50,6
51,1966-01-08,A Young Girl,Noel Harrison,55,51,6
52,1966-01-08,My Love,Petula Clark,74,52,3
53,1966-01-08,Broomstick Cowboy,Bobby Goldsboro,63,53,4
54,1966-01-08,Jealous Heart,Connie Francis,47,47,7
55,1966-01-08,Crystal Chandelier,Vic Dana,51,51,6
56,1966-01-08,Zorba The Greek,Herb Alpert & The Tijuana Brass,67,56,3
57,1966-01-08,Uptight (Everything's Alright),Stevie Wonder,78,57,4
58,1966-01-08,Barbara Ann,The Beach Boys,81,58,2
59,1966-01-08,Going To A Go-Go,The Miracles,69,59,3
60,1966-01-08,Please Don't Fight It,"Dino, Desi & Billy",64,60,5
61,1966-01-08,Michael,The C.O.D.'s,65,61,7
62,1966-01-08,Recovery,Fontella Bass,79,62,3
63,1966-01-08,Princess In Rags,Gene Pitney,46,37,8
64,1966-01-08,Tell Me Why,Elvis Presley With The Jordanaires,75,64,2
65,1966-01-08,Don't Mess With Bill,The Marvelettes,80,65,2
66,1966-01-08,Lightnin' Strikes,Lou Christie,82,66,3
