,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,2011-01-08,Grenade,Bruno Mars,2,1,13
2,2011-01-08,Firework,Katy Perry,1,1,10
3,2011-01-08,We R Who We R,Ke$ha,5,1,9
4,2011-01-08,What's My Name?,Rihanna Featuring Drake,3,1,10
5,2011-01-08,Raise Your Glass,P!nk,4,1,12
6,2011-01-08,Black And Yellow,Wiz Khalifa,12,6,12
7,2011-01-08,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,13,7,5
8,2011-01-08,Bottoms Up,Trey Songz Featuring Nicki Minaj,11,6,20
9,2011-01-08,The Time (Dirty Bit),The Black Eyed Peas,8,4,7
10,2011-01-08,Just The Way You Are,Bruno Mars,6,1,23
11,2011-01-08,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,9,9,2
12,2011-01-08,Just A Dream,Nelly,10,3,19
13,2011-01-08,Only Girl (In The World),Rihanna,7,1,16
14,2011-01-08,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,18,14,16
15,2011-01-08,Like A G6,Far*East Movement Featuring Cataracs & Dev,14,1,20
16,2011-01-08,Dynamite,Taio Cruz,17,2,30
17,2011-01-08,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,15,4,24
18,2011-01-08,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,19,18,5
19,2011-01-08,Yeah 3X,Chris Brown,20,19,9
20,2011-01-08,Please Don't Go,Mike Posner,21,16,14
21,2011-01-08,Teenage Dream,Katy Perry,22,1,23
22,2011-01-08,Stereo Love,Edward Maya & Vika Jigulina,16,16,12
23,2011-01-08,Whip My Hair,Willow,35,11,10
24,2011-01-08,Animal,Neon Trees,23,13,30
25,2011-01-08,Right Above It,Lil Wayne Featuring Drake,28,6,19
26,2011-01-08,F**k You! (Forget You),Cee Lo Green,24,9,18
27,2011-01-08,Back To December,Taylor Swift,26,6,9
28,2011-01-08,Secrets,OneRepublic,25,21,27
29,2011-01-08,No Love,Eminem Featuring Lil Wayne,37,23,17
30,2011-01-08,I Just Had Sex,The Lonely Island Featuring Akon,,,
31,2011-01-08,Pretty Girl Rock,Keri Hilson,42,31,5
32,2011-01-08,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,27,27,13
33,2011-01-08,If I Die Young,The Band Perry,34,19,25
34,2011-01-08,Love Like Woe,The Ready Set,48,27,20
35,2011-01-08,Love The Way You Lie,Eminem Featuring Rihanna,44,1,27
36,2011-01-08,Club Can't Handle Me,Flo Rida Featuring David Guetta,32,9,26
37,2011-01-08,Right Thru Me,Nicki Minaj,29,26,13
38,2011-01-08,I Like It,Enrique Iglesias Featuring Pitbull,33,4,33
39,2011-01-08,Rocketeer,Far*East Movement Featuring Ryan Tedder,41,39,4
40,2011-01-08,Stuck Like Glue,Sugarland,47,17,22
41,2011-01-08,Higher,Taio Cruz Featuring Travie McCoy,80,41,2
42,2011-01-08,Mine,Taylor Swift,52,3,21
43,2011-01-08,Jar Of Hearts,Christina Perri,46,34,13
44,2011-01-08,Deuces,Chris Brown Featuring Tyga & Kevin McCall,38,14,26
45,2011-01-08,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,30,30,13
46,2011-01-08,My Kinda Party,Jason Aldean,43,39,18
47,2011-01-08,Felt Good On My Lips,Tim McGraw,40,26,8
48,2011-01-08,Somewhere With You,Kenny Chesney,36,36,8
49,2011-01-08,Hold My Hand,Michael Jackson Duet With Akon,39,39,6
