Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,1963-01-05,Telstar,The Tornadoes,1.0,1.0,10.0,The Tornadoes
2,1963-01-05,Go Away Little Girl,Steve Lawrence,4.0,2.0,9.0,Steve Lawrence
3,1963-01-05,Limbo Rock,Chubby Checker,2.0,2.0,18.0,Chubby Checker
4,1963-01-05,Bobby's Girl,Marcie Blane,3.0,3.0,12.0,Marcie Blane
5,1963-01-05,Big Girls Don't Cry,The 4 Seasons,5.0,1.0,12.0,The 4 Seasons
6,1963-01-05,Hotel Happiness,Brook Benton,10.0,6.0,7.0,Brook Benton
7,1963-01-05,Pepino The Italian Mouse,Lou Monte,11.0,7.0,5.0,Lou Monte
8,1963-01-05,Return To Sender,Elvis Presley With The Jordanaires,6.0,2.0,12.0,Elvis Presley Featuring The Jordanaires
9,1963-01-05,Zip-A-Dee Doo-Dah,Bob B. Soxx And The Blue Jeans,9.0,9.0,8.0,Bob B. Soxx And The Blue Jeans
10,1963-01-05,Tell Him,The Exciters,14.0,10.0,6.0,The Exciters
11,1963-01-05,My Dad,Paul Petersen,20.0,11.0,8.0,Paul Petersen
12,1963-01-05,You Are My Sunshine,Ray Charles,7.0,7.0,8.0,Ray Charles
13,1963-01-05,Release Me,"Esther Phillips ""Little Esther""",8.0,8.0,11.0,"Esther Phillips ""Little Esther"""
14,1963-01-05,The Night Has A Thousand Eyes,Bobby Vee,21.0,14.0,5.0,Bobby Vee
15,1963-01-05,Two Lovers,Mary Wells,19.0,15.0,6.0,Mary Wells
16,1963-01-05,The Lonely Bull (El Solo Torro),Herb Alpert & The Tijuana Brass,15.0,6.0,11.0,Herb Alpert Featuring The Tijuana Brass
17,1963-01-05,Dear Lonely Hearts,Nat King Cole,13.0,13.0,9.0,Nat King Cole
18,1963-01-05,Chains,The Cookies,17.0,17.0,9.0,The Cookies
19,1963-01-05,Keep Your Hands Off My Baby,Little Eva,12.0,12.0,10.0,Little Eva
20,1963-01-05,It's Up To You,Rick Nelson,30.0,20.0,4.0,Rick Nelson
21,1963-01-05,Don't Hang Up,The Orlons,16.0,4.0,13.0,The Orlons
22,1963-01-05,Up On The Roof,The Drifters,29.0,22.0,10.0,The Drifters
23,1963-01-05,Wiggle Wobble,Les Cooper and the Soul Rockers,24.0,23.0,12.0,Les Cooper and the Soul Rockers
24,1963-01-05,Love Came To Me,Dion,18.0,10.0,9.0,Dion
25,1963-01-05,I Saw Linda Yesterday,Dickey Lee,39.0,25.0,5.0,Dickey Lee
26,1963-01-05,Everybody Loves A Lover,The Shirelles,27.0,26.0,6.0,The Shirelles
27,1963-01-05,Ruby Ann,Marty Robbins,22.0,18.0,8.0,Marty Robbins
28,1963-01-05,Shutters And Boards,Jerry Wallace,34.0,28.0,8.0,Jerry Wallace
29,1963-01-05,Half Heaven - Half Heartache,Gene Pitney,43.0,29.0,4.0,Gene Pitney
30,1963-01-05,Monsters' Holiday,"Bobby ""Boris"" Pickett And The Crypt-Kickers",31.0,30.0,5.0,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
31,1963-01-05,Ride!,Dee Dee Sharp,25.0,5.0,12.0,Dee Dee Sharp
32,1963-01-05,Don't Make Me Over,Dionne Warwick,46.0,32.0,5.0,Dionne Warwick
33,1963-01-05,(Dance With The) Guitar Man,Duane Eddy and the Rebelettes,33.0,12.0,14.0,Duane Eddy and the Rebelettes
34,1963-01-05,Trouble Is My Middle Name,Bobby Vinton,49.0,34.0,5.0,Bobby Vinton
35,1963-01-05,Loop De Loop,Johnny Thunder,61.0,35.0,3.0,Johnny Thunder
36,1963-01-05,Your Cheating Heart,Ray Charles,32.0,29.0,8.0,Ray Charles
37,1963-01-05,See See Rider,LaVern Baker,44.0,37.0,6.0,LaVern Baker
38,1963-01-05,Rumors,Johnny Crawford,26.0,12.0,10.0,Johnny Crawford
39,1963-01-05,I'm Gonna' Be Warm This Winter,Connie Francis,51.0,39.0,4.0,Connie Francis
40,1963-01-05,Let's Go (pony),The Routers,35.0,19.0,10.0,The Routers
41,1963-01-05,Desafinado,Stan Getz/Charlie Byrd,37.0,15.0,15.0,Stan Getz/Charlie Byrd
