,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1984-01-07,Say Say Say,Paul McCartney And Michael Jackson,1,1,13
2,1984-01-07,Say It Isn't So,Daryl Hall John Oates,2,2,11
3,1984-01-07,Union Of The Snake,Duran Duran,3,3,10
4,1984-01-07,Owner Of A Lonely Heart,Yes,4,4,10
5,1984-01-07,Twist Of Fate,Olivia Newton-John,8,5,10
6,1984-01-07,Talking In Your Sleep,The Romantics,12,6,14
7,1984-01-07,Break My Stride,Matthew Wilder,10,7,17
8,1984-01-07,I Guess That's Why They Call It The Blues,Elton John,11,8,11
9,1984-01-07,Undercover Of The Night,The Rolling Stones,9,9,9
10,1984-01-07,All Night Long (All Night),Lionel Richie,5,1,17
11,1984-01-07,Uptown Girl,Billy Joel,6,3,16
12,1984-01-07,Love Is A Battlefield,Pat Benatar,7,5,16
13,1984-01-07,Karma Chameleon,Culture Club,17,13,6
14,1984-01-07,Major Tom (Coming Home),Peter Schilling,14,14,16
15,1984-01-07,Running With The Night,Lionel Richie,21,15,7
16,1984-01-07,Church Of The Poison Mind,Culture Club,13,10,12
17,1984-01-07,Joanna,Kool & The Gang,22,17,10
18,1984-01-07,Read 'Em And Weep,Barry Manilow,23,18,8
19,1984-01-07,Synchronicity II,The Police,16,16,10
20,1984-01-07,Cum On Feel The Noize,Quiet Riot,15,5,17
21,1984-01-07,The Curly Shuffle,Jump 'n The Saddle,32,21,6
22,1984-01-07,That's All,Genesis,27,22,7
23,1984-01-07,If I'd Been The One,Thirty Eight Special,25,23,9
24,1984-01-07,I Still Can't Get Over Loving You,Ray Parker Jr.,28,24,9
25,1984-01-07,Time Will Reveal,Debarge,26,25,13
26,1984-01-07,Pink Houses,John Mellencamp,29,26,5
27,1984-01-07,Holiday,Madonna,31,27,11
28,1984-01-07,Why Me?,Irene Cara,19,13,12
29,1984-01-07,Islands In The Stream,Kenny Rogers Duet With Dolly Parton,18,1,20
30,1984-01-07,Think Of Laura,Christopher Cross,38,30,5
31,1984-01-07,Stay With Me Tonight,Jeffrey Osborne,33,31,13
32,1984-01-07,Gold,Spandau Ballet,34,32,8
33,1984-01-07,The Sign Of Fire,The Fixx,35,33,7
34,1984-01-07,So Bad,Paul McCartney,49,34,3
35,1984-01-07,In A Big Country,Big Country,20,17,12
36,1984-01-07,Baby I Lied,Deborah Allen,39,36,13
37,1984-01-07,Middle Of The Road,Pretenders,43,37,4
38,1984-01-07,Let The Music Play,Shannon,42,38,9
39,1984-01-07,An Innocent Man,Billy Joel,44,39,4
40,1984-01-07,In The Mood,Robert Plant,40,40,8
41,1984-01-07,Remember The Night,The Motels,45,41,6
42,1984-01-07,Send Me An Angel,Real Life,46,42,9
43,1984-01-07,Nightbird,Stevie Nicks,48,43,4
44,1984-01-07,When The Lights Go Out,Naked Eyes,37,37,12
45,1984-01-07,Yah Mo B There,James Ingram With Michael McDonald,50,45,5
46,1984-01-07,Ebony Eyes,Rick James And Smokey Robinson,52,46,5
47,1984-01-07,The Dream,Irene Cara,58,47,5
48,1984-01-07,Take Me Back,Bonnie Tyler,51,48,6
49,1984-01-07,Ain't Nobody,Chaka Khan,30,22,15
50,1984-01-07,99 Luftballons,Nena,62,50,5
51,1984-01-07,Crumblin' Down,John Cougar Mellencamp,24,9,13
52,1984-01-07,Save The Last Dance For Me,Dolly Parton,60,52,5
53,1984-01-07,Heart And Soul,Huey Lewis & The News,36,8,18
54,1984-01-07,The Politics Of Dancing,Re-flex,59,54,7
55,1984-01-07,Big Crash,Eddie Money,55,55,8
56,1984-01-07,What's New,Linda Ronstadt & The Nelson Riddle Orchestra,53,53,11
57,1984-01-07,Almost Over You,Sheena Easton,63,57,5
58,1984-01-07,(You Can Still) Rock In America,Night Ranger,61,58,6
59,1984-01-07,Give It Up,KC,67,59,3
60,1984-01-07,You Don't Believe,The Alan Parsons Project,54,54,8
61,1984-01-07,Wrapped Around Your Finger,The Police,,,
62,1984-01-07,Girls Just Want To Have Fun,Cyndi Lauper,69,62,4
63,1984-01-07,Wet My Whistle,Midnight Star,64,63,7
64,1984-01-07,P.Y.T. (Pretty Young Thing),Michael Jackson,47,10,14
65,1984-01-07,Souls,Rick Springfield,41,23,13
66,1984-01-07,You're Looking Like Love To Me,Peabo Bryson & Roberta Flack,74,66,3
67,1984-01-07,I Won't Stand In Your Way,Stray Cats,56,35,11
68,1984-01-07,The Way He Makes Me Feel,Barbra Streisand,57,40,12
69,1984-01-07,Lick It Up,KISS,66,66,9
70,1984-01-07,Tell Me If You Still Care,The S.O.S. Band,79,70,8
71,1984-01-07,Gloria,The Doors,73,71,6
72,1984-01-07,Bang Your Head (Metal Health),Quiet Riot,,,
73,1984-01-07,Total Eclipse Of The Heart,Bonnie Tyler,68,1,26
74,1984-01-07,"Tonight, I Celebrate My Love",Peabo Bryson/Roberta Flack,70,16,27
75,1984-01-07,LET's PRETEND WE'rE MARRIED,Prince,82,75,4
76,1984-01-07,Telefone (long Distance Love Affair),Sheena Easton,71,9,21
77,1984-01-07,Someone Like You,Michael Stanley Band,81,77,3
78,1984-01-07,This Must Be The Place (Naive Melody),Talking Heads,65,62,7
79,1984-01-07,Let's Go Up,Diana Ross,83,79,4
80,1984-01-07,Tender Is The Night,Jackson Browne,76,25,16
81,1984-01-07,Sweetheart Like You,Bob Dylan,85,81,4
82,1984-01-07,Suddenly Last Summer,The Motels,72,9,19
83,1984-01-07,Baby I'm Hooked,ConFunkShun,,,
84,1984-01-07,Rappin' Rodney,Rodney Dangerfield,86,84,6
85,1984-01-07,Just One More Time,The Headpins,89,85,3
86,1984-01-07,Electric Kingdom,Twilight 22,90,86,4
87,1984-01-07,Touch A Four Leaf Clover,Atlantic Starr,87,87,5
88,1984-01-07,Something's On Your Mind,D Train,,,
89,1984-01-07,Making Love Out Of Nothing At All,Air Supply,80,2,24
90,1984-01-07,If Only You Knew,Patti LaBelle,,,
91,1984-01-07,I Need You,The Pointer Sisters,88,48,14
92,1984-01-07,Street Of Dreams,Rainbow,75,60,10
93,1984-01-07,Action,"Evelyn ""Champagne"" King",,,
94,1984-01-07,The Smile Has Left Your Eyes,Asia,78,34,13
95,1984-01-07,The Sound Of Goodbye,Crystal Gayle,84,84,5
96,1984-01-07,Red Hot,Herb Alpert,77,77,5
97,1984-01-07,Invisible Hands,Kim Carnes,95,40,13
98,1984-01-07,Magnetic,"Earth, Wind & Fire",93,57,9
99,1984-01-07,State Of The Union,Industry,97,81,8
100,1984-01-07,Allergies,Paul Simon,96,44,10
1,1984-01-14,Say Say Say,Paul McCartney And Michael Jackson,1,1,14
2,1984-01-14,Owner Of A Lonely Heart,Yes,4,2,11
3,1984-01-14,Say It Isn't So,Daryl Hall John Oates,2,2,12
4,1984-01-14,Union Of The Snake,Duran Duran,3,3,11
5,1984-01-14,Twist Of Fate,Olivia Newton-John,5,5,11
6,1984-01-14,Talking In Your Sleep,The Romantics,6,6,15
7,1984-01-14,Break My Stride,Matthew Wilder,7,7,18
8,1984-01-14,I Guess That's Why They Call It The Blues,Elton John,8,8,12
9,1984-01-14,Karma Chameleon,Culture Club,13,9,7
10,1984-01-14,Running With The Night,Lionel Richie,15,10,8
11,1984-01-14,All Night Long (All Night),Lionel Richie,10,1,18
12,1984-01-14,Undercover Of The Night,The Rolling Stones,9,9,10
13,1984-01-14,Joanna,Kool & The Gang,17,13,11
14,1984-01-14,Uptown Girl,Billy Joel,11,3,17
15,1984-01-14,Love Is A Battlefield,Pat Benatar,12,5,17
16,1984-01-14,The Curly Shuffle,Jump 'n The Saddle,21,16,7
17,1984-01-14,That's All,Genesis,22,17,8
18,1984-01-14,Read 'Em And Weep,Barry Manilow,18,18,9
19,1984-01-14,Major Tom (Coming Home),Peter Schilling,14,14,17
20,1984-01-14,I Still Can't Get Over Loving You,Ray Parker Jr.,24,20,10
21,1984-01-14,Think Of Laura,Christopher Cross,30,21,6
22,1984-01-14,Pink Houses,John Mellencamp,26,22,6
23,1984-01-14,If I'd Been The One,Thirty Eight Special,23,23,10
24,1984-01-14,Time Will Reveal,Debarge,25,24,14
25,1984-01-14,Holiday,Madonna,27,25,12
26,1984-01-14,Let The Music Play,Shannon,38,26,10
27,1984-01-14,Church Of The Poison Mind,Culture Club,16,10,13
28,1984-01-14,An Innocent Man,Billy Joel,39,28,5
29,1984-01-14,Gold,Spandau Ballet,32,29,9
30,1984-01-14,Stay With Me Tonight,Jeffrey Osborne,31,30,14
31,1984-01-14,So Bad,Paul McCartney,34,31,4
32,1984-01-14,The Sign Of Fire,The Fixx,33,32,8
