Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,1971-01-02,My Sweet Lord/Isn't It A Pity,George Harrison,1.0,1.0,6.0,George Harrison
2,1971-01-02,One Less Bell To Answer,The 5th Dimension,2.0,2.0,11.0,The 5th Dimension
3,1971-01-02,Knock Three Times,Dawn,4.0,3.0,7.0,Dawn
4,1971-01-02,The Tears Of A Clown,Smokey Robinson & The Miracles,3.0,1.0,12.0,Smokey Robinson Featuring The Miracles
5,1971-01-02,Black Magic Woman,Santana,5.0,5.0,8.0,Santana
6,1971-01-02,I Think I Love You,The Partridge Family Starring Shirley Jones Featuring David Cassidy,6.0,1.0,13.0,The Partridge Family Starring Shirley Jones Featuring David Cassidy
7,1971-01-02,Does Anybody Really Know What Time It Is?,Chicago,8.0,7.0,9.0,Chicago
8,1971-01-02,Stoned Love,The Supremes,7.0,7.0,9.0,The Supremes
9,1971-01-02,Domino,Van Morrison,12.0,9.0,8.0,Van Morrison
10,1971-01-02,Gypsy Woman,Brian Hyland,9.0,3.0,18.0,Brian Hyland
11,1971-01-02,For The Good Times,Ray Price,14.0,11.0,19.0,Ray Price
12,1971-01-02,Stoney End,Barbra Streisand,13.0,12.0,10.0,Barbra Streisand
13,1971-01-02,No Matter What,Badfinger,10.0,8.0,10.0,Badfinger
14,1971-01-02,Pay To The Piper,Chairman Of The Board,23.0,14.0,8.0,Chairman Of The Board
15,1971-01-02,It's Impossible,Perry Como,19.0,15.0,8.0,Perry Como
16,1971-01-02,River Deep - Mountain High,The Supremes & Four Tops,17.0,16.0,6.0,The Supremes Featuring Four Tops
17,1971-01-02,Groove Me,King Floyd,18.0,17.0,11.0,King Floyd
18,1971-01-02,Rose Garden,Lynn Anderson,33.0,18.0,6.0,Lynn Anderson
19,1971-01-02,5-10-15-20 (25-30 Years Of Love),The Presidents,11.0,11.0,14.0,The Presidents
20,1971-01-02,One Man Band,Three Dog Night,22.0,20.0,7.0,Three Dog Night
21,1971-01-02,Lonely Days,Bee Gees,26.0,21.0,5.0,Bee Gees
22,1971-01-02,He Ain't Heavy...He's My Brother,Neil Diamond,20.0,20.0,9.0,Neil Diamond
23,1971-01-02,If I Were Your Woman,Gladys Knight And The Pips,24.0,23.0,6.0,Gladys Knight And The Pips
24,1971-01-02,Immigrant Song,Led Zeppelin,28.0,24.0,7.0,Led Zeppelin
25,1971-01-02,Your Song,Elton John,29.0,25.0,6.0,Elton John
26,1971-01-02,Be My Baby,Andy Kim,21.0,17.0,9.0,Andy Kim
27,1971-01-02,Love The One You're With,Stephen Stills,31.0,27.0,4.0,Stephen Stills
28,1971-01-02,We've Only Just Begun,Carpenters,15.0,2.0,17.0,Carpenters
29,1971-01-02,I'll Be There,Jackson 5,16.0,1.0,16.0,Jackson 5
30,1971-01-02,Can't Stop Loving You,Tom Jones,25.0,25.0,7.0,Tom Jones
31,1971-01-02,Games,Redeye,39.0,31.0,9.0,Redeye
32,1971-01-02,We Gotta Get You A Woman,Runt,40.0,32.0,8.0,Runt
33,1971-01-02,Stop The War Now,Edwin Starr,50.0,33.0,3.0,Edwin Starr
34,1971-01-02,(Don't Worry) If There's A Hell Below We're All Going To Go,Curtis Mayfield,48.0,34.0,7.0,Curtis Mayfield
35,1971-01-02,I Really Don't Want To Know/There Goes My Everything,Elvis Presley,56.0,35.0,2.0,Elvis Presley
36,1971-01-02,Born To Wander,Rare Earth,53.0,36.0,4.0,Rare Earth
37,1971-01-02,I'm Not My Brothers Keeper,The Flaming Ember,34.0,34.0,12.0,The Flaming Ember
38,1971-01-02,Do It,Neil Diamond,36.0,36.0,9.0,Neil Diamond
39,1971-01-02,After Midnight,Eric Clapton,38.0,18.0,12.0,Eric Clapton
40,1971-01-02,Mr. Bojangles,Nitty Gritty Dirt Band,44.0,40.0,7.0,Nitty Gritty Dirt Band
41,1971-01-02,If You Were Mine,Ray Charles,42.0,41.0,14.0,Ray Charles
42,1971-01-02,Most Of All,B.J. Thomas,49.0,42.0,6.0,B.J. Thomas
43,1971-01-02,Silver Moon,Michael Nesmith & The First National Band,45.0,43.0,6.0,Michael Nesmith Featuring The First National Band
44,1971-01-02,Border Song (Holy Moses)/You And Me,Aretha Franklin,37.0,37.0,7.0,Aretha Franklin
