,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1959-01-05,The Chipmunk Song,The Chipmunks With David Seville,1,1,6
2,1959-01-05,Smoke Gets In Your Eyes,The Platters,2,2,8
3,1959-01-05,"To Know Him, Is To Love Him",The Teddy Bears,3,1,16
4,1959-01-05,Problems,The Everly Brothers,5,2,9
5,1959-01-05,One Night,Elvis Presley,4,4,9
6,1959-01-05,My Happiness,Connie Francis,13,6,5
7,1959-01-05,Tom Dooley,The Kingston Trio,6,1,15
8,1959-01-05,A Lover's Question,Clyde McPhatter,9,8,13
9,1959-01-05,Gotta Travel On,Billy Grammer,11,9,7
10,1959-01-05,Whole Lotta Loving,Fats Domino,10,10,8
11,1959-01-05,Lonesome Town,Ricky Nelson,7,7,12
12,1959-01-05,Beep Beep,The Playmates,8,4,10
13,1959-01-05,Bimbombey,Jimmie Rodgers,15,11,9
14,1959-01-05,I Got Stung,Elvis Presley,14,8,10
15,1959-01-05,Donna,Ritchie Valens,18,15,7
16,1959-01-05,The Little Drummer Boy,The Harry Simeone Chorale,29,16,3
17,1959-01-05,Queen Of The Hop,Bobby Darin,17,9,14
18,1959-01-05,16 Candles,The Crests,25,18,7
19,1959-01-05,It's Only Make Believe,Conway Twitty,12,1,17
20,1959-01-05,Lonely Teardrops,Jackie Wilson,16,16,7
21,1959-01-05,The Diary,Neil Sedaka,32,21,5
22,1959-01-05,Manhattan Spiritual,Reg Owen & His Orchestra,22,22,5
23,1959-01-05,Goodbye Baby,Jack Scott,30,23,4
24,1959-01-05,Love Is All We Need,Tommy Edwards,19,15,11
25,1959-01-05,I'll Wait For You,Frankie Avalon,23,15,12
26,1959-01-05,Cannonball,Duane Eddy His Twangy Guitar And The Rebels,31,15,10
27,1959-01-05,Lucky Ladybug,Billy & Lillie,56,27,3
28,1959-01-05,Philadelphia U.S.A.,The Nu Tornados,27,26,8
29,1959-01-05,The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,33,29,6
30,1959-01-05,That Old Black Magic,Louis Prima And Keely Smith,24,18,10
31,1959-01-05,Love You Most Of All,Sam Cooke,26,26,8
32,1959-01-05,Poor Boy,The Royaltones,21,17,12
33,1959-01-05,The All American Boy,Bill Parsons,39,33,3
34,1959-01-05,I Got A Feeling,Ricky Nelson,20,10,13
35,1959-01-05,C'mon Everybody,Eddie Cochran,48,35,7
36,1959-01-05,Stagger Lee,Lloyd Price,53,36,5
37,1959-01-05,(All of a Sudden) My Heart Sings,Paul Anka,43,37,3
38,1959-01-05,I Cried A Tear,LaVern Baker,34,34,5
39,1959-01-05,The World Outside,The Four Coins,40,21,9
40,1959-01-05,Don't Pity Me,Dion & The Belmonts,55,40,3
41,1959-01-05,Peek-A-Boo,The Cadillacs,50,35,5
42,1959-01-05,Topsy II,Cozy Cole,28,3,20
43,1959-01-05,It's All In The Game,Tommy Edwards,38,1,21
44,1959-01-05,Turvy II,Cozy Cole,36,36,6
45,1959-01-05,Jingle Bell Rock,Bobby Helms,35,35,3
46,1959-01-05,The Wedding,June Valli,51,46,7
47,1959-01-05,¿Dònde Està Santa Claus? (Where Is Santa Claus?),Augie Rios,47,47,4
48,1959-01-05,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,72,48,2
49,1959-01-05,The End,Earl Grant,41,7,17
50,1959-01-05,Rocka-Conga,The Applejacks,58,50,3
51,1959-01-05,It's Just About Time,Johnny Cash And The Tennessee Two,54,51,4
52,1959-01-05,Big Bopper's Wedding,Big Bopper,42,38,5
53,1959-01-05,Green Chri$tma$,Stan Freberg,44,44,2
54,1959-01-05,Nobody But You,Dee Clark,46,46,6
55,1959-01-05,Chantilly Lace,Big Bopper,37,6,23
56,1959-01-05,Pledging My Love,Roy Hamilton,45,45,8
57,1959-01-05,Try Me,James Brown And The Famous Flames,61,57,4
58,1959-01-05,Teasin',Quaker City Boys,68,58,3
59,1959-01-05,Blue Hawaii,Billy Vaughn And His Orchestra,73,59,2
60,1959-01-05,Red River Rose,The Ames Brothers,100,60,2
61,1959-01-05,"Wiggle, Wiggle",The Accents,85,61,3
62,1959-01-05,Hideaway,The Four Esquires,63,21,16
63,1959-01-05,Walking Along,The Diamonds,75,29,11
64,1959-01-05,Need You,Donnie Owens,62,25,14
65,1959-01-05,A Letter To An Angel,Jimmy Clanton,59,25,12
66,1959-01-05,The Mocking Bird,The Four Lads,70,32,10
67,1959-01-05,Dreamy Eyes,Johnny Tillotson,83,67,6
68,1959-01-05,Tea For Two Cha Cha,The Tommy Dorsey Orchestra,60,7,19
69,1959-01-05,"The Bluebird, The Buzzard & The Oriole",Bobby Day,92,69,2
70,1959-01-05,Come Prima,Tony Dallara,94,70,5
71,1959-01-05,Don't You Know Yockomo,"Huey ""piano"" Smith With His Clowns",,71,2
72,1959-01-05,Sweet Little Rock And Roller,Chuck Berry,52,47,9
73,1959-01-05,You Are Beautiful,Johnny Mathis,,,
74,1959-01-05,Sing Sing Sing,Bernie Lowe Orchestra,57,46,7
75,1959-01-05,The Fool And The Angel,Bobby Helms,77,75,5
76,1959-01-05,Come Prima (Koma Preema),Polly Bergen,67,67,4
77,1959-01-05,(I Wanna) Dance With The Teacher,The Olympics,,77,3
78,1959-01-05,Peter Gunn,Ray Anthony and His Orchestra,,,
79,1959-01-05,I Talk To The Trees,Edmundo Ros and His Orchestra,,,
80,1959-01-05,La Bamba,Ritchie Valens,81,80,2
81,1959-01-05,Yellow Bird,The Mills Brothers,,,
82,1959-01-05,Let's Love,Johnny Mathis,,,
