,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,2004-01-03,Hey Ya!,OutKast,1,1,12
2,2004-01-03,The Way You Move,OutKast Featuring Sleepy Brown,2,2,15
3,2004-01-03,Milkshake,Kelis,3,3,14
4,2004-01-03,You Don't Know My Name,Alicia Keys,5,4,8
5,2004-01-03,Stand Up,Ludacris Featuring Shawnna,4,1,18
6,2004-01-03,Walked Outta Heaven,Jagged Edge,6,6,18
7,2004-01-03,Suga Suga,Baby Bash Featuring Frankie J,8,7,20
8,2004-01-03,Here Without You,3 Doors Down,7,5,19
9,2004-01-03,Slow Jamz,Twista Featuring Kanye West & Jamie Foxx,18,9,5
10,2004-01-03,"Me, Myself And I",Beyonce,17,10,8
11,2004-01-03,It's My Life,No Doubt,14,11,10
12,2004-01-03,Someday,Nickelback,16,12,20
13,2004-01-03,Baby Boy,Beyonce Featuring Sean Paul,12,1,21
14,2004-01-03,Holidae In,Chingy Featuring Ludacris & Snoop Dogg,9,3,16
15,2004-01-03,Damn!,YoungBloodZ Featuring Lil Jon,13,4,22
16,2004-01-03,Step In The Name Of Love,R. Kelly,11,9,20
17,2004-01-03,Change Clothes,JAY-Z,10,10,8
18,2004-01-03,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,15,2,36
19,2004-01-03,Read Your Mind,Avant,19,19,14
20,2004-01-03,Runnin (Dying To Live),Tupac Featuring The Notorious B.I.G.,20,19,12
21,2004-01-03,Why Don't You & I,Santana Featuring Alex Band Or Chad Kroeger,22,8,24
22,2004-01-03,Headstrong,Trapt,25,16,37
23,2004-01-03,White Flag,Dido,26,23,16
24,2004-01-03,Numb,Linkin Park,27,24,9
25,2004-01-03,Stunt 101,G Unit,21,13,10
26,2004-01-03,Wat Da Hook Gon Be,Murphy Lee Featuring Jermaine Dupri,23,17,13
27,2004-01-03,Gigolo,Nick Cannon Featuring R. Kelly,33,27,8
28,2004-01-03,So Far Away,Staind,28,24,23
29,2004-01-03,Perfect,Simple Plan,24,24,10
30,2004-01-03,The First Cut Is The Deepest,Sheryl Crow,30,30,11
31,2004-01-03,There Goes My Life,Kenny Chesney,29,29,9
32,2004-01-03,Salt Shaker,Ying Yang Twins Featuring Lil Jon & The East Side Boyz,34,32,8
33,2004-01-03,Through The Wire,Kanye West,39,33,6
34,2004-01-03,Remember When,Alan Jackson,44,34,4
35,2004-01-03,Bright Lights,matchbox twenty,31,23,15
36,2004-01-03,The Voice Within,Christina Aguilera,36,36,6
37,2004-01-03,Why Can't I?,Liz Phair,32,32,16
38,2004-01-03,Gangsta Nation,Westside Connection Featuring Nate Dogg,52,38,5
39,2004-01-03,You Can't Take The Honky Tonk Out Of The Girl,Brooks & Dunn,42,39,9
40,2004-01-03,F**k It (I Don't Want You Back),Eamon,58,40,5
41,2004-01-03,Shake Ya Tailfeather,"Nelly, P. Diddy & Murphy Lee",40,1,28
