,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1982-01-02,Physical,Olivia Newton-John,1,1,14
2,1982-01-02,Waiting For A Girl Like You,Foreigner,2,2,13
3,1982-01-02,Let's Groove,"Earth, Wind & Fire",3,3,14
4,1982-01-02,I Can't Go For That (No Can Do),Daryl Hall John Oates,4,4,8
5,1982-01-02,Young Turks,Rod Stewart,5,5,12
6,1982-01-02,Harden My Heart,Quarterflash,6,6,12
7,1982-01-02,Why Do Fools Fall In Love,Diana Ross,7,7,12
8,1982-01-02,Leather And Lace,Stevie Nicks With Don Henley,8,8,11
9,1982-01-02,Don't Stop Believin',Journey,9,9,10
10,1982-01-02,Trouble,Lindsey Buckingham,10,10,11
11,1982-01-02,Centerfold,The J. Geils Band,11,11,9
12,1982-01-02,Yesterday's Songs,Neil Diamond,12,12,9
13,1982-01-02,Comin' In And Out Of Your Life,Barbra Streisand,13,13,8
14,1982-01-02,Turn Your Love Around,George Benson,14,14,11
15,1982-01-02,The Sweetest Thing (I've Ever Known),Juice Newton,15,15,12
16,1982-01-02,Hooked On Classics,Royal Philharmonic Orchestra,16,16,10
17,1982-01-02,Take My Heart (You Can Have It If You Want It),Kool & The Gang,17,17,12
18,1982-01-02,Cool Night,Paul Davis,18,18,9
19,1982-01-02,Oh No,Commodores,19,4,15
20,1982-01-02,Every Little Thing She Does Is Magic,The Police,20,3,15
21,1982-01-02,Someone Could Lose A Heart Tonight,Eddie Rabbitt,21,21,8
22,1982-01-02,Here I Am (Just When I Thought I Was Over You),Air Supply,22,5,15
23,1982-01-02,I Wouldn't Have Missed It For The World,Ronnie Milsap,23,23,11
24,1982-01-02,Shake It Up,The Cars,24,24,7
25,1982-01-02,Steal The Night,Stevie Woods,25,25,17
26,1982-01-02,Waiting On A Friend,The Rolling Stones,26,26,5
27,1982-01-02,Our Lips Are Sealed,Go-Go's,27,20,19
28,1982-01-02,She's Got A Way,Billy Joel,28,28,7
29,1982-01-02,"My Girl (Gone, Gone, Gone)",Chilliwack,29,22,15
30,1982-01-02,Come Go With Me,The Beach Boys,30,30,7
