,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1988-01-02,Faith,George Michael,1,1,11
2,1988-01-02,So Emotional,Whitney Houston,2,2,10
3,1988-01-02,Is This Love,Whitesnake,3,2,11
4,1988-01-02,Got My Mind Set On You,George Harrison,4,4,11
5,1988-01-02,Shake Your Love,Debbie Gibson,5,4,14
6,1988-01-02,Don't You Want Me,Jody Watley,6,6,14
7,1988-01-02,The Way You Make Me Feel,Michael Jackson,7,7,7
8,1988-01-02,"Catch Me (I'm Falling) (From The Film ""Hiding Out"")",Pretty Poison,8,8,15
9,1988-01-02,Cherry Bomb,John Mellencamp,9,9,11
10,1988-01-02,Need You Tonight,INXS,10,10,11
11,1988-01-02,Valerie,Steve Winwood,11,9,17
12,1988-01-02,Tell It To My Heart(Dub),Taylor Dayne,12,12,13
13,1988-01-02,Candle In The Wind,Elton John,13,13,9
14,1988-01-02,Dude (Looks Like A Lady),Aerosmith,14,14,14
15,1988-01-02,Hazy Shade Of Winter,The Bangles,15,15,8
16,1988-01-02,Could've Been,Tiffany,16,16,6
17,1988-01-02,Heaven Is A Place On Earth,Belinda Carlisle,17,1,15
18,1988-01-02,There's The Girl,Heart,18,18,9
19,1988-01-02,Animal,Def Leppard,19,19,13
20,1988-01-02,Seasons Change,Expose,20,20,6
21,1988-01-02,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,21,1,15
22,1988-01-02,Crazy,Icehouse,22,22,12
23,1988-01-02,I Could Never Take The Place Of Your Man,Prince,23,23,8
24,1988-01-02,That's What Love Is All About,Michael Bolton,24,19,18
25,1988-01-02,"Hungry Eyes (From ""Dirty Dancing"")",Eric Carmen,25,25,9
26,1988-01-02,I Want To Be Your Man,Roger,26,26,8
27,1988-01-02,Power Of Love,Laura Branigan,27,27,11
28,1988-01-02,We'll Be Together,Sting,28,7,13
29,1988-01-02,Should've Known Better,Richard Marx,29,3,15
30,1988-01-02,Tunnel Of Love,Bruce Springsteen,30,30,5
31,1988-01-02,I Live For Your Love,Natalie Cole,31,31,9
32,1988-01-02,True Faith,New Order,32,32,11
33,1988-01-02,Say You Will,Foreigner,33,33,5
34,1988-01-02,Don't Shed A Tear,Paul Carrack,34,34,8
35,1988-01-02,Pop Goes The World,Men Without Hats,35,35,10
36,1988-01-02,Honestly,Stryper,36,36,9
37,1988-01-02,Motortown,The Kane Gang,37,36,12
38,1988-01-02,Everywhere,Fleetwood Mac,38,38,6
39,1988-01-02,What Have I Done To Deserve This?,Pet Shop Boys & Dusty Springfield,39,39,4
40,1988-01-02,Push It,Salt-N-Pepa,40,40,7
41,1988-01-02,Just Like Heaven,The Cure,41,41,13
42,1988-01-02,The One I Love,R.E.M.,42,9,16
43,1988-01-02,I Think We're Alone Now,Tiffany,43,1,19
44,1988-01-02,I Found Someone,Cher,44,44,7
45,1988-01-02,Can't Stay Away From You,Gloria Estefan & Miami Sound Machine,45,45,7
46,1988-01-02,Pump Up The Volume,M/A/R/R/S,46,46,6
47,1988-01-02,I Don't Mind At All,Bourgeois Tagg,47,38,13
48,1988-01-02,I Can't Help It,Bananarama,48,48,7
49,1988-01-02,Skeletons,Stevie Wonder,49,19,12
50,1988-01-02,I Do You,The Jets,50,20,12
51,1988-01-02,Because Of You,The Cover Girls,51,51,6
52,1988-01-02,Mony Mony,Billy Idol,52,1,18
53,1988-01-02,In God's Country,U2,53,53,5
54,1988-01-02,You And Me Tonight,Deja,54,54,7
55,1988-01-02,She's Like The Wind,Patrick Swayze (Featuring Wendy Fraser),55,55,3
56,1988-01-02,853-5937,Squeeze,56,56,3
57,1988-01-02,I've Been In Love Before,Cutting Crew,57,9,18
58,1988-01-02,(Baby Tell Me) Can You Dance,Shanice Wilson,58,50,9
59,1988-01-02,Lover's Lane,Georgio,59,59,5
60,1988-01-02,Hot In The City,Billy Idol,60,23,21
61,1988-01-02,Never Gonna Give You Up,Rick Astley,61,61,3
62,1988-01-02,Hourglass,Squeeze,62,15,16
63,1988-01-02,Dear Mr. Jesus,Powersource (Solo...Sharon),63,63,3
64,1988-01-02,Rhythm Of Love,Yes,64,64,3
65,1988-01-02,Never Thought (That I Could Love),Dan Hill,65,65,4
66,1988-01-02,System Of Survival,"Earth, Wind & Fire",66,60,10
67,1988-01-02,Hot Hot Hot,Buster Poindexter & His Banshees Of Blue,67,67,4
68,1988-01-02,Reason To Live,KISS,68,68,5
69,1988-01-02,I Won't Forget You,Poison,69,13,18
70,1988-01-02,I Need A Man,Eurythmics,70,70,3
71,1988-01-02,Little Lies,Fleetwood Mac,71,4,19
72,1988-01-02,Breakout,Swing Out Sister,72,6,21
73,1988-01-02,Love Will Find A Way,Yes,73,30,14
74,1988-01-02,Criticize,Alexander O'Neal,74,70,8
75,1988-01-02,U Got The Look,Prince,75,2,23
76,1988-01-02,Twilight World,Swing Out Sister,76,76,3
77,1988-01-02,Throwaway,Mick Jagger,77,67,6
78,1988-01-02,Brilliant Disguise,Bruce Springsteen,78,5,14
79,1988-01-02,In My Dreams,REO Speedwagon,79,19,25
80,1988-01-02,"Live My Life (From The Film ""Hiding Out"")",Boy George,80,80,2
81,1988-01-02,Rain In The Summertime,The Alarm,81,81,3
82,1988-01-02,Burning Like A Flame,Dokken,82,82,3
83,1988-01-02,She's Fly,Tony Terry,83,82,6
84,1988-01-02,Silent Morning,Noel,84,47,20
85,1988-01-02,Cherokee,Europe,85,72,6
86,1988-01-02,Someone To Love Me For Me,Lisa Lisa And Cult Jam Featuring Full Force,86,78,8
87,1988-01-02,We've Only Just Begun (The Romance Is Not Over),Glenn Jones,87,66,10
88,1988-01-02,Lonely Won't Leave Me Alone,Glenn Medeiros,88,88,3
89,1988-01-02,Let Me Be The One,Expose,89,7,21
90,1988-01-02,What's Too Much,Smokey Robinson,90,79,8
91,1988-01-02,You're All I Need,Motley Crue,91,83,6
92,1988-01-02,Special Way,Kool & The Gang,92,72,12
93,1988-01-02,Eagles Fly,Sammy Hagar,93,82,11
94,1988-01-02,It's A Sin,Pet Shop Boys,94,9,18
95,1988-01-02,Who Will You Run To,Heart,95,7,21
96,1988-01-02,Never Let Me Down Again,Depeche Mode,96,96,2
97,1988-01-02,Causing A Commotion,Madonna,97,2,17
98,1988-01-02,Here I Go Again,Whitesnake,98,1,27
99,1988-01-02,Don't Tell Me The Time,Martha Davis,99,80,7
100,1988-01-02,Don't Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams),100,15,19
1,1988-01-09,So Emotional,Whitney Houston,2,1,11
2,1988-01-09,Got My Mind Set On You,George Harrison,4,2,12
3,1988-01-09,Faith,George Michael,1,1,12
4,1988-01-09,Is This Love,Whitesnake,3,2,12
5,1988-01-09,The Way You Make Me Feel,Michael Jackson,7,5,8
6,1988-01-09,Need You Tonight,INXS,10,6,12
7,1988-01-09,Shake Your Love,Debbie Gibson,5,4,15
8,1988-01-09,Cherry Bomb,John Mellencamp,9,8,12
9,1988-01-09,Tell It To My Heart(Dub),Taylor Dayne,12,9,14
10,1988-01-09,Don't You Want Me,Jody Watley,6,6,15
11,1988-01-09,Candle In The Wind,Elton John,13,11,10
12,1988-01-09,Hazy Shade Of Winter,The Bangles,15,12,9
13,1988-01-09,"Catch Me (I'm Falling) (From The Film ""Hiding Out"")",Pretty Poison,8,8,16
14,1988-01-09,Could've Been,Tiffany,16,14,7
15,1988-01-09,Valerie,Steve Winwood,11,9,18
16,1988-01-09,Seasons Change,Expose,20,16,7
17,1988-01-09,There's The Girl,Heart,18,17,10
