Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,1985-01-05,Like A Virgin,Madonna,1.0,1.0,8.0,Madonna
2,1985-01-05,The Wild Boys,Duran Duran,2.0,2.0,10.0,Duran Duran
3,1985-01-05,Sea Of Love,The Honeydrippers,4.0,3.0,13.0,The Honeydrippers
4,1985-01-05,Cool It Now,New Edition,5.0,4.0,16.0,New Edition
5,1985-01-05,We Belong,Pat Benatar,6.0,5.0,11.0,Pat Benatar
6,1985-01-05,All I Need,Jack Wagner,9.0,6.0,12.0,Jack Wagner
7,1985-01-05,Out Of Touch,Daryl Hall John Oates,3.0,1.0,15.0,Daryl Hall John Oates
8,1985-01-05,Run To You,Bryan Adams,12.0,8.0,10.0,Bryan Adams
9,1985-01-05,You're The Inspiration,Chicago,15.0,9.0,8.0,Chicago
10,1985-01-05,Valotte,Julian Lennon,10.0,10.0,12.0,Julian Lennon
11,1985-01-05,Born In The USA,Bruce Springsteen,14.0,11.0,9.0,Bruce Springsteen
12,1985-01-05,I Feel For You,Chaka Khan,7.0,3.0,18.0,Chaka Khan
13,1985-01-05,Do What You Do,Jermaine Jackson,17.0,13.0,11.0,Jermaine Jackson
14,1985-01-05,I Want To Know What Love Is,Foreigner,21.0,14.0,5.0,Foreigner
15,1985-01-05,No More Lonely Nights,Paul McCartney,8.0,6.0,13.0,Paul McCartney
16,1985-01-05,Easy Lover,Philip Bailey With Phil Collins,22.0,16.0,7.0,Philip Bailey Featuring Phil Collins
17,1985-01-05,Understanding,Bob Seger,19.0,17.0,9.0,Bob Seger
18,1985-01-05,Jamie,Ray Parker Jr.,25.0,18.0,8.0,Ray Parker Jr.
19,1985-01-05,The Boys Of Summer,Don Henley,27.0,19.0,9.0,Don Henley
20,1985-01-05,Do They Know It's Christmas?,Band-Aid,65.0,20.0,3.0,Band-Aid
21,1985-01-05,All Through The Night,Cyndi Lauper,13.0,5.0,14.0,Cyndi Lauper
22,1985-01-05,I Can't Hold Back,Survivor,16.0,13.0,17.0,Survivor
23,1985-01-05,Careless Whisper,Wham! Featuring George Michael,37.0,23.0,3.0,Wham! Featuring George Michael
24,1985-01-05,Centipede,Rebbie Jackson,24.0,24.0,14.0,Rebbie Jackson
25,1985-01-05,I Would Die 4 U,Prince And The Revolution,32.0,25.0,4.0,Prince And The Revolution
26,1985-01-05,Lover Boy,Billy Ocean,31.0,26.0,6.0,Billy Ocean
27,1985-01-05,Wake Me Up Before You Go-Go,Wham!,11.0,1.0,18.0,Wham!
28,1985-01-05,Hello Again,The Cars,20.0,20.0,11.0,The Cars
29,1985-01-05,Bruce,Rick Springfield,33.0,29.0,8.0,Rick Springfield
30,1985-01-05,Penny Lover,Lionel Richie,18.0,8.0,14.0,Lionel Richie
31,1985-01-05,Love Light In Flight,Stevie Wonder,36.0,31.0,6.0,Stevie Wonder
32,1985-01-05,Neutron Dance,The Pointer Sisters,40.0,32.0,7.0,The Pointer Sisters
33,1985-01-05,Tender Years,John Cafferty & The Beaver Brown Band,35.0,33.0,8.0,John Cafferty Featuring The Beaver Brown Band
34,1985-01-05,The Belle Of St. Mark,Sheila E.,34.0,34.0,11.0,Sheila E.
35,1985-01-05,Method Of Modern Love,Daryl Hall John Oates,42.0,35.0,4.0,Daryl Hall John Oates
36,1985-01-05,Solid,Ashford & Simpson,45.0,36.0,9.0,Ashford & Simpson
37,1985-01-05,Foolish Heart,Steve Perry,39.0,37.0,7.0,Steve Perry
