,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1990-01-06,Another Day In Paradise,Phil Collins,1,1,10
2,1990-01-06,Rhythm Nation,Janet Jackson,4,2,9
3,1990-01-06,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),2,2,15
4,1990-01-06,Pump Up The Jam,Technotronic Featuring Felly,7,4,13
5,1990-01-06,With Every Beat Of My Heart,Taylor Dayne,5,5,12
6,1990-01-06,How Am I Supposed To Live Without You,Michael Bolton,11,6,11
7,1990-01-06,This One's For The Children,New Kids On The Block,9,7,9
8,1990-01-06,Just Like Jesse James,Cher,8,8,12
9,1990-01-06,We Didn't Start The Fire,Billy Joel,3,1,13
10,1990-01-06,Everything,Jody Watley,12,10,13
11,1990-01-06,Back To Life,Soul II Soul,6,4,16
12,1990-01-06,Swing The Mood,Jive Bunny & The Mastermixers,14,12,11
13,1990-01-06,Just Between You And Me,Lou Gramm,15,13,11
14,1990-01-06,Free Fallin',Tom Petty,17,14,10
15,1990-01-06,Love Song,Tesla,16,15,15
16,1990-01-06,Downtown Train,Rod Stewart,19,16,7
17,1990-01-06,When The Night Comes,Joe Cocker,18,17,11
18,1990-01-06,Two To Make It Right,Seduction,20,18,9
19,1990-01-06,Living In Sin,Bon Jovi,10,9,14
20,1990-01-06,Oh Father,Madonna,21,20,9
21,1990-01-06,Blame It On The Rain,Milli Vanilli,13,1,14
22,1990-01-06,I Remember You,Skid Row,26,22,8
23,1990-01-06,Rock And A Hard Place,The Rolling Stones,23,23,10
24,1990-01-06,Janie's Got A Gun,Aerosmith,29,24,7
25,1990-01-06,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,30,25,8
26,1990-01-06,Tender Lover,Babyface,32,26,8
27,1990-01-06,Peace In Our Time,Eddie Money,34,27,6
28,1990-01-06,Love Shack,The B-52s,22,3,19
29,1990-01-06,What Kind Of Man Would I Be?,Chicago,38,29,6
30,1990-01-06,Don't Close Your Eyes,KIX,24,11,18
31,1990-01-06,Tell Me Why,Expose,40,31,5
32,1990-01-06,Opposites Attract,Paula Abdul (Duet With The Wild Pair),47,32,4
33,1990-01-06,(It's Just) The Way That You Love Me,Paula Abdul,25,3,21
34,1990-01-06,Was It Nothing At All,Michael Damian,39,34,11
35,1990-01-06,Principal's Office,Young M.C.,43,35,7
36,1990-01-06,Bust A Move,Young M.C.,33,7,24
37,1990-01-06,Kickstart My Heart,Motley Crue,49,37,7
38,1990-01-06,When I See You Smile,Bad English,27,1,17
39,1990-01-06,Steamy Windows,Tina Turner,48,39,7
40,1990-01-06,Dangerous,Roxette,50,40,4
41,1990-01-06,I Want You,Shana,41,41,14
42,1990-01-06,Don't Make Me Over,Sybil,35,20,16
43,1990-01-06,Nothin' To Hide,Poco,54,43,6
44,1990-01-06,Here We Are,Gloria Estefan,55,44,4
45,1990-01-06,We Can't Go Wrong,The Cover Girls,56,45,5
46,1990-01-06,Fool For Your Loving,Whitesnake,37,37,18
47,1990-01-06,The Last Worthless Evening,Don Henley,31,21,14
48,1990-01-06,No More Lies,Michel'le,52,48,8
49,1990-01-06,Angelia,Richard Marx,28,4,14
50,1990-01-06,Me So Horny,The 2 Live Crew,42,26,18
51,1990-01-06,All Or Nothing,Milli Vanilli,,,
52,1990-01-06,If You Leave Me Now,Jaya,53,52,13
53,1990-01-06,Price Of Love,Bad English,68,53,3
54,1990-01-06,Woman In Chains,Tears For Fears,61,54,6
55,1990-01-06,Leave A Light On,Belinda Carlisle,36,11,15
56,1990-01-06,Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),57,56,7
57,1990-01-06,Poison,Alice Cooper,45,7,16
58,1990-01-06,Wait For You,Bonham,60,58,7
59,1990-01-06,Electric Boogie,Marcia Griffiths,65,59,5
60,1990-01-06,I Live By The Groove,Paul Carrack,44,31,11
61,1990-01-06,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,76,61,4
62,1990-01-06,I Will Survive,SaFire,71,62,4
63,1990-01-06,The Arms Of Orion,Prince With Sheena Easton,46,36,12
64,1990-01-06,Don't Take It Personal,Jermaine Jackson,66,64,6
65,1990-01-06,Don't Shut Me Out,Kevin Paige,51,18,21
66,1990-01-06,The Angel Song,Great White,58,30,15
67,1990-01-06,Personal Jesus,Depeche Mode,70,67,5
68,1990-01-06,Over And Over,Pajama Party,64,59,9
69,1990-01-06,Here And Now,Luther Vandross,78,69,3
70,1990-01-06,Roam,The B-52s,88,70,3
71,1990-01-06,Going Home,Kenny G,,,
72,1990-01-06,Pretending,Eric Clapton,63,55,8
73,1990-01-06,Heart,Neneh Cherry,77,73,5
74,1990-01-06,Never 2 Much Of U,Dino,81,74,4
75,1990-01-06,Listen To Your Heart,Roxette,59,1,20
76,1990-01-06,Serious Kinda Girl,Christopher Max,75,75,6
77,1990-01-06,A Girl Like You,The Smithereens,79,77,5
78,1990-01-06,Didn't I (Blow Your Mind),New Kids On The Block,67,8,17
79,1990-01-06,Rock Wit'cha,Bobby Brown,74,7,20
80,1990-01-06,Get On Your Feet,Gloria Estefan,62,11,15
81,1990-01-06,Sometimes She Cries,Warrant,,,
82,1990-01-06,Lullaby,The Cure,80,74,6
83,1990-01-06,Hide Your Heart,KISS,73,66,7
84,1990-01-06,Too Hot,Loverboy,90,84,3
85,1990-01-06,No Myth,Michael Penn,,,
86,1990-01-06,Black Velvet,Alannah Myles,,,
87,1990-01-06,Gimme Your Good Lovin',Diving For Pearls,84,84,5
88,1990-01-06,French Kiss,Lil Louis,69,50,12
89,1990-01-06,Right And Hype,Abstrac',93,89,3
90,1990-01-06,I Don't Know,Michael Morales,87,81,5
91,1990-01-06,Girl I Am Searching For You,Stevie B,89,56,14
92,1990-01-06,Miss You Much,Janet Jackson,72,1,19
93,1990-01-06,I Didn't Mean To Stay All Night,Starship,85,75,7
94,1990-01-06,Foolish Heart,Sharon Bryant,91,90,4
95,1990-01-06,Talk To Myself,Christopher Williams,94,49,18
96,1990-01-06,Heat Of The Moment,After 7,92,74,12
97,1990-01-06,Cover Girl,New Kids On The Block,86,2,17
98,1990-01-06,500 Miles,Hooters,97,97,5
99,1990-01-06,Back To The Bullet,Saraya,83,63,9
100,1990-01-06,Owwww!,Chunky A,82,77,6
1,1990-01-13,Another Day In Paradise,Phil Collins,1,1,11
2,1990-01-13,Rhythm Nation,Janet Jackson,2,2,10
3,1990-01-13,Pump Up The Jam,Technotronic Featuring Felly,4,3,14
4,1990-01-13,How Am I Supposed To Live Without You,Michael Bolton,6,4,12
5,1990-01-13,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),3,2,16
6,1990-01-13,Everything,Jody Watley,10,6,14
7,1990-01-13,This One's For The Children,New Kids On The Block,7,7,10
8,1990-01-13,Just Like Jesse James,Cher,8,8,13
9,1990-01-13,With Every Beat Of My Heart,Taylor Dayne,5,5,13
10,1990-01-13,Just Between You And Me,Lou Gramm,13,10,12
11,1990-01-13,Swing The Mood,Jive Bunny & The Mastermixers,12,11,12
12,1990-01-13,Downtown Train,Rod Stewart,16,12,8
13,1990-01-13,Free Fallin',Tom Petty,14,13,11
14,1990-01-13,Love Song,Tesla,15,14,16
15,1990-01-13,Two To Make It Right,Seduction,18,15,10
16,1990-01-13,We Didn't Start The Fire,Billy Joel,9,1,14
17,1990-01-13,When The Night Comes,Joe Cocker,17,17,12
18,1990-01-13,Back To Life,Soul II Soul,11,4,17
19,1990-01-13,I Remember You,Skid Row,22,19,9
20,1990-01-13,Janie's Got A Gun,Aerosmith,24,20,8
21,1990-01-13,Blame It On The Rain,Milli Vanilli,21,1,15
22,1990-01-13,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,25,22,9
23,1990-01-13,Peace In Our Time,Eddie Money,27,23,7
24,1990-01-13,Oh Father,Madonna,20,20,10
25,1990-01-13,Tender Lover,Babyface,26,25,9
26,1990-01-13,Opposites Attract,Paula Abdul (Duet With The Wild Pair),32,26,5
27,1990-01-13,Rock And A Hard Place,The Rolling Stones,23,23,11
28,1990-01-13,Living In Sin,Bon Jovi,19,9,15
29,1990-01-13,What Kind Of Man Would I Be?,Chicago,29,29,7
30,1990-01-13,Tell Me Why,Expose,31,30,6
31,1990-01-13,Love Shack,The B-52s,28,3,20
32,1990-01-13,Was It Nothing At All,Michael Damian,34,32,12
33,1990-01-13,Kickstart My Heart,Motley Crue,37,33,8
34,1990-01-13,Principal's Office,Young M.C.,35,34,8
35,1990-01-13,Dangerous,Roxette,40,35,5
36,1990-01-13,Don't Close Your Eyes,KIX,30,11,19
37,1990-01-13,Here We Are,Gloria Estefan,44,37,5
38,1990-01-13,We Can't Go Wrong,The Cover Girls,45,38,6
39,1990-01-13,All Or Nothing,Milli Vanilli,51,39,2
40,1990-01-13,I Want You,Shana,41,40,15
41,1990-01-13,Bust A Move,Young M.C.,36,7,25
42,1990-01-13,Steamy Windows,Tina Turner,39,39,8
43,1990-01-13,Nothin' To Hide,Poco,43,43,7
44,1990-01-13,No More Lies,Michel'le,48,44,9
45,1990-01-13,Price Of Love,Bad English,53,45,4
46,1990-01-13,(It's Just) The Way That You Love Me,Paula Abdul,33,3,22
47,1990-01-13,When I See You Smile,Bad English,38,1,18
48,1990-01-13,Don't Make Me Over,Sybil,42,20,17
49,1990-01-13,Woman In Chains,Tears For Fears,54,49,7
50,1990-01-13,Me So Horny,The 2 Live Crew,50,26,19
51,1990-01-13,If You Leave Me Now,Jaya,52,51,14
52,1990-01-13,Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),56,52,8
53,1990-01-13,The Last Worthless Evening,Don Henley,47,21,15
54,1990-01-13,Fool For Your Loving,Whitesnake,46,37,19
55,1990-01-13,Wait For You,Bonham,58,55,8
56,1990-01-13,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,61,56,5
57,1990-01-13,Roam,The B-52s,70,57,4
58,1990-01-13,Angelia,Richard Marx,49,4,15
59,1990-01-13,Electric Boogie,Marcia Griffiths,59,59,6
60,1990-01-13,Personal Jesus,Depeche Mode,67,60,6
61,1990-01-13,I Will Survive,SaFire,62,61,5
62,1990-01-13,Poison,Alice Cooper,57,7,17
63,1990-01-13,Here And Now,Luther Vandross,69,63,4
64,1990-01-13,Leave A Light On,Belinda Carlisle,55,11,16
65,1990-01-13,The Angel Song,Great White,66,30,16
66,1990-01-13,Don't Take It Personal,Jermaine Jackson,64,64,7
67,1990-01-13,I Go To Extremes,Billy Joel,,,
68,1990-01-13,Going Home,Kenny G,71,68,2
69,1990-01-13,I Live By The Groove,Paul Carrack,60,31,12
70,1990-01-13,Over And Over,Pajama Party,68,59,10
71,1990-01-13,Sometimes She Cries,Warrant,81,71,2
72,1990-01-13,Never 2 Much Of U,Dino,74,72,5
73,1990-01-13,Heart,Neneh Cherry,73,73,6
74,1990-01-13,The Arms Of Orion,Prince With Sheena Easton,63,36,13
75,1990-01-13,A Girl Like You,The Smithereens,77,75,6
76,1990-01-13,Don't Shut Me Out,Kevin Paige,65,18,22
77,1990-01-13,Pretending,Eric Clapton,72,55,9
78,1990-01-13,No Myth,Michael Penn,85,78,2
79,1990-01-13,Listen To Your Heart,Roxette,75,1,21
80,1990-01-13,Black Velvet,Alannah Myles,86,80,2
81,1990-01-13,Get On Your Feet,Gloria Estefan,80,11,16
82,1990-01-13,Serious Kinda Girl,Christopher Max,76,75,7
83,1990-01-13,Didn't I (Blow Your Mind),New Kids On The Block,78,8,18
84,1990-01-13,Hide Your Heart,KISS,83,66,8
85,1990-01-13,Lullaby,The Cure,82,74,7
86,1990-01-13,Too Hot,Loverboy,84,84,4
87,1990-01-13,Sacrifice,Elton John,,,
88,1990-01-13,All Nite,Entouch Featuring Keith Sweat,,,
89,1990-01-13,Right And Hype,Abstrac',89,89,4
90,1990-01-13,Rock Wit'cha,Bobby Brown,79,7,21
91,1990-01-13,"Timeless Love (From ""Shocker"")",Saraya,,,
92,1990-01-13,Figure Of Eight,Paul McCartney,,,
93,1990-01-13,Girl I Am Searching For You,Stevie B,91,56,15
94,1990-01-13,Gimme Your Good Lovin',Diving For Pearls,87,84,6
95,1990-01-13,Cover Girl,New Kids On The Block,97,2,18
96,1990-01-13,French Kiss,Lil Louis,88,50,13
97,1990-01-13,Miss You Much,Janet Jackson,92,1,20
98,1990-01-13,Foolish Heart,Sharon Bryant,94,90,5
99,1990-01-13,I Don't Know,Michael Morales,90,81,6
100,1990-01-13,I Didn't Mean To Stay All Night,Starship,93,75,8
1,1990-01-20,How Am I Supposed To Live Without You,Michael Bolton,4,1,13
2,1990-01-20,Pump Up The Jam,Technotronic Featuring Felly,3,2,15
3,1990-01-20,Another Day In Paradise,Phil Collins,1,1,12
4,1990-01-20,Everything,Jody Watley,6,4,15
5,1990-01-20,Downtown Train,Rod Stewart,12,5,9
6,1990-01-20,Rhythm Nation,Janet Jackson,2,2,11
7,1990-01-20,Just Between You And Me,Lou Gramm,10,7,13
8,1990-01-20,Free Fallin',Tom Petty,13,8,12
9,1990-01-20,Two To Make It Right,Seduction,15,9,11
10,1990-01-20,Love Song,Tesla,14,10,17
11,1990-01-20,When The Night Comes,Joe Cocker,17,11,13
12,1990-01-20,I Remember You,Skid Row,19,12,10
13,1990-01-20,Swing The Mood,Jive Bunny & The Mastermixers,11,11,13
14,1990-01-20,Janie's Got A Gun,Aerosmith,20,14,9
15,1990-01-20,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),5,2,17
16,1990-01-20,Opposites Attract,Paula Abdul (Duet With The Wild Pair),26,16,6
17,1990-01-20,This One's For The Children,New Kids On The Block,7,7,11
18,1990-01-20,Peace In Our Time,Eddie Money,23,18,8
19,1990-01-20,Just Like Jesse James,Cher,8,8,14
20,1990-01-20,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,22,20,10
21,1990-01-20,Tender Lover,Babyface,25,21,10
22,1990-01-20,With Every Beat Of My Heart,Taylor Dayne,9,5,14
23,1990-01-20,What Kind Of Man Would I Be?,Chicago,29,23,8
24,1990-01-20,Tell Me Why,Expose,30,24,7
25,1990-01-20,Back To Life,Soul II Soul,18,4,18
26,1990-01-20,Dangerous,Roxette,35,26,6
27,1990-01-20,We Didn't Start The Fire,Billy Joel,16,1,15
28,1990-01-20,Kickstart My Heart,Motley Crue,33,28,9
29,1990-01-20,Was It Nothing At All,Michael Damian,32,29,13
30,1990-01-20,All Or Nothing,Milli Vanilli,39,30,3
31,1990-01-20,Here We Are,Gloria Estefan,37,31,6
32,1990-01-20,We Can't Go Wrong,The Cover Girls,38,32,7
33,1990-01-20,Principal's Office,Young M.C.,34,33,9
34,1990-01-20,Blame It On The Rain,Milli Vanilli,21,1,16
35,1990-01-20,Price Of Love,Bad English,45,35,5
36,1990-01-20,No More Lies,Michel'le,44,36,10
37,1990-01-20,Escapade,Janet Jackson,,,
38,1990-01-20,Roam,The B-52s,57,38,5
39,1990-01-20,Nothin' To Hide,Poco,43,39,8
40,1990-01-20,Love Shack,The B-52s,31,3,21
41,1990-01-20,I Want You,Shana,40,40,16
42,1990-01-20,Woman In Chains,Tears For Fears,49,42,8
43,1990-01-20,C'mon And Get My Love,D-Mob Introducing Cathy Dennis,56,43,6
44,1990-01-20,Oh Father,Madonna,24,20,11
45,1990-01-20,Bust A Move,Young M.C.,41,7,26
46,1990-01-20,I Go To Extremes,Billy Joel,67,46,2
47,1990-01-20,Living In Sin,Bon Jovi,28,9,16
48,1990-01-20,Don't Close Your Eyes,KIX,36,11,20
49,1990-01-20,Too Late To Say Goodbye,Richard Marx,,,
50,1990-01-20,If You Leave Me Now,Jaya,51,50,15
51,1990-01-20,Electric Boogie,Marcia Griffiths,59,51,7
52,1990-01-20,Sometimes She Cries,Warrant,71,52,3
53,1990-01-20,Here And Now,Luther Vandross,63,53,5
54,1990-01-20,Me So Horny,The 2 Live Crew,50,26,20
55,1990-01-20,When I See You Smile,Bad English,47,1,19
56,1990-01-20,I Will Survive,SaFire,61,56,6
57,1990-01-20,Don't Make Me Over,Sybil,48,20,18
58,1990-01-20,Everything You Do (You're Sexing Me),Fiona (Duet With Kip Winger),52,52,9
59,1990-01-20,Personal Jesus,Depeche Mode,60,59,7
60,1990-01-20,Rock And A Hard Place,The Rolling Stones,27,23,12
61,1990-01-20,Going Home,Kenny G,68,61,3
62,1990-01-20,Wait For You,Bonham,55,55,9
63,1990-01-20,Steamy Windows,Tina Turner,42,39,9
64,1990-01-20,(It's Just) The Way That You Love Me,Paula Abdul,46,3,23
65,1990-01-20,Never 2 Much Of U,Dino,72,65,6
66,1990-01-20,No Myth,Michael Penn,78,66,3
67,1990-01-20,Don't Take It Personal,Jermaine Jackson,66,64,8
68,1990-01-20,A Girl Like You,The Smithereens,75,68,7
69,1990-01-20,Black Velvet,Alannah Myles,80,69,3
70,1990-01-20,Over And Over,Pajama Party,70,59,11
71,1990-01-20,Just A Friend,Biz Markie,,,
72,1990-01-20,The Angel Song,Great White,65,30,17
73,1990-01-20,Fool For Your Loving,Whitesnake,54,37,20
74,1990-01-20,Poison,Alice Cooper,62,7,18
75,1990-01-20,The Last Worthless Evening,Don Henley,53,21,16
76,1990-01-20,Angelia,Richard Marx,58,4,16
77,1990-01-20,The Deeper The Love,Whitesnake,,,
78,1990-01-20,Don't Shut Me Out,Kevin Paige,76,18,23
79,1990-01-20,"Whole Wide World (From ""True Love"")",A'me Lorain,,,
80,1990-01-20,Sacrifice,Elton John,87,80,2
81,1990-01-20,Heart,Neneh Cherry,73,73,7
82,1990-01-20,Anything I Want,Kevin Paige,,,
83,1990-01-20,All Nite,Entouch Featuring Keith Sweat,88,83,2
84,1990-01-20,Leave A Light On,Belinda Carlisle,64,11,17
85,1990-01-20,"Timeless Love (From ""Shocker"")",Saraya,91,85,2
86,1990-01-20,Summer Rain,Belinda Carlisle,,,
87,1990-01-20,House Of Fire,Alice Cooper,,,
88,1990-01-20,Real Love,Skyy,,,
89,1990-01-20,Pretending,Eric Clapton,77,55,10
90,1990-01-20,Right And Hype,Abstrac',89,89,5
91,1990-01-20,Hide Your Heart,KISS,84,66,9
92,1990-01-20,The Arms Of Orion,Prince With Sheena Easton,74,36,14
93,1990-01-20,I Live By The Groove,Paul Carrack,69,31,13
94,1990-01-20,Too Hot,Loverboy,86,84,5
95,1990-01-20,Figure Of Eight,Paul McCartney,92,92,2
96,1990-01-20,Serious Kinda Girl,Christopher Max,82,75,8
97,1990-01-20,Lullaby,The Cure,85,74,8
98,1990-01-20,Listen To Your Heart,Roxette,79,1,22
99,1990-01-20,Get On Your Feet,Gloria Estefan,81,11,17
100,1990-01-20,Didn't I (Blow Your Mind),New Kids On The Block,83,8,19
1,1990-01-27,How Am I Supposed To Live Without You,Michael Bolton,1,1,14
2,1990-01-27,Pump Up The Jam,Technotronic Featuring Felly,2,2,16
3,1990-01-27,Downtown Train,Rod Stewart,5,3,10
4,1990-01-27,Everything,Jody Watley,4,4,16
5,1990-01-27,Two To Make It Right,Seduction,9,5,12
6,1990-01-27,Just Between You And Me,Lou Gramm,7,6,14
7,1990-01-27,Free Fallin',Tom Petty,8,7,13
8,1990-01-27,Opposites Attract,Paula Abdul (Duet With The Wild Pair),16,8,7
9,1990-01-27,I Remember You,Skid Row,12,9,11
10,1990-01-27,Another Day In Paradise,Phil Collins,3,1,13
11,1990-01-27,Janie's Got A Gun,Aerosmith,14,11,10
12,1990-01-27,Love Song,Tesla,10,10,18
13,1990-01-27,Peace In Our Time,Eddie Money,18,13,9
14,1990-01-27,When The Night Comes,Joe Cocker,11,11,14
15,1990-01-27,What Kind Of Man Would I Be?,Chicago,23,15,9
16,1990-01-27,Tender Lover,Babyface,21,16,11
17,1990-01-27,Rhythm Nation,Janet Jackson,6,2,12
18,1990-01-27,I'll Be Good To You,Quincy Jones Featuring Ray Charles & Chaka Khan,20,18,11
19,1990-01-27,Tell Me Why,Expose,24,19,8
20,1990-01-27,Dangerous,Roxette,26,20,7
21,1990-01-27,Don't Know Much,Linda Ronstadt (Featuring Aaron Neville),15,2,18
22,1990-01-27,All Or Nothing,Milli Vanilli,30,22,4
23,1990-01-27,Here We Are,Gloria Estefan,31,23,7
24,1990-01-27,Swing The Mood,Jive Bunny & The Mastermixers,13,11,14
25,1990-01-27,Was It Nothing At All,Michael Damian,29,25,14
26,1990-01-27,We Can't Go Wrong,The Cover Girls,32,26,8
27,1990-01-27,Kickstart My Heart,Motley Crue,28,27,10
28,1990-01-27,Price Of Love,Bad English,35,28,6
29,1990-01-27,Back To Life,Soul II Soul,25,4,19
30,1990-01-27,Escapade,Janet Jackson,37,30,2
31,1990-01-27,With Every Beat Of My Heart,Taylor Dayne,22,5,15
