,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1983-01-08,Maneater,Daryl Hall John Oates,1,1,13
2,1983-01-08,The Girl Is Mine,Michael Jackson And Paul McCartney,3,2,10
3,1983-01-08,Dirty Laundry,Don Henley,4,3,11
4,1983-01-08,Down Under,Men At Work,8,4,10
5,1983-01-08,Sexual Healing,Marvin Gaye,7,5,11
6,1983-01-08,Mickey,Toni Basil,2,1,19
7,1983-01-08,Gloria,Laura Branigan,5,2,27
8,1983-01-08,Steppin' Out,Joe Jackson,6,6,21
9,1983-01-08,Rock This Town,Stray Cats,9,9,17
10,1983-01-08,Truly,Lionel Richie,10,1,14
11,1983-01-08,Heartbreaker,Dionne Warwick,12,11,14
12,1983-01-08,Africa,Toto,14,12,11
13,1983-01-08,"Baby, Come To Me",Patti Austin A Duet With James Ingram,17,13,17
14,1983-01-08,Rock The Casbah,The Clash,15,14,15
15,1983-01-08,You And I,Eddie Rabbitt With Crystal Gayle,16,15,14
16,1983-01-08,The Other Guy,Little River Band,18,16,8
17,1983-01-08,You Can't Hurry Love,Phil Collins,20,17,10
18,1983-01-08,The Look Of Love (Part One),ABC,19,18,18
19,1983-01-08,It's Raining Again,Supertramp Featuring Roger Hodgson,11,11,11
20,1983-01-08,Heart To Heart,Kenny Loggins,22,20,7
21,1983-01-08,Shame On The Moon,Bob Seger & The Silver Bullet Band,30,21,4
22,1983-01-08,Goody Two Shoes,Adam Ant,25,22,9
23,1983-01-08,Hand To Hold On To,John Cougar,24,23,10
24,1983-01-08,I Do,The J. Geils Band,26,24,8
25,1983-01-08,Love In Store,Fleetwood Mac,27,25,7
26,1983-01-08,You Got Lucky,Tom Petty And The Heartbreakers,28,26,9
27,1983-01-08,Shadows Of The Night,Pat Benatar,13,13,13
28,1983-01-08,Up Where We Belong,Joe Cocker And Jennifer Warnes,21,1,21
29,1983-01-08,Allentown,Billy Joel,37,29,7
30,1983-01-08,"Let's Go Dancin' (ooh La, La, La)",Kool & The Gang,31,30,11
31,1983-01-08,Stray Cat Strut,Stray Cats,43,31,3
32,1983-01-08,Heart Of The Night,Juice Newton,36,32,7
33,1983-01-08,A Penny For Your Thoughts,Tavares,33,33,17
34,1983-01-08,What About Me,Moving Pictures,34,34,17
35,1983-01-08,Shock The Monkey,Peter Gabriel,35,35,12
36,1983-01-08,Does It Make You Remember,Kim Carnes,38,36,10
37,1983-01-08,Your Love Is Driving Me Crazy,Sammy Hagar,39,37,5
38,1983-01-08,Two Less Lonely People In The World,Air Supply,40,38,9
39,1983-01-08,Missing You,Dan Fogelberg,23,23,14
40,1983-01-08,Space Age Love Song,A Flock Of Seagulls,42,40,9
41,1983-01-08,Muscles,Diana Ross,41,10,15
42,1983-01-08,Memory,Barry Manilow,45,42,8
43,1983-01-08,On The Wings Of Love,Jeffrey Osborne,29,29,16
44,1983-01-08,I Gotta Try,Michael McDonald,44,44,9
