,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1998-01-03,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,13
2,1998-01-03,Been Around The World,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),5,2,5
3,1998-01-03,How Do I Live,LeAnn Rimes,2,2,29
4,1998-01-03,Together Again,Janet,4,4,3
5,1998-01-03,My Body,LSG,6,4,10
6,1998-01-03,You Make Me Wanna...,Usher,3,2,20
7,1998-01-03,Truly Madly Deeply,Savage Garden,9,7,5
8,1998-01-03,Feel So Good,Mase,7,5,10
9,1998-01-03,A Song For Mama,Boyz II Men,12,9,4
10,1998-01-03,Show Me Love,Robyn,8,7,8
11,1998-01-03,I Will Come To You,Hanson,13,9,6
12,1998-01-03,My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara,10,4,19
13,1998-01-03,Tubthumping,Chumbawamba,11,6,17
14,1998-01-03,We're Not Making Love No More,Dru Hill,16,14,4
15,1998-01-03,I Don't Ever Want To See You Again,Uncle Sam,20,15,9
16,1998-01-03,The One I Gave My Heart To,Aaliyah,15,9,14
17,1998-01-03,I Don't Want To Wait,Paula Cole,14,12,10
18,1998-01-03,Butta Love,Next,19,16,18
19,1998-01-03,Spice Up Your Life,Spice Girls,18,18,9
20,1998-01-03,Sock It 2 Me,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",21,12,12
21,1998-01-03,All Cried Out,Allure Featuring 112,17,4,19
22,1998-01-03,I Do,Lisa Loeb,23,22,10
23,1998-01-03,How's It Going To Be,Third Eye Blind,27,23,5
24,1998-01-03,Lollipop (Candyman),Aqua,29,24,4
25,1998-01-03,4 Seasons Of Loneliness,Boyz II Men,24,1,15
26,1998-01-03,Foolish Games/You Were Meant For Me,Jewel,22,2,58
27,1998-01-03,What About Us,Total,28,16,19
28,1998-01-03,Semi-Charmed Life,Third Eye Blind,25,4,27
29,1998-01-03,Quit Playing Games (With My Heart),Backstreet Boys,26,2,28
30,1998-01-03,"No, No, No",Destiny's Child,35,30,6
31,1998-01-03,Criminal,Fiona Apple,31,21,14
32,1998-01-03,Going Back To Cali,The Notorious B.I.G.,37,32,5
33,1998-01-03,Heaven,Nu Flavor,33,33,13
34,1998-01-03,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,30,1,23
35,1998-01-03,All For You,Sister Hazel,34,11,26
36,1998-01-03,Breaking All The Rules,She Moves,32,32,9
37,1998-01-03,If I Could Teach The World,Bone Thugs-N-Harmony,39,27,12
38,1998-01-03,The Memory Remains,Metallica,43,28,6
39,1998-01-03,Building A Mystery,Sarah McLachlan,36,13,18
40,1998-01-03,Honey,Mariah Carey,41,1,17
41,1998-01-03,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,40,1,30
42,1998-01-03,No Tengo Dinero,Los Umbrellos,42,42,19
43,1998-01-03,Don't Be Stupid (You Know I Love You),Shania Twain,48,43,5
44,1998-01-03,They Like It Slow,H-Town,38,35,13
45,1998-01-03,Kiss The Rain,Billie Myers,52,45,9
46,1998-01-03,2 Become 1,Spice Girls,45,4,21
47,1998-01-03,Invisible Man,98 Degrees,44,12,26
48,1998-01-03,At The Beginning,Richard Marx & Donna Lewis,51,48,9
49,1998-01-03,Sunny Came Home,Shawn Colvin,46,7,26
50,1998-01-03,I Care 'Bout You,Milestone,49,23,19
51,1998-01-03,You Light Up My Life,LeAnn Rimes,59,34,17
52,1998-01-03,Everything,Mary J. Blige,47,24,15
53,1998-01-03,32 Flavors,Alana Davis,56,53,5
54,1998-01-03,Love Gets Me Every Time,Shania Twain,53,25,13
55,1998-01-03,What If,Reba McEntire,63,55,4
56,1998-01-03,Legend Of A Cowgirl,Imani Coppola,54,36,17
57,1998-01-03,Still Waters (Run Deep),Bee Gees,57,57,4
58,1998-01-03,Just Clownin',WC From Westside Connection,58,58,4
59,1998-01-03,So Help Me Girl,Gary Barlow,50,44,12
60,1998-01-03,Roxanne `97 - Puff Daddy Remix,Sting & The Police,65,60,2
61,1998-01-03,I Miss My Homies,Master P Featuring Pimp C And The Shocker,55,25,18
62,1998-01-03,Tuck Me In,Kimberly Scott,68,62,4
63,1998-01-03,You're Not Alone,Olive,64,56,11
64,1998-01-03,I'm Not A Player,Big Punisher,62,57,10
65,1998-01-03,So Good,Davina,60,60,10
66,1998-01-03,I'm Afraid Of Americans,David Bowie,66,66,7
67,1998-01-03,Santa's A Fat Bitch,Insane Clown Posse,67,67,2
68,1998-01-03,Backyard Boogie,Mack 10,61,37,19
69,1998-01-03,You Should Be Mine (Don't Waste Your Time),Brian McKnight Featuring Mase,69,17,18
70,1998-01-03,Say You'll Stay,KAI,78,70,3
71,1998-01-03,Swing My Way,K.P. & Envyi,86,71,2
72,1998-01-03,Last Night's Letter,K-Ci & JoJo,70,46,14
73,1998-01-03,Don't Stop The Music,Playa,73,73,8
74,1998-01-03,One More Night,Amber,72,69,12
75,1998-01-03,Around The World,Daft Punk,81,61,19
76,1998-01-03,Something That We Do,Clint Black,76,76,3
77,1998-01-03,I Wonder If Heaven Got A Ghetto,2Pac,79,67,4
78,1998-01-03,Deja Vu [Uptown Baby],Lord Tariq & Peter Gunz,80,78,4
79,1998-01-03,"Too Gone, Too Long",En Vogue,82,33,13
80,1998-01-03,L-L-Lies,Diana King,71,71,7
81,1998-01-03,Mourn You Til I Join You,Naughty By Nature,77,51,8
82,1998-01-03,Valentine,Martina McBride With Jim Brickman,74,50,14
83,1998-01-03,In Harm's Way,BeBe Winans,83,83,7
84,1998-01-03,The Rest Of Mine,Trace Adkins,84,70,12
85,1998-01-03,Did I Shave My Legs For This?,Deana Carter,91,85,4
86,1998-01-03,"4, 3, 2, 1","LL Cool J Featuring Method Man, Redman, DMX, Canibus And Master P",75,75,2
87,1998-01-03,Love Of My Life,Sammy Kershaw,92,87,2
88,1998-01-03,Only If...,Enya,,,
89,1998-01-03,You Know My Steez,Gang Starr,88,81,5
90,1998-01-03,All Of My Days,Changing Faces (Featuring Jay-Z),87,65,9
91,1998-01-03,Ain't That Just The Way,Lutricia McNeal,,,
92,1998-01-03,Have A Little Mercy,4.0,85,46,20
93,1998-01-03,What If I Said,Anita Cochran (Duet With Steve Wariner),,,
94,1998-01-03,Man Behind The Music,Queen Pen Featuring Teddy Riley,89,89,4
95,1998-01-03,I'm So Happy I Can't Stop Crying,Toby Keith With Sting,97,84,5
96,1998-01-03,Smack My Bitch Up,The Prodigy,90,90,3
97,1998-01-03,Don't Go,Le Click Featuring Kayo,94,62,15
98,1998-01-03,Up & Down,Billy Lawrence,99,92,4
99,1998-01-03,Doin' Time,Sublime,96,96,3
100,1998-01-03,Brian Wilson,Barenaked Ladies,100,92,7
1,1998-01-10,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1,1,14
2,1998-01-10,Been Around The World,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),2,2,6
3,1998-01-10,Together Again,Janet,4,3,4
4,1998-01-10,My Body,LSG,5,4,11
5,1998-01-10,How Do I Live,LeAnn Rimes,3,2,30
6,1998-01-10,Truly Madly Deeply,Savage Garden,7,6,6
7,1998-01-10,Feel So Good,Mase,8,5,11
