,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1975-01-04,Lucy In The Sky With Diamonds,Elton John,2,1,6
2,1975-01-04,"You're The First, The Last, My Everything",Barry White,3,2,10
3,1975-01-04,Kung Fu Fighting,Carl Douglas,4,1,13
4,1975-01-04,Junior's Farm/Sally G,Paul McCartney And Wings,6,4,9
5,1975-01-04,Laughter In The Rain,Neil Sedaka,8,5,12
6,1975-01-04,Angie Baby,Helen Reddy,1,1,12
7,1975-01-04,Only You,Ringo Starr,9,7,8
8,1975-01-04,Boogie On Reggae Woman,Stevie Wonder,10,8,8
9,1975-01-04,Please Mr. Postman,Carpenters,11,9,7
10,1975-01-04,Mandy,Barry Manilow,12,10,8
11,1975-01-04,Cat's In The Cradle,Harry Chapin,5,1,14
12,1975-01-04,Must Of Got Lost,The J. Geils Band,13,12,9
13,1975-01-04,One Man Woman/One Woman Man,Paul Anka with Odia Coates,14,13,9
14,1975-01-04,Bungle In The Jungle,Jethro Tull,16,14,10
15,1975-01-04,Morning Side Of The Mountain,Donny & Marie Osmond,19,15,8
16,1975-01-04,Dark Horse,George Harrison,20,16,7
17,1975-01-04,When Will I See You Again,The Three Degrees,7,2,15
18,1975-01-04,Never Can Say Goodbye,Gloria Gaynor,18,18,10
19,1975-01-04,Sha-La-La (Make Me Happy),Al Green,15,7,15
20,1975-01-04,Fire,Ohio Players,24,20,4
21,1975-01-04,Doctor's Orders,Carol Douglas,25,21,6
22,1975-01-04,Pick Up The Pieces,AWB,27,22,5
23,1975-01-04,Some Kind Of Wonderful,Grand Funk,29,23,4
24,1975-01-04,You Got The Love,Rufus Featuring Chaka Khan,17,11,13
25,1975-01-04,Rock N' Roll (I Gave You The Best Years Of My Life),Mac Davis,32,25,5
26,1975-01-04,Ride 'em Cowboy,Paul Davis,28,26,13
27,1975-01-04,Get Dancin',Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III,35,27,7
28,1975-01-04,Dancin' Fool,The Guess Who,30,28,7
29,1975-01-04,I Feel A Song (In My Heart)/Don't Burn Down The Bridge,Gladys Knight And The Pips,23,21,13
30,1975-01-04,From His Woman To You,Barbara Mason,38,30,6
31,1975-01-04,I Can Help,Billy Swan,21,1,15
32,1975-01-04,Best Of My Love,Eagles,40,32,6
33,1975-01-04,"Ruby, Baby","Billy ""Crash"" Craddock",37,33,7
34,1975-01-04,I Belong To You,Love Unlimited,41,34,6
35,1975-01-04,Free Bird,Lynyrd Skynyrd,43,35,7
36,1975-01-04,Do It ('til You're Satisfied),B.T. Express,22,2,15
37,1975-01-04,You're No Good,Linda Ronstadt,46,37,5
38,1975-01-04,Promised Land,Elvis Presley,26,14,11
39,1975-01-04,The Entertainer,Billy Joel,39,39,6
40,1975-01-04,Struttin',Billy Preston,57,40,4
41,1975-01-04,Look In My Eyes Pretty Woman,Tony Orlando & Dawn,63,41,3
42,1975-01-04,Ain't Too Proud To Beg,The Rolling Stones,31,17,9
43,1975-01-04,Woman To Woman,Shirley Brown,33,22,10
44,1975-01-04,Ready,Cat Stevens,54,44,5
45,1975-01-04,Wishing You Were Here,Chicago,34,11,12
46,1975-01-04,Black Water,The Doobie Brothers,59,46,3
47,1975-01-04,#9 Dream,John Lennon,58,47,3
48,1975-01-04,Changes,David Bowie,56,48,12
49,1975-01-04,Funky President (People It's Bad)/Coldblooded,James Brown,44,44,9
50,1975-01-04,Sugar Pie Guy Pt. 1,The Joneses,51,50,14
51,1975-01-04,You Ain't Seen Nothing Yet/Free Wheelin',Bachman-Turner Overdrive,42,1,16
52,1975-01-04,My Eyes Adored You,Frankie Valli,55,52,7
53,1975-01-04,Without Love,Aretha Franklin,45,45,8
54,1975-01-04,My Melody Of Love,Bobby Vinton,48,3,16
55,1975-01-04,I've Got The Music In Me,The Kiki Dee Band,53,12,17
56,1975-01-04,Fairytale,The Pointer Sisters,36,13,14
57,1975-01-04,Sunshine Part II,The O'Jays,66,57,4
58,1975-01-04,Your Bulldog Drinks Champagne,Jim Stafford,69,58,3
59,1975-01-04,She's Gone,Tavares,50,50,14
60,1975-01-04,"Baby, Hang Up The Phone",Carl Graves,70,60,5
61,1975-01-04,Longfellow Serenade,Neil Diamond,49,5,14
62,1975-01-04,Lady,Styx,72,62,4
63,1975-01-04,Happy People,The Temptations,74,63,3
64,1975-01-04,Sweet Surrender,John Denver,78,64,2
65,1975-01-04,Can't Get It Out Of My Head,Electric Light Orchestra,76,65,3
66,1975-01-04,Lonely People,America,77,66,2
67,1975-01-04,Nightingale,Carole King,,,
68,1975-01-04,Philadelphia,B.B. King,68,68,6
69,1975-01-04,"Whatever You Got, I Want",Jackson 5,60,38,11
70,1975-01-04,Let's Straighten It Out,Latimore,79,31,11
71,1975-01-04,One Tear,Eddie Kendricks,71,71,5
72,1975-01-04,I Am I Am,Smokey Robinson,75,72,4
73,1975-01-04,When A Child Is Born,Michael Holm,73,73,4
74,1975-01-04,Big Yellow Taxi,Joni Mitchell,84,67,8
75,1975-01-04,As Long As He Takes Care Of Home,Candi Staton,86,75,2
76,1975-01-04,"Hoppy, Gene And Me",Roy Rogers,81,76,3
77,1975-01-04,Day Tripper,Anne Murray,80,77,3
78,1975-01-04,I'm A Woman,Maria Muldaur,88,78,2
79,1975-01-04,Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band,64,1,15
80,1975-01-04,"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta,85,80,5
81,1975-01-04,Back Home Again,John Denver,65,5,16
82,1975-01-04,Don't Cha Love It,The Miracles,83,82,3
83,1975-01-04,Midnight Sky (Part 1),The Isley Brothers,,,
84,1975-01-04,To The Door Of The Sun (Alle Porte Del Sole),Al Martino,82,82,3
85,1975-01-04,Costafine Town,Splinter,87,85,4
86,1975-01-04,I Feel Sanctified,Commodores,89,75,8
87,1975-01-04,Gee Baby,Peter Shelley,90,87,3
88,1975-01-04,Rhyme Tyme People,Kool & The Gang,,,
89,1975-01-04,Heartbreak Road,Bill Withers,93,89,2
90,1975-01-04,Don't Take Your Love,The Manhattans,,,
91,1975-01-04,Words (are Impossible),Margie Joseph,94,91,3
92,1975-01-04,Love Don't You Go Through No Changes On Me,Sister Sledge,,,
93,1975-01-04,I Wouldn't Treat A Dog (The Way You Treated Me),Bobby Bland,98,88,7
94,1975-01-04,"What A Man, My Man Is",Lynn Anderson,,,
95,1975-01-04,Poetry Man,Phoebe Snow,,,
96,1975-01-04,Let Me Start Tonite,Lamont Dozier,,,
97,1975-01-04,Ms. Grace,The Tymes,91,91,3
98,1975-01-04,Lady Marmalade,Labelle,,,
99,1975-01-04,Up In A Puff Of Smoke,Polly Brown,,,
100,1975-01-04,Crazy Talk,Chilliwack,100,100,2
1,1975-01-11,Lucy In The Sky With Diamonds,Elton John,1,1,7
2,1975-01-11,"You're The First, The Last, My Everything",Barry White,2,2,11
3,1975-01-11,Junior's Farm/Sally G,Paul McCartney And Wings,4,3,10
4,1975-01-11,Laughter In The Rain,Neil Sedaka,5,4,13
5,1975-01-11,Mandy,Barry Manilow,10,5,9
6,1975-01-11,Only You,Ringo Starr,7,6,9
