,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1974-01-05,Time In A Bottle,Jim Croce,1,1,8
2,1974-01-05,The Joker,The Steve Miller Band,4,2,12
3,1974-01-05,Leave Me Alone (ruby Red Dress),Helen Reddy,3,3,10
4,1974-01-05,The Most Beautiful Girl,Charlie Rich,2,1,15
5,1974-01-05,Show And Tell,Al Wilson,8,5,12
6,1974-01-05,Smokin' In The Boy's Room,Brownsville Station,9,6,11
7,1974-01-05,Goodbye Yellow Brick Road,Elton John,5,2,11
8,1974-01-05,"Never, Never Gonna Give Ya Up",Barry White,10,8,11
9,1974-01-05,Living For The City,Stevie Wonder,11,9,9
10,1974-01-05,I've Got To Use My Imagination,Gladys Knight And The Pips,14,10,7
11,1974-01-05,Top Of The World,Carpenters,7,1,14
12,1974-01-05,Helen Wheels,Paul McCartney And Wings,16,12,7
13,1974-01-05,Let Me Be There,Olivia Newton-John,17,13,8
14,1974-01-05,Hello It's Me,Todd Rundgren,6,5,14
15,1974-01-05,The Way We Were,Barbra Streisand,23,15,7
16,1974-01-05,You're Sixteen,Ringo Starr,27,16,4
17,1974-01-05,Love's Theme,Love Unlimited Orchestra,21,17,6
18,1974-01-05,Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,19,18,7
19,1974-01-05,When I Fall In Love/Are You Lonesome Tonight,Donny Osmond,25,19,7
20,1974-01-05,Me And Baby Brother,War,24,20,9
21,1974-01-05,If You're Ready (Come Go With Me),The Staple Singers,12,9,11
22,1974-01-05,Rockin' Roll Baby,The Stylistics,15,14,12
23,1974-01-05,Just You 'n' Me,Chicago,13,4,15
24,1974-01-05,Livin' For You,Al Green,30,24,5
25,1974-01-05,MIND GAMES,John Lennon,18,18,9
26,1974-01-05,D'yer Mak'er,Led Zeppelin,20,20,12
27,1974-01-05,The Love I Lost (Part 1),Harold Melvin And The Blue Notes,22,7,15
28,1974-01-05,My Music,Loggins & Messina,26,16,10
29,1974-01-05,Sister Mary Elephant (Shudd-Up!),Cheech & Chong,35,29,7
30,1974-01-05,Spiders & Snakes,Jim Stafford,38,30,9
31,1974-01-05,Walk Like A Man,Grand Funk,36,31,7
32,1974-01-05,Photograph,Ringo Starr,28,1,14
33,1974-01-05,Who's In The Strawberry Patch With Sally,Tony Orlando & Dawn,32,27,9
34,1974-01-05,Come Get To This,Marvin Gaye,33,21,10
35,1974-01-05,Space Race,Billy Preston,29,4,16
36,1974-01-05,Painted Ladies,Ian Thomas,37,36,11
37,1974-01-05,Jungle Boogie,Kool & The Gang,54,37,5
38,1974-01-05,I Got A Name,Jim Croce,34,10,14
39,1974-01-05,American Tune,Paul Simon,43,39,6
40,1974-01-05,If We Make It Through December,Merle Haggard,50,40,7
41,1974-01-05,I Can't Stand The Rain,Ann Peebles,42,38,19
42,1974-01-05,This Time I'm Gone For Good,"Bobby ""Blue"" Bland",44,42,8
43,1974-01-05,Midnight Train To Georgia,Gladys Knight And The Pips,31,1,19
44,1974-01-05,"""Joy"" Pt. I",Isaac Hayes,62,44,3
45,1974-01-05,Tell Her She's Lovely,El Chicano,45,40,8
46,1974-01-05,Let Your Hair Down,The Temptations,65,46,3
47,1974-01-05,I Love,Tom T. Hall,57,47,5
48,1974-01-05,Rock On,David Essex,52,48,9
49,1974-01-05,Let Me Serenade You,Three Dog Night,41,17,11
