,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,2014-01-04,The Monster,Eminem Featuring Rihanna,1,1,8
2,2014-01-04,Timber,Pitbull Featuring Ke$ha,2,2,11
3,2014-01-04,Counting Stars,OneRepublic,3,3,27
4,2014-01-04,Say Something,A Great Big World & Christina Aguilera,4,4,7
5,2014-01-04,Royals,Lorde,5,1,25
6,2014-01-04,Demons,Imagine Dragons,6,6,35
7,2014-01-04,Let Her Go,Passenger,9,7,21
8,2014-01-04,Wake Me Up!,Avicii,7,4,26
9,2014-01-04,Wrecking Ball,Miley Cyrus,8,1,18
10,2014-01-04,Story Of My Life,One Direction,10,6,8
11,2014-01-04,Roar,Katy Perry,12,1,20
12,2014-01-04,Drunk In Love,Beyonce Featuring Jay Z,,,
13,2014-01-04,"Hold On, We're Going Home",Drake Featuring Majid Jordan,11,4,20
14,2014-01-04,Dark Horse,Katy Perry Featuring Juicy J,22,14,14
15,2014-01-04,Burn,Ellie Goulding,13,13,16
16,2014-01-04,Do What U Want,Lady Gaga Featuring R. Kelly,16,13,9
17,2014-01-04,Sweater Weather,The Neighbourhood,14,14,28
18,2014-01-04,Team,Lorde,23,18,13
19,2014-01-04,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,15,15,14
20,2014-01-04,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",18,11,14
21,2014-01-04,Pompeii,Bastille,24,21,19
22,2014-01-04,Stay The Night,Zedd Featuring Hayley Williams,19,19,14
23,2014-01-04,Unconditionally,Katy Perry,17,14,9
24,2014-01-04,My Hitta,YG Featuring Jeezy & Rich Homie Quan,21,19,12
25,2014-01-04,Applause,Lady Gaga,20,4,19
26,2014-01-04,All I Want For Christmas Is You,Mariah Carey,27,21,7
27,2014-01-04,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,25,1,36
28,2014-01-04,Holy Grail,Jay Z Featuring Justin Timberlake,28,4,24
29,2014-01-04,Show Me,Kid Ink Featuring Chris Brown,39,29,7
30,2014-01-04,Stay,Florida Georgia Line,29,28,10
31,2014-01-04,Radioactive,Imagine Dragons,30,3,69
32,2014-01-04,Love More,Chris Brown Featuring Nicki Minaj,31,23,22
33,2014-01-04,Gas Pedal,Sage The Gemini Featuring IamSu!,44,29,22
34,2014-01-04,Drink A Beer,Luke Bryan,37,34,7
35,2014-01-04,Brave,Sara Bareilles,33,26,28
36,2014-01-04,It Won't Stop,Sevyn Streeter Featuring Chris Brown,32,30,12
37,2014-01-04,All Me,Drake Featuring 2 Chainz & Big Sean,40,20,13
38,2014-01-04,Rap God,Eminem,34,7,10
39,2014-01-04,Sail,AWOLNATION,38,17,68
40,2014-01-04,Whatever She's Got,David Nail,43,40,12
41,2014-01-04,Marry Me,Jason Derulo,26,26,12
42,2014-01-04,Safe And Sound,Capital Cities,45,8,34
43,2014-01-04,Drunk Last Night,Eli Young Band,42,41,16
44,2014-01-04,Best Day Of My Life,American Authors,35,35,6
45,2014-01-04,The Christmas Song (Merry Christmas To You),Nat King Cole,,45,6
46,2014-01-04,Wasting All These Tears,Cassadee Pope,46,37,16
47,2014-01-04,Carolina,Parmalee,36,36,14
48,2014-01-04,Who You Love,John Mayer Featuring Katy Perry,,48,2
49,2014-01-04,Replay,Zendaya,69,49,18
50,2014-01-04,Rockin' Around The Christmas Tree,Brenda Lee,,14,12
51,2014-01-04,I Have Nothing,Tessanne Chin,,,
52,2014-01-04,Sweet Annie,Zac Brown Band,47,47,10
53,2014-01-04,Chillin' It,Cole Swindell,48,48,10
54,2014-01-04,Let It Go,Idina Menzel,54,54,4
55,2014-01-04,All Of Me,John Legend,52,52,11
56,2014-01-04,That's My Kind Of Night,Luke Bryan,53,15,19
57,2014-01-04,When She Says Baby,Jason Aldean,60,57,4
58,2014-01-04,Bottoms Up,Brantley Gilbert,,,
59,2014-01-04,Animals,Martin Garrix,56,51,14
60,2014-01-04,HeadBand,B.o.B Featuring 2 Chainz,68,60,28
61,2014-01-04,Let It Go,Demi Lovato,58,58,4
62,2014-01-04,Don't Let Me Be Lonely,The Band Perry,59,59,10
63,2014-01-04,Hey Brother,Avicii,66,63,3
64,2014-01-04,Little Drummer Boy,Pentatonix,51,13,3
65,2014-01-04,Friday Night,Eric Paslay,62,62,10
66,2014-01-04,XO,Beyonce,,,
67,2014-01-04,Up All Night,Jon Pardi,71,67,6
68,2014-01-04,The Language,Drake,70,51,9
69,2014-01-04,Slow Down,Selena Gomez,50,27,20
70,2014-01-04,Love Me Again,John Newman,72,70,5
71,2014-01-04,Radio,Darius Rucker,65,65,10
72,2014-01-04,I Luv This Sh*t,August Alsina Featuring Trinidad James,63,48,16
73,2014-01-04,We Were Us,Keith Urban And Miranda Lambert,57,26,15
74,2014-01-04,TKO,Justin Timberlake,61,36,14
75,2014-01-04,Compass,Lady Antebellum,73,65,7
76,2014-01-04,Let It Be,Tessanne Chin & Adam Levine,,,
77,2014-01-04,Berzerk,Eminem,78,3,17
78,2014-01-04,Underneath The Tree,Kelly Clarkson,80,78,3
79,2014-01-04,Up Down (Do This All Day),T-Pain Featuring B.o.B,82,79,5
80,2014-01-04,Sunny And 75,Joe Nichols,67,39,17
81,2014-01-04,Alone Together,Fall Out Boy,83,81,4
82,2014-01-04,Best Song Ever,One Direction,94,2,20
83,2014-01-04,Do I Wanna Know?,Arctic Monkeys,91,83,3
84,2014-01-04,Helluva Life,Frankie Ballard,88,84,3
85,2014-01-04,All That Matters,Justin Bieber,84,24,4
86,2014-01-04,See You Tonight,Scotty McCreery,86,86,4
87,2014-01-04,Bound 2,Kanye West,76,12,5
88,2014-01-04,Honest,Future,81,55,15
89,2014-01-04,Talk Dirty,Jason Derulo Featuring 2 Chainz,,,
90,2014-01-04,Perfume,Britney Spears,77,76,4
91,2014-01-04,Bounce It,Juicy J Featuring Wale & Trey Songz,90,74,17
92,2014-01-04,Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,79,77,7
93,2014-01-04,Old School Love,Lupe Fiasco Featuring Ed Sheeran,95,93,3
94,2014-01-04,Worst Behavior,Drake,,89,2
95,2014-01-04,Waiting For Superman,Daughtry,,70,6
96,2014-01-04,Survival,Eminem,96,16,11
97,2014-01-04,Paranoid,Ty Dolla $ign Featuring B.o.B,,,
98,2014-01-04,The Fox,Ylvis,92,6,16
99,2014-01-04,Mine,Beyonce Featuring Drake,,,
100,2014-01-04,I Hold On,Dierks Bentley,,,
1,2014-01-11,The Monster,Eminem Featuring Rihanna,1,1,9
2,2014-01-11,Timber,Pitbull Featuring Ke$ha,2,2,12
3,2014-01-11,Counting Stars,OneRepublic,3,3,28
4,2014-01-11,Royals,Lorde,5,1,26
5,2014-01-11,Say Something,A Great Big World & Christina Aguilera,4,4,8
6,2014-01-11,Demons,Imagine Dragons,6,6,36
7,2014-01-11,Let Her Go,Passenger,7,7,22
8,2014-01-11,Roar,Katy Perry,11,1,21
9,2014-01-11,Story Of My Life,One Direction,10,6,9
10,2014-01-11,Wake Me Up!,Avicii,8,4,27
11,2014-01-11,Dark Horse,Katy Perry Featuring Juicy J,14,11,15
12,2014-01-11,Wrecking Ball,Miley Cyrus,9,1,19
13,2014-01-11,Burn,Ellie Goulding,15,13,17
14,2014-01-11,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",20,11,15
15,2014-01-11,"Hold On, We're Going Home",Drake Featuring Majid Jordan,13,4,21
16,2014-01-11,Sweater Weather,The Neighbourhood,17,14,29
17,2014-01-11,Drunk In Love,Beyonce Featuring Jay Z,12,12,2
18,2014-01-11,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,19,15,15
19,2014-01-11,Team,Lorde,18,18,14
20,2014-01-11,Unconditionally,Katy Perry,23,14,10
21,2014-01-11,Pompeii,Bastille,21,21,20
22,2014-01-11,Adore You,Miley Cyrus,,22,3
23,2014-01-11,Do What U Want,Lady Gaga Featuring R. Kelly,16,13,10
24,2014-01-11,My Hitta,YG Featuring Jeezy & Rich Homie Quan,24,19,13
25,2014-01-11,Radioactive,Imagine Dragons,31,3,70
26,2014-01-11,Applause,Lady Gaga,25,4,20
27,2014-01-11,Stay The Night,Zedd Featuring Hayley Williams,22,19,15
28,2014-01-11,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,27,1,37
29,2014-01-11,Holy Grail,Jay Z Featuring Justin Timberlake,28,4,25
30,2014-01-11,Gas Pedal,Sage The Gemini Featuring IamSu!,33,29,23
31,2014-01-11,Stay,Florida Georgia Line,30,28,11
32,2014-01-11,Let It Go,Idina Menzel,54,32,5
33,2014-01-11,Rap God,Eminem,38,7,11
34,2014-01-11,That's My Kind Of Night,Luke Bryan,56,15,20
35,2014-01-11,Sail,AWOLNATION,39,17,69
36,2014-01-11,Brave,Sara Bareilles,35,26,29
37,2014-01-11,Drink A Beer,Luke Bryan,34,34,8
38,2014-01-11,Turn Down For What,DJ Snake & Lil Jon,,,
39,2014-01-11,Marry Me,Jason Derulo,41,26,13
40,2014-01-11,Replay,Zendaya,49,40,19
41,2014-01-11,All Me,Drake Featuring 2 Chainz & Big Sean,37,20,14
42,2014-01-11,Show Me,Kid Ink Featuring Chris Brown,29,29,8
43,2014-01-11,Let It Go,Demi Lovato,61,43,5
44,2014-01-11,Love More,Chris Brown Featuring Nicki Minaj,32,23,23
45,2014-01-11,Safe And Sound,Capital Cities,42,8,35
46,2014-01-11,Whatever She's Got,David Nail,40,40,13
47,2014-01-11,Wasting All These Tears,Cassadee Pope,46,37,17
48,2014-01-11,Berzerk,Eminem,77,3,18
49,2014-01-11,It Won't Stop,Sevyn Streeter Featuring Chris Brown,36,30,13
50,2014-01-11,Carolina,Parmalee,47,36,15
51,2014-01-11,Chillin' It,Cole Swindell,53,48,11
52,2014-01-11,Best Day Of My Life,American Authors,44,35,7
53,2014-01-11,HeadBand,B.o.B Featuring 2 Chainz,60,53,29
54,2014-01-11,Best Song Ever,One Direction,82,2,21
55,2014-01-11,Animals,Martin Garrix,59,51,15
56,2014-01-11,Drunk Last Night,Eli Young Band,43,41,17
57,2014-01-11,When She Says Baby,Jason Aldean,57,57,5
58,2014-01-11,The Fox,Ylvis,98,6,17
59,2014-01-11,All That Matters,Justin Bieber,85,24,5
60,2014-01-11,TKO,Justin Timberlake,74,36,15
61,2014-01-11,Sweet Annie,Zac Brown Band,52,47,11
62,2014-01-11,Love Me Again,John Newman,70,62,6
63,2014-01-11,The Language,Drake,68,51,10
64,2014-01-11,Survival,Eminem,96,16,12
65,2014-01-11,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",,,
66,2014-01-11,Hey Brother,Avicii,63,63,4
67,2014-01-11,We Were Us,Keith Urban And Miranda Lambert,73,26,16
68,2014-01-11,All Of Me,John Legend,55,52,12
69,2014-01-11,Don't Let Me Be Lonely,The Band Perry,62,59,11
70,2014-01-11,Friday Night,Eric Paslay,65,62,11
71,2014-01-11,Alone Together,Fall Out Boy,81,71,5
72,2014-01-11,Compass,Lady Antebellum,75,65,8
73,2014-01-11,XO,Beyonce,66,66,2
74,2014-01-11,For The First Time In Forever,Kristen Bell & Idina Menzel,,,
75,2014-01-11,Radio,Darius Rucker,71,65,11
76,2014-01-11,I Luv This Sh*t,August Alsina Featuring Trinidad James,72,48,17
77,2014-01-11,Sunny And 75,Joe Nichols,80,39,18
78,2014-01-11,Up All Night,Jon Pardi,67,67,7
79,2014-01-11,See You Tonight,Scotty McCreery,86,79,5
80,2014-01-11,Bottoms Up,Brantley Gilbert,58,58,2
81,2014-01-11,Bounce It,Juicy J Featuring Wale & Trey Songz,91,74,18
82,2014-01-11,Mine,Beyonce Featuring Drake,99,82,2
83,2014-01-11,Everybody's Got Somebody But Me,Hunter Hayes Featuring Jason Mraz,92,77,8
84,2014-01-11,Up Down (Do This All Day),T-Pain Featuring B.o.B,79,79,6
85,2014-01-11,Talk Dirty,Jason Derulo Featuring 2 Chainz,89,85,2
86,2014-01-11,Helluva Life,Frankie Ballard,84,84,4
87,2014-01-11,Waiting For Superman,Daughtry,95,70,7
88,2014-01-11,Heart Attack,Enrique Iglesias,,88,2
89,2014-01-11,Gorilla,Bruno Mars,,22,16
90,2014-01-11,Honest,Future,88,55,16
91,2014-01-11,Perfume,Britney Spears,90,76,5
92,2014-01-11,Do I Wanna Know?,Arctic Monkeys,83,83,4
93,2014-01-11,The Heart Of Dixie,Danielle Bradbery,,58,4
94,2014-01-11,I Hold On,Dierks Bentley,100,94,2
95,2014-01-11,Worst Behavior,Drake,94,89,3
96,2014-01-11,Neon Lights,Demi Lovato,,,
