Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,2007-01-06,Irreplaceable,Beyonce,1.0,1.0,10.0,Beyonce
2,2007-01-06,I Wanna Love You,Akon Featuring Snoop Dogg,2.0,1.0,13.0,Akon Featuring Snoop Dogg
3,2007-01-06,Fergalicious,Fergie,4.0,3.0,14.0,Fergie
4,2007-01-06,Smack That,Akon Featuring Eminem,3.0,2.0,14.0,Akon Featuring Eminem
5,2007-01-06,My Love,Justin Timberlake Featuring T.I.,5.0,1.0,16.0,Justin Timberlake Featuring T.I.
6,2007-01-06,Say It Right,Nelly Furtado,6.0,6.0,7.0,Nelly Furtado
7,2007-01-06,How To Save A Life,The Fray,8.0,3.0,37.0,The Fray
8,2007-01-06,We Fly High,Jim Jones,7.0,7.0,12.0,Jim Jones
9,2007-01-06,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,9.0,9.0,12.0,Bow Wow Featuring Chris Brown Featuring Johnta Austin
10,2007-01-06,Lips Of An Angel,Hinder,10.0,3.0,24.0,Hinder
11,2007-01-06,It Ends Tonight,The All-American Rejects,18.0,11.0,13.0,The All-American Rejects
12,2007-01-06,SexyBack,Justin Timberlake,16.0,1.0,25.0,Justin Timberlake
13,2007-01-06,Walk It Out,Unk,13.0,13.0,16.0,Unk
14,2007-01-06,Promise,Ciara,11.0,11.0,7.0,Ciara
15,2007-01-06,Money Maker,Ludacris Featuring Pharrell,15.0,1.0,20.0,Ludacris Featuring Pharrell
16,2007-01-06,Welcome To The Black Parade,My Chemical Romance,27.0,13.0,15.0,My Chemical Romance
17,2007-01-06,Chasing Cars,Snow Patrol,17.0,5.0,32.0,Snow Patrol
18,2007-01-06,Walk Away (Remember Me),Paula DeAnda Featuring The DEY,22.0,18.0,12.0,Paula DeAnda Featuring The DEY
19,2007-01-06,Far Away,Nickelback,20.0,8.0,23.0,Nickelback
20,2007-01-06,Keep Holding On,Avril Lavigne,19.0,17.0,4.0,Avril Lavigne
21,2007-01-06,Wind It Up,Gwen Stefani,12.0,6.0,8.0,Gwen Stefani
22,2007-01-06,Runaway Love,Ludacris Featuring Mary J. Blige,31.0,22.0,6.0,Ludacris Featuring Mary J. Blige
23,2007-01-06,What Goes Around...Comes Around,Justin Timberlake,38.0,23.0,3.0,Justin Timberlake
24,2007-01-06,Before He Cheats,Carrie Underwood,23.0,16.0,17.0,Carrie Underwood
25,2007-01-06,Hurt,Christina Aguilera,21.0,19.0,13.0,Christina Aguilera
26,2007-01-06,I Luv It,Young Jeezy,14.0,14.0,6.0,Young Jeezy
27,2007-01-06,Make It Rain,Fat Joe Featuring Lil Wayne,30.0,27.0,8.0,Fat Joe Featuring Lil Wayne
28,2007-01-06,Waiting On The World To Change,John Mayer,29.0,20.0,24.0,John Mayer
29,2007-01-06,You,Lloyd Featuring Lil Wayne,26.0,26.0,7.0,Lloyd Featuring Lil Wayne
30,2007-01-06,Say Goodbye,Chris Brown,28.0,10.0,20.0,Chris Brown
31,2007-01-06,Snow ((Hey Oh)),Red Hot Chili Peppers,49.0,31.0,6.0,Red Hot Chili Peppers
32,2007-01-06,That's That,Snoop Dogg Featuring R. Kelly,24.0,20.0,6.0,Snoop Dogg Featuring R. Kelly
33,2007-01-06,Too Little Too Late,JoJo,35.0,3.0,19.0,JoJo
34,2007-01-06,Money In The Bank,Lil Scrappy Featuring Young Buck,32.0,28.0,15.0,Lil Scrappy Featuring Young Buck
35,2007-01-06,Wait A Minute,The Pussycat Dolls Featuring Timbaland,37.0,35.0,7.0,The Pussycat Dolls Featuring Timbaland
36,2007-01-06,Call Me When You're Sober,Evanescence,34.0,10.0,19.0,Evanescence
37,2007-01-06,My Wish,Rascal Flatts,33.0,28.0,16.0,Rascal Flatts
38,2007-01-06,It's Not Over,Daughtry,44.0,38.0,5.0,Daughtry
39,2007-01-06,Through Glass,Stone Sour,41.0,39.0,21.0,Stone Sour
40,2007-01-06,She's Everything,Brad Paisley,36.0,35.0,12.0,Brad Paisley
41,2007-01-06,Hip Hop Is Dead,Nas Featuring will.i.am,56.0,41.0,3.0,Nas Featuring will.i.am
42,2007-01-06,Here It Goes Again,OK Go,62.0,38.0,17.0,OK Go
43,2007-01-06,Suddenly I See,KT Tunstall,,43.0,21.0,KT Tunstall
44,2007-01-06,White & Nerdy,"""Weird Al"" Yankovic",55.0,9.0,13.0,"""Weird Al"" Yankovic"
45,2007-01-06,Watching You,Rodney Atkins,40.0,40.0,8.0,Rodney Atkins
46,2007-01-06,What Hurts The Most,Rascal Flatts,46.0,6.0,47.0,Rascal Flatts
47,2007-01-06,My Little Girl,Tim McGraw,43.0,35.0,15.0,Tim McGraw
48,2007-01-06,Tim McGraw,Taylor Swift,45.0,44.0,16.0,Taylor Swift
49,2007-01-06,Stuntin' Like My Daddy,Birdman & Lil Wayne,42.0,21.0,17.0,Birdman Featuring Lil Wayne
50,2007-01-06,You Don't Know,"Eminem, 50 Cent, Lloyd Banks & Cashis",25.0,12.0,3.0,"Eminem Featuring 50 Cent, Lloyd Banks Featuring Cashis"
51,2007-01-06,Tell Me,Diddy Featuring Christina Aguilera,47.0,47.0,10.0,Diddy Featuring Christina Aguilera
52,2007-01-06,Want To,Sugarland,39.0,32.0,14.0,Sugarland
53,2007-01-06,Ice Box,Omarion,57.0,53.0,4.0,Omarion
