Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,1965-01-02,I Feel Fine,The Beatles,1.0,1.0,5.0,The Beatles
2,1965-01-02,Come See About Me,The Supremes,2.0,1.0,8.0,The Supremes
3,1965-01-02,Mr. Lonely,Bobby Vinton,3.0,1.0,10.0,Bobby Vinton
4,1965-01-02,She's A Woman,The Beatles,4.0,4.0,5.0,The Beatles
5,1965-01-02,Love Potion Number Nine,The Searchers,11.0,5.0,6.0,The Searchers
6,1965-01-02,Goin' Out Of My Head,Little Anthony And The Imperials,6.0,6.0,9.0,Little Anthony And The Imperials
7,1965-01-02,She's Not There,The Zombies,5.0,2.0,12.0,The Zombies
8,1965-01-02,Amen,The Impressions,12.0,8.0,7.0,The Impressions
9,1965-01-02,The Jerk,The Larks,9.0,9.0,8.0,The Larks
10,1965-01-02,The Wedding,Julie Rogers,14.0,10.0,7.0,Julie Rogers
11,1965-01-02,Ringo,Lorne Greene,7.0,1.0,10.0,Lorne Greene
12,1965-01-02,Downtown,Petula Clark,41.0,12.0,3.0,Petula Clark
13,1965-01-02,Sha La La,Manfred Mann,13.0,13.0,8.0,Manfred Mann
14,1965-01-02,You've Lost That Lovin' Feelin',The Righteous Brothers,34.0,14.0,4.0,The Righteous Brothers
15,1965-01-02,Keep Searchin' (We'll Follow The Sun),Del Shannon,23.0,15.0,7.0,Del Shannon
16,1965-01-02,"My Love, Forgive Me (Amore, Scusami)",Robert Goulet,21.0,16.0,11.0,Robert Goulet
17,1965-01-02,Any Way You Want It,The Dave Clark Five,19.0,17.0,8.0,The Dave Clark Five
18,1965-01-02,Willow Weep For Me,Chad & Jeremy,24.0,18.0,8.0,Chad & Jeremy
19,1965-01-02,How Sweet It Is To Be Loved By You,Marvin Gaye,27.0,19.0,7.0,Marvin Gaye
20,1965-01-02,Time Is On My Side,The Rolling Stones,10.0,6.0,12.0,The Rolling Stones
21,1965-01-02,I'm Into Something Good,Herman's Hermits,17.0,13.0,12.0,Herman's Hermits
22,1965-01-02,"Dance, Dance, Dance",The Beach Boys,8.0,8.0,9.0,The Beach Boys
23,1965-01-02,Leader Of The Laundromat,The Detergents,28.0,23.0,5.0,The Detergents
24,1965-01-02,Oh No Not My Baby,Maxine Brown,25.0,24.0,11.0,Maxine Brown
