,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1994-01-08,Hero,Mariah Carey,1,1,12
2,1994-01-08,All For Love,Bryan Adams/Rod Stewart/Sting,4,2,7
3,1994-01-08,All That She Wants,Ace Of Base,3,2,17
4,1994-01-08,Again,Janet Jackson,2,1,12
5,1994-01-08,Gangsta Lean,DRS,7,4,13
6,1994-01-08,Breathe Again,Toni Braxton,6,6,13
7,1994-01-08,Whoomp! (There It Is),Tag Team,11,2,33
8,1994-01-08,What's My Name?,Snoop Dogg,8,8,6
9,1994-01-08,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,5,1,17
10,1994-01-08,Said I Loved You...But I Lied,Michael Bolton,9,9,10
11,1994-01-08,Can We Talk,Tevin Campbell,13,10,13
12,1994-01-08,Keep Ya Head Up,2Pac,14,12,11
13,1994-01-08,Shoop,Salt-N-Pepa,10,4,14
14,1994-01-08,Please Forgive Me,Bryan Adams,12,7,12
15,1994-01-08,Just Kickin' It,Xscape,15,2,17
16,1994-01-08,Linger,The Cranberries,16,16,12
17,1994-01-08,Getto Jam,Domino,17,17,7
18,1994-01-08,Cry For You,Jodeci,18,18,7
19,1994-01-08,The Power Of Love,Celine Dion,22,19,7
20,1994-01-08,Mr. Vain,Culture Beat,20,20,10
21,1994-01-08,Never Keeping Secrets,Babyface,21,21,12
22,1994-01-08,Because The Night,"10,000 Maniacs",19,18,10
23,1994-01-08,Understanding,Xscape,46,23,3
24,1994-01-08,"I Can See Clearly Now (From ""Cool Runnings"")",Jimmy Cliff,23,23,10
25,1994-01-08,U.N.I.T.Y.,Queen Latifah,28,25,7
26,1994-01-08,Come Baby Come,K7,26,18,19
27,1994-01-08,What Is Love,Haddaway,24,11,20
28,1994-01-08,Dreams,Gabrielle,29,28,14
29,1994-01-08,Sex Me (Parts I & II),R. Kelly,27,20,11
30,1994-01-08,Dreamlover,Mariah Carey,30,1,23
31,1994-01-08,Time And Chance,Color Me Badd,33,23,11
32,1994-01-08,Let It Snow,Boyz II Men,43,32,5
33,1994-01-08,"Never Should've Let You Go (From ""Sister Act 2"")",Hi-Five,31,30,13
34,1994-01-08,Cryin',Aerosmith,34,12,24
35,1994-01-08,Jessie,Joshua Kadison,35,33,14
36,1994-01-08,Amazing,Aerosmith,36,36,6
37,1994-01-08,(I Know I Got) Skillz,Shaquille O'Neal,37,35,12
38,1994-01-08,Hey Mr. D.J.,Zhane,25,6,20
39,1994-01-08,All About Soul,Billy Joel,32,29,10
40,1994-01-08,Anniversary,Tony Toni Tone,38,10,16
41,1994-01-08,Sweat (A La La La La Long),Inner Circle,41,16,23
42,1994-01-08,Real Muthaphuckkin G's,Eazy-E,42,42,9
43,1994-01-08,The River Of Dreams,Billy Joel,40,3,24
44,1994-01-08,Found Out About You,Gin Blossoms,39,39,8
45,1994-01-08,Slow And Easy,Zapp & Roger,47,44,11
46,1994-01-08,No Rain,Blind Melon,49,20,21
