,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1979-01-06,Too Much Heaven,Bee Gees,2,1,8
2,1979-01-06,Le Freak,Chic,1,1,11
3,1979-01-06,My Life,Billy Joel,4,3,10
4,1979-01-06,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,3,1,11
5,1979-01-06,I Love The Nightlife (Disco 'round),Alicia Bridges,5,5,27
6,1979-01-06,Sharing The Night Together,Dr. Hook,7,6,17
7,1979-01-06,Y.M.C.A.,Village People,8,7,12
8,1979-01-06,Hold The Line,Toto,10,8,14
9,1979-01-06,(Our Love) Don't Throw It All Away,Andy Gibb,9,9,13
10,1979-01-06,Ooh Baby Baby,Linda Ronstadt,11,10,9
11,1979-01-06,Promises,Eric Clapton And His Band,13,11,13
12,1979-01-06,How You Gonna See Me Now,Alice Cooper,12,12,12
13,1979-01-06,A Little More Love,Olivia Newton-John,19,13,7
14,1979-01-06,We've Got Tonight,Bob Seger & The Silver Bullet Band,17,14,11
15,1979-01-06,September,"Earth, Wind & Fire",18,15,8
16,1979-01-06,Every 1's A Winner,Hot Chocolate,22,16,9
17,1979-01-06,Lotta Love,Nicolette Larson,27,17,7
18,1979-01-06,Please Come Home For Christmas,Eagles,20,18,5
19,1979-01-06,New York Groove,Ace Frehley,23,19,13
20,1979-01-06,Fire,The Pointer Sisters,28,20,9
21,1979-01-06,I'm Every Woman,Chaka Khan,21,21,14
22,1979-01-06,Shake It,Ian Matthews,26,22,8
23,1979-01-06,I Just Wanna Stop,Gino Vannelli,6,4,18
24,1979-01-06,I Was Made For Dancin',Leif Garrett,30,24,9
25,1979-01-06,Bicycle Race/Fat Bottomed Girls,Queen,25,25,9
26,1979-01-06,Time Passages,Al Stewart,14,7,15
27,1979-01-06,Da Ya Think I'm Sexy?,Rod Stewart,40,27,3
28,1979-01-06,Don't Hold Back,Chanson,32,28,9
29,1979-01-06,Instant Replay,Dan Hartman,33,29,13
30,1979-01-06,I Will Be In Love With You,Livingston Taylor,34,30,12
31,1979-01-06,Somewhere In The Night,Barry Manilow,57,31,4
32,1979-01-06,Soul Man,Blues Brothers,54,32,5
33,1979-01-06,A Man I'll Never Be,Boston,37,33,8
34,1979-01-06,The Gambler,Kenny Rogers,38,34,10
35,1979-01-06,My Best Friend's Girl,The Cars,35,35,12
36,1979-01-06,Take Me To The River,Talking Heads,39,36,10
37,1979-01-06,Don't Cry Out Loud,Melissa Manchester,41,37,8
38,1979-01-06,MacArthur Park,Donna Summer,15,1,18
39,1979-01-06,Home And Dry,Gerry Rafferty,43,39,6
40,1979-01-06,Got To Be Real,Cheryl Lynn,44,40,6
41,1979-01-06,Mary Jane,Rick James,42,41,10
42,1979-01-06,Love Don't Live Here Anymore,Rose Royce,53,42,5
43,1979-01-06,You Took The Words Right Out Of My Mouth,Meat Loaf,49,43,9
44,1979-01-06,One Last Kiss,The J. Geils Band,45,44,8
45,1979-01-06,Shattered,The Rolling Stones,55,45,4
46,1979-01-06,Baby I'm Burnin',Dolly Parton,56,46,5
47,1979-01-06,You Thrill Me,Exile,47,47,7
48,1979-01-06,The Dream Never Dies,Cooper Brothers,48,48,11
49,1979-01-06,You Need A Woman Tonight,Captain & Tennille,59,49,5
50,1979-01-06,Radioactive,Gene Simmons,50,50,6
51,1979-01-06,Strange Way,Firefall,16,11,15
52,1979-01-06,How Much I Feel,Ambrosia,29,3,19
53,1979-01-06,Dancin' Shoes,Nigel Olsson,64,53,4
54,1979-01-06,No Tell Lover,Chicago,77,54,3
55,1979-01-06,I Don't Wanna Lose You,Daryl Hall John Oates,65,55,5
56,1979-01-06,Straight On,Heart,31,15,16
57,1979-01-06,Shake Your Groove Thing,Peaches & Herb,71,57,4
58,1979-01-06,"Blue Morning, Blue Day",Foreigner,75,58,3
59,1979-01-06,Sweet Life,Paul Davis,24,17,20
60,1979-01-06,Lost In Your Love,John Paul Young,70,60,5
61,1979-01-06,I Will Survive,Gloria Gaynor,76,61,4
62,1979-01-06,Easy Driver,Kenny Loggins,62,62,6
63,1979-01-06,What You Won't Do For Love,Bobby Caldwell,83,63,3
64,1979-01-06,Part-Time Love,Elton John,36,22,9
65,1979-01-06,Double Vision,Foreigner,51,2,16
66,1979-01-06,Silver Lining,Player,72,66,4
67,1979-01-06,The Power Of Gold,Dan Fogelberg/Tim Weisberg,52,24,13
68,1979-01-06,Dancing In The City,Marshall Hain,78,68,5
69,1979-01-06,Dancin' Shoes,Faith Band,80,69,4
70,1979-01-06,The Football Card,Glenn Sutton,,,
71,1979-01-06,"Hold Me, Touch Me",Paul Stanley,46,46,10
72,1979-01-06,You've Really Got A Hold On Me,Eddie Money,73,72,7
73,1979-01-06,You Can Do It,Dobie Gray,86,73,3
74,1979-01-06,This Moment In Time,Engelbert Humperdinck,85,74,3
75,1979-01-06,Sing For The Day,Styx,,,
76,1979-01-06,Stormy,Santana,,,
77,1979-01-06,Animal House,Stephen Bishop,88,77,3
78,1979-01-06,Moment By Moment,Yvonne Elliman,89,78,3
79,1979-01-06,Miles Away,Fotomaker,63,63,6
80,1979-01-06,Every Time I Think Of You,The Babys,,,
81,1979-01-06,Free Me From My Freedom/Tie Me To A Tree (Handcuff Me),Bonnie Pointer,82,81,8
82,1979-01-06,A Little Lovin' (Keeps The Doctor Away),The Raes,93,82,4
83,1979-01-06,Who Do Ya Love,KC And The Sunshine Band,84,83,4
84,1979-01-06,Haven't Stopped Dancing Yet,Gonzalez,,,
85,1979-01-06,Get Down,Gene Chandler,,,
86,1979-01-06,I Don't Know If It's Right,"Evelyn ""Champagne"" King",,,
87,1979-01-06,Need You Bad,Ted Nugent,,,
88,1979-01-06,Lady,Little River Band,,,
89,1979-01-06,Ain't That Enough For You,John Davis And The Monster Orchestra,92,89,3
90,1979-01-06,Mary's Boy Child / Oh My Lord,Boney M,90,90,3
91,1979-01-06,I'm Gonna Make You Love Me,The Blend,91,91,4
92,1979-01-06,In The Bush,Musique,58,58,12
93,1979-01-06,Your Sweetness Is My Weakness,Barry White,60,60,8
94,1979-01-06,Alive Again,Chicago,61,14,12
95,1979-01-06,I Believe You,Carpenters,68,68,5
96,1979-01-06,You Needed Me,Anne Murray,96,1,26
97,1979-01-06,Hot Child In The City,Nick Gilder,99,1,31
98,1979-01-06,Mañana,Jimmy Buffett,100,84,6
99,1979-01-06,Light The Sky On Fire,Jefferson Starship,66,66,6
100,1979-01-06,Got To Have Loving,Don Ray,67,44,15
1,1979-01-13,Too Much Heaven,Bee Gees,1,1,9
2,1979-01-13,Le Freak,Chic,2,1,12
3,1979-01-13,My Life,Billy Joel,3,3,11
4,1979-01-13,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond,4,1,12
5,1979-01-13,Hold The Line,Toto,8,5,15
6,1979-01-13,Sharing The Night Together,Dr. Hook,6,6,18
7,1979-01-13,Y.M.C.A.,Village People,7,7,13
8,1979-01-13,Ooh Baby Baby,Linda Ronstadt,10,8,10
9,1979-01-13,(Our Love) Don't Throw It All Away,Andy Gibb,9,9,14
10,1979-01-13,Promises,Eric Clapton And His Band,11,10,14
11,1979-01-13,A Little More Love,Olivia Newton-John,13,11,8
12,1979-01-13,How You Gonna See Me Now,Alice Cooper,12,12,13
13,1979-01-13,We've Got Tonight,Bob Seger & The Silver Bullet Band,14,13,12
14,1979-01-13,September,"Earth, Wind & Fire",15,14,9
15,1979-01-13,Every 1's A Winner,Hot Chocolate,16,15,10
16,1979-01-13,Lotta Love,Nicolette Larson,17,16,8
