,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,2017-01-07,Starboy,The Weeknd Featuring Daft Punk,2,1,14
2,2017-01-07,Black Beatles,Rae Sremmurd Featuring Gucci Mane,1,1,15
3,2017-01-07,Closer,The Chainsmokers Featuring Halsey,3,1,21
4,2017-01-07,24K Magic,Bruno Mars,4,4,11
5,2017-01-07,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,8,5,13
6,2017-01-07,Side To Side,Ariana Grande Featuring Nicki Minaj,5,4,17
7,2017-01-07,Let Me Love You,DJ Snake Featuring Justin Bieber,9,4,20
8,2017-01-07,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,10,7,11
9,2017-01-07,Bad Things,Machine Gun Kelly x Camila Cabello,14,9,8
10,2017-01-07,Fake Love,Drake,12,10,9
11,2017-01-07,Caroline,Amine,16,11,16
12,2017-01-07,Heathens,twenty one pilots,15,2,27
13,2017-01-07,Bad And Boujee,Migos Featuring Lil Uzi Vert,26,13,6
14,2017-01-07,Scars To Your Beautiful,Alessia Cara,18,13,17
15,2017-01-07,Broccoli,D.R.A.M. Featuring Lil Yachty,17,5,28
16,2017-01-07,All I Want For Christmas Is You,Mariah Carey,20,11,18
17,2017-01-07,Starving,Hailee Steinfeld & Grey Featuring Zedd,19,12,21
18,2017-01-07,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,6,6,2
19,2017-01-07,OOOUUU,Young M.A,47,19,17
20,2017-01-07,Love On The Brain,Rihanna,27,20,10
21,2017-01-07,Bounce Back,Big Sean,31,21,7
22,2017-01-07,The Greatest,Sia Featuring Kendrick Lamar,28,18,16
23,2017-01-07,Hallelujah,Pentatonix,45,23,9
24,2017-01-07,All Time Low,Jon Bellion,36,24,11
25,2017-01-07,I Feel It Coming,The Weeknd Featuring Daft Punk,33,22,5
26,2017-01-07,Treat You Better,Shawn Mendes,32,6,29
27,2017-01-07,Rockin' Around The Christmas Tree,Brenda Lee,48,14,18
28,2017-01-07,Mercy,Shawn Mendes,44,28,14
29,2017-01-07,Jingle Bell Rock,Bobby Helms,46,29,19
30,2017-01-07,In The Name Of Love,Martin Garrix & Bebe Rexha,35,24,19
31,2017-01-07,I Hate U I Love U,gnash Featuring Olivia O'Brien,25,10,36
32,2017-01-07,Can't Stop The Feeling!,Justin Timberlake,39,1,33
33,2017-01-07,Blue Ain't Your Color,Keith Urban,38,24,15
34,2017-01-07,Don't Let Me Down,The Chainsmokers Featuring Daya,43,3,45
35,2017-01-07,Deja Vu,J. Cole,7,7,2
36,2017-01-07,Cheap Thrills,Sia Featuring Sean Paul,41,1,45
37,2017-01-07,This Town,Niall Horan,50,25,13
38,2017-01-07,Cold Water,Major Lazer Featuring Justin Bieber & MO,40,2,22
39,2017-01-07,Chill Bill,Rob $tone Featuring J. Davi$ & Spooks,49,29,21
40,2017-01-07,Love Me Now,John Legend,37,23,9
41,2017-01-07,Both,Gucci Mane Featuring Drake,,,
42,2017-01-07,Unsteady,X Ambassadors,42,20,32
43,2017-01-07,X,21 Savage & Metro Boomin Featuring Future,51,36,15
44,2017-01-07,Feliz Navidad,Jose Feliciano,,,
45,2017-01-07,"Mary, Did You Know?",Pentatonix,,26,7
46,2017-01-07,A Holly Jolly Christmas,Burl Ives,,,
47,2017-01-07,The Christmas Song (Merry Christmas To You),Nat King Cole,,38,8
48,2017-01-07,It's The Most Wonderful Time Of The Year,Andy Williams,,,
49,2017-01-07,Party Monster,The Weeknd,53,16,5
50,2017-01-07,Last Christmas,Wham!,,,
51,2017-01-07,Water Under The Bridge,Adele,61,51,7
52,2017-01-07,You Was Right,Lil Uzi Vert,58,49,24
53,2017-01-07,No Heart,21 Savage & Metro Boomin,55,53,9
54,2017-01-07,Neighbors,J. Cole,13,13,2
55,2017-01-07,Used To This,Future Featuring Drake,64,14,7
