,Week,Song,Artist,Last week,Peak position,Weeks on chart
1,1960-01-04,El Paso,Marty Robbins,2,1,9
2,1960-01-04,Why,Frankie Avalon,1,1,7
3,1960-01-04,The Big Hurt,Miss Toni Fisher,3,3,8
4,1960-01-04,Running Bear,Johnny Preston,11,4,12
5,1960-01-04,Way Down Yonder In New Orleans,Freddie Cannon,5,5,7
6,1960-01-04,Heartaches By The Number,Guy Mitchell,6,1,14
7,1960-01-04,It's Time To Cry,Paul Anka,4,4,7
8,1960-01-04,Among My Souvenirs,Connie Francis,7,7,7
9,1960-01-04,Pretty Blue Eyes,Steve Lawrence,10,9,7
10,1960-01-04,"Go, Jimmy, Go",Jimmy Clanton,19,10,5
11,1960-01-04,We Got Love,Bobby Rydell,12,6,13
12,1960-01-04,Mack The Knife,Bobby Darin,8,1,20
13,1960-01-04,The Village Of St. Bernadette,Andy Williams,28,13,4
14,1960-01-04,Uh! Oh! Part 2,The Nutty Squirrels,14,14,9
15,1960-01-04,Sandy,Larry Hall,16,15,7
16,1960-01-04,Hound Dog Man,Fabian,9,9,8
17,1960-01-04,Scarlet Ribbons (For Her Hair),The Browns,13,13,10
18,1960-01-04,Smokie - Part 2,Bill Black's Combo,23,18,6
19,1960-01-04,Not One Minute More,Della Reese,32,19,4
20,1960-01-04,This Friendly World,Fabian,20,12,7
21,1960-01-04,In The Mood,Ernie Fields & Orch.,18,4,16
22,1960-01-04,The Little Drummer Boy,The Harry Simeone Chorale,15,13,13
23,1960-01-04,You Got What It Takes,Marv Johnson,27,23,10
24,1960-01-04,First Name Initial,Annette With The Afterbeats,29,24,11
25,1960-01-04,So Many Ways,Brook Benton,17,6,12
26,1960-01-04,Oh! Carol,Neil Sedaka,25,9,13
27,1960-01-04,Be My Guest,Fats Domino,24,8,11
28,1960-01-04,Tear Drop,Santo & Johnny,30,23,6
29,1960-01-04,Teen Angel,Mark Dinning,50,29,3
30,1960-01-04,Come Into My Heart,Lloyd Price and His Orchestra,31,20,11
31,1960-01-04,Mr. Blue,The Fleetwoods,22,1,18
32,1960-01-04,I Wanna Be Loved,Ricky Nelson,26,20,6
33,1960-01-04,Danny Boy,Conway Twitty,33,10,15
34,1960-01-04,Don't You Know,Della Reese,21,2,16
35,1960-01-04,Talk That Talk,Jackie Wilson,43,35,7
36,1960-01-04,Marina,Rocco Granata and the International Quintet,35,31,9
37,1960-01-04,Just Come Home,Hugo & Luigi,55,37,4
38,1960-01-04,How About That,Dee Clark,49,38,5
39,1960-01-04,Swingin' On A Rainbow,Frankie Avalon,48,39,3
40,1960-01-04,Misty,Johnny Mathis,36,12,14
41,1960-01-04,He'll Have To Go,Jim Reeves,58,41,2
42,1960-01-04,Believe Me,Royal Teens,47,26,11
43,1960-01-04,Dance With Me,The Drifters,37,15,13
44,1960-01-04,Just As Much As Ever,Bob Beckham,38,32,21
45,1960-01-04,The Happy Reindeer,"Dancer, Prancer And Nervous",34,34,5
46,1960-01-04,Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels,83,46,2
47,1960-01-04,(New In) The Ways Of Love,Tommy Edwards,53,47,8
48,1960-01-04,If I Had A Girl,Rod Lauren,62,48,3
49,1960-01-04,Mighty Good,Ricky Nelson,45,38,6
50,1960-01-04,What About Us,The Coasters,51,50,5
51,1960-01-04,Where Or When,Dion & The Belmonts,72,51,2
52,1960-01-04,The Clouds,The Spacemen,46,41,12
53,1960-01-04,Mary Don't You Weep,Stonewall Jackson,61,53,2
54,1960-01-04,Marina,Willy Alberti,42,42,6
55,1960-01-04,"(If You Cry) True Love, True Love",The Drifters,56,33,10
56,1960-01-04,No Love Have I,Webb Pierce,67,56,2
57,1960-01-04,Reveille Rock,Johnny And The Hurricanes,44,25,10
58,1960-01-04,Uh! Oh! Part 1,The Nutty Squirrels,65,45,5
59,1960-01-04,Always,Sammy Turner,40,19,10
60,1960-01-04,"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials,76,60,5
61,1960-01-04,The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,41,41,4
62,1960-01-04,Down By The Station,The Four Preps,78,62,2
63,1960-01-04,A Year Ago Tonight,The Crests,52,52,5
64,1960-01-04,Honey Hush,Joe Turner,91,64,2
65,1960-01-04,Lonely Blue Boy,Conway Twitty,89,65,2
66,1960-01-04,Wont'cha Come Home,Lloyd Price and His Orchestra,69,43,9
67,1960-01-04,Handy Man,Jimmy Jones,87,67,2
68,1960-01-04,Crazy Arms,Bob Beckham,,,
69,1960-01-04,High School U.S.A.,Tommy Facenda,54,28,12
70,1960-01-04,Lucky Devil,"Carl Dobkins, Jr.",82,70,5
71,1960-01-04,Let's Try Again,Clyde McPhatter,74,71,3
72,1960-01-04,Baciare Baciare (Kissing Kissing),Dorothy Collins,73,72,3
73,1960-01-04,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,66,9,17
74,1960-01-04,Primrose Lane,Jerry Wallace With The Jewels,60,8,21
75,1960-01-04,This Time Of The Year,Brook Benton,77,75,3
76,1960-01-04,Love Potion No. 9,The Clovers,71,23,17
77,1960-01-04,Climb Ev'ry Mountain,Tony Bennett,81,77,3
78,1960-01-04,Skokiaan (South African Song),Bill Haley And His Comets,,,
79,1960-01-04,Sweet Nothin's,Brenda Lee,90,79,3
80,1960-01-04,Run Red Run,The Coasters,84,80,3
81,1960-01-04,Promise Me A Rose (A Slight Detail),Anita Bryant,88,81,2
82,1960-01-04,Rockin' Little Angel,Ray Smith,,,
83,1960-01-04,I'm Movin' On,Ray Charles and his Orchestra,64,40,9
84,1960-01-04,Tracy's Theme,Spencer Ross,,,
85,1960-01-04,The Little Drummer Boy,Johnny Cash,63,63,3
86,1960-01-04,Little Things Mean A Lot,Joni James,93,86,2
87,1960-01-04,Riverboat,Faron Young,,,
88,1960-01-04,Harlem Nocturne,The Viscounts,98,88,2
89,1960-01-04,God Bless America,Connie Francis,39,36,8
90,1960-01-04,The Sound Of Music,Patti Page,99,90,2
91,1960-01-04,I Don't Know What It Is,The Bluenotes,80,80,4
