Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,2001-01-06,Independent Women Part I,Destiny's Child,1.0,1.0,16.0,Destiny's Child
2,2001-01-06,He Loves U Not,Dream,2.0,2.0,15.0,Dream
3,2001-01-06,It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent",3.0,2.0,10.0,"Shaggy Featuring Ricardo ""RikRok"" Ducent"
4,2001-01-06,Case Of The Ex (Whatcha Gonna Do),Mya,4.0,2.0,21.0,Mya
5,2001-01-06,With Arms Wide Open,Creed,5.0,1.0,35.0,Creed
6,2001-01-06,Ms. Jackson,OutKast,6.0,6.0,9.0,OutKast
7,2001-01-06,The Way You Love Me,Faith Hill,7.0,7.0,36.0,Faith Hill
8,2001-01-06,Dance With Me,Debelah Morgan,10.0,8.0,24.0,Debelah Morgan
9,2001-01-06,If You're Gone,matchbox twenty,8.0,8.0,12.0,matchbox twenty
10,2001-01-06,Liquid Dreams,O-Town,17.0,10.0,3.0,O-Town
11,2001-01-06,This I Promise You,'N Sync,12.0,5.0,15.0,'N Sync
12,2001-01-06,I Just Wanna Love U (Give It 2 Me),JAY-Z,11.0,11.0,11.0,JAY-Z
13,2001-01-06,Again,Lenny Kravitz,16.0,13.0,8.0,Lenny Kravitz
14,2001-01-06,Love Don't Cost A Thing,Jennifer Lopez,20.0,14.0,5.0,Jennifer Lopez
15,2001-01-06,Kryptonite,3 Doors Down,9.0,3.0,40.0,3 Doors Down
16,2001-01-06,Most Girls,P!nk,14.0,4.0,22.0,P!nk
17,2001-01-06,Gotta Tell You,Samantha Mumba,13.0,4.0,18.0,Samantha Mumba
18,2001-01-06,I Wish,R. Kelly,15.0,15.0,15.0,R. Kelly
19,2001-01-06,E.I.,Nelly,18.0,16.0,14.0,Nelly
20,2001-01-06,Pinch Me,Barenaked Ladies,22.0,15.0,18.0,Barenaked Ladies
21,2001-01-06,Crazy For This Girl,Evan And Jaron,23.0,21.0,10.0,Evan And Jaron
22,2001-01-06,Stronger,Britney Spears,29.0,22.0,6.0,Britney Spears
23,2001-01-06,Danger (Been So Long),Mystikal Featuring Nivea,32.0,23.0,4.0,Mystikal Featuring Nivea
24,2001-01-06,What's Your Fantasy,Ludacris Featuring Shawnna,24.0,21.0,15.0,Ludacris Featuring Shawnna
25,2001-01-06,So In Love With Two,Mikaila,39.0,25.0,7.0,Mikaila
26,2001-01-06,Don't Tell Me,Madonna,30.0,26.0,5.0,Madonna
27,2001-01-06,Music,Madonna,27.0,1.0,22.0,Madonna
28,2001-01-06,Beautiful Day,U2,25.0,25.0,14.0,U2
29,2001-01-06,Shape Of My Heart,Backstreet Boys,19.0,9.0,13.0,Backstreet Boys
30,2001-01-06,Between Me And You,Ja Rule Featuring Christina Milian,21.0,11.0,17.0,Ja Rule Featuring Christina Milian
31,2001-01-06,My First Love,Avant Featuring KeKe Wyatt,26.0,26.0,10.0,Avant Featuring KeKe Wyatt
32,2001-01-06,Crazy,K-Ci & JoJo,38.0,32.0,5.0,K-Ci & JoJo
33,2001-01-06,Bow Wow (That's My Name),Lil Bow Wow,41.0,33.0,7.0,Lil Bow Wow
34,2001-01-06,Hemorrhage (In My Hands),Fuel,35.0,34.0,11.0,Fuel
35,2001-01-06,Just Friends (Sunny),Musiq,31.0,31.0,13.0,Musiq
36,2001-01-06,Don't Think I'm Not,Kandi,40.0,24.0,23.0,Kandi
37,2001-01-06,South Side,Moby Featuring Gwen Stefani,59.0,37.0,6.0,Moby Featuring Gwen Stefani
38,2001-01-06,Bent,matchbox twenty,37.0,1.0,37.0,matchbox twenty
39,2001-01-06,Mamacita,Public Announcement,52.0,39.0,3.0,Public Announcement
40,2001-01-06,My Next Thirty Years,Tim McGraw,28.0,27.0,12.0,Tim McGraw
41,2001-01-06,No More (Baby I'ma Do Right),3LW,48.0,41.0,10.0,3LW
42,2001-01-06,The Christmas Shoes,NewSong,68.0,42.0,2.0,NewSong
43,2001-01-06,My Everything,98 Degrees,44.0,43.0,5.0,98 Degrees
44,2001-01-06,Without You,Dixie Chicks,33.0,31.0,14.0,Dixie Chicks
45,2001-01-06,I Lost It,Kenny Chesney,36.0,34.0,12.0,Kenny Chesney
46,2001-01-06,Born To Fly,Sara Evans,34.0,34.0,12.0,Sara Evans
47,2001-01-06,Project Chick,Cash Money Millionaires,60.0,47.0,4.0,Cash Money Millionaires
48,2001-01-06,You're A God,Vertical Horizon,46.0,23.0,20.0,Vertical Horizon
49,2001-01-06,Best Of Intentions,Travis Tritt,45.0,27.0,21.0,Travis Tritt
50,2001-01-06,Promise,Jagged Edge,64.0,50.0,3.0,Jagged Edge
51,2001-01-06,One Woman Man,Dave Hollister,54.0,51.0,5.0,Dave Hollister
52,2001-01-06,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,85.0,52.0,3.0,Ja Rule Featuring Lil' Mo & Vita
53,2001-01-06,Emotional,Carl Thomas,47.0,47.0,7.0,Carl Thomas
54,2001-01-06,She Bangs,Ricky Martin,43.0,12.0,14.0,Ricky Martin
55,2001-01-06,We Danced,Brad Paisley,42.0,29.0,13.0,Brad Paisley
56,2001-01-06,Tell Her,Lonestar,50.0,50.0,8.0,Lonestar
57,2001-01-06,Angel,Shaggy Featuring Rayvon,81.0,57.0,2.0,Shaggy Featuring Rayvon
58,2001-01-06,The Itch,Vitamin C,57.0,45.0,6.0,Vitamin C
59,2001-01-06,Loser,3 Doors Down,61.0,55.0,12.0,3 Doors Down
60,2001-01-06,It's Over Now,112,65.0,60.0,5.0,112
61,2001-01-06,911,Wyclef Jean Featuring Mary J. Blige,53.0,38.0,14.0,Wyclef Jean Featuring Mary J. Blige
62,2001-01-06,Just Another Day In Paradise,Phil Vassar,51.0,35.0,15.0,Phil Vassar
63,2001-01-06,Oklahoma,Billy Gilman,83.0,63.0,9.0,Billy Gilman
64,2001-01-06,Babylon,David Gray,63.0,63.0,6.0,David Gray
65,2001-01-06,Where Are You Christmas?,Faith Hill,,,,Faith Hill
66,2001-01-06,Ashes By Now,Lee Ann Womack,56.0,56.0,5.0,Lee Ann Womack
67,2001-01-06,Still On Your Side,BBMak,69.0,67.0,2.0,BBMak
68,2001-01-06,You Make Me Sick,P!nk,,,,P!nk
69,2001-01-06,www.memory,Alan Jackson,49.0,45.0,10.0,Alan Jackson
70,2001-01-06,Stan,Eminem Featuring Dido,55.0,51.0,10.0,Eminem Featuring Dido
71,2001-01-06,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott,71.0,71.0,4.0,Memphis Bleek Featuring Jay-Z Featuring Missy Elliott
72,2001-01-06,Burn,Jo Dee Messina,58.0,58.0,6.0,Jo Dee Messina
73,2001-01-06,Stutter,Joe Featuring Mystikal,,,,Joe Featuring Mystikal
74,2001-01-06,Rollin',Limp Bizkit,73.0,65.0,9.0,Limp Bizkit
75,2001-01-06,Butterfly,Crazy Town,,,,Crazy Town
76,2001-01-06,X,Xzibit,80.0,76.0,2.0,Xzibit
77,2001-01-06,There Is No Arizona,Jamie O'Neal,67.0,67.0,3.0,Jamie O'Neal
78,2001-01-06,Could It Be,Jaheim,87.0,78.0,4.0,Jaheim
79,2001-01-06,Can't Fight The Moonlight,LeAnn Rimes,86.0,71.0,18.0,LeAnn Rimes
80,2001-01-06,Thank You In Advance,Boyz II Men,90.0,80.0,2.0,Boyz II Men
81,2001-01-06,Wild Horses,Garth Brooks,70.0,70.0,3.0,Garth Brooks
82,2001-01-06,But For The Grace Of God,Keith Urban,72.0,72.0,3.0,Keith Urban
83,2001-01-06,The Little Girl,John Michael Montgomery,62.0,35.0,18.0,John Michael Montgomery
84,2001-01-06,Meanwhile Back At The Ranch,The Clark Family Experience,82.0,80.0,8.0,The Clark Family Experience
85,2001-01-06,You Shouldn't Kiss Me Like This,Toby Keith,77.0,77.0,2.0,Toby Keith
86,2001-01-06,Liar,Profyle,75.0,14.0,17.0,Profyle
87,2001-01-06,This Everyday Love,Rascal Flatts,76.0,76.0,3.0,Rascal Flatts
88,2001-01-06,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg,92.0,88.0,3.0,Mos Def Featuring Pharoahe Monch Featuring Nate Dogg
89,2001-01-06,Open My Heart,Yolanda Adams,79.0,57.0,20.0,Yolanda Adams
90,2001-01-06,You Should've Told Me,Kelly Price,74.0,64.0,16.0,Kelly Price
91,2001-01-06,Original Prankster,The Offspring,78.0,70.0,7.0,The Offspring
92,2001-01-06,Girls Dem Sugar,Beenie Man Featuring Mya,84.0,54.0,12.0,Beenie Man Featuring Mya
93,2001-01-06,Bouncing Off The Ceiling (Upside Down),A*Teens,,,,A*Teens
94,2001-01-06,My Baby You,Marc Anthony,93.0,70.0,17.0,Marc Anthony
95,2001-01-06,Lady (Hear Me Tonight),Modjo,,,,Modjo
96,2001-01-06,A Little Gasoline,Terri Clark,88.0,75.0,4.0,Terri Clark
97,2001-01-06,Cha-Cha Slide,Mr. C The Slide Man,,,,Mr. C The Slide Man
98,2001-01-06,I Know,Sunday,98.0,98.0,2.0,Sunday
99,2001-01-06,Kiss This,Aaron Tippin,97.0,42.0,20.0,Aaron Tippin
100,2001-01-06,All Good?,De La Soul Featuring Chaka Khan,96.0,96.0,3.0,De La Soul Featuring Chaka Khan
1,2001-01-13,Independent Women Part I,Destiny's Child,1.0,1.0,17.0,Destiny's Child
