Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,2010-01-02,TiK ToK,Kesha,2.0,1.0,11.0,Kesha
2,2010-01-02,Empire State Of Mind,Jay-Z + Alicia Keys,1.0,1.0,15.0,Jay-Z Featuring Alicia Keys
3,2010-01-02,Bad Romance,Lady Gaga,3.0,2.0,8.0,Lady Gaga
4,2010-01-02,Replay,Iyaz,4.0,4.0,18.0,Iyaz
5,2010-01-02,Fireflies,Owl City,5.0,1.0,18.0,Owl City
6,2010-01-02,Sexy Chick,David Guetta Featuring Akon,6.0,6.0,20.0,David Guetta Featuring Akon
7,2010-01-02,Whatcha Say,Jason Derulo,7.0,1.0,19.0,Jason Derulo
8,2010-01-02,Down,Jay Sean Featuring Lil Wayne,10.0,1.0,25.0,Jay Sean Featuring Lil Wayne
9,2010-01-02,Meet Me Halfway,The Black Eyed Peas,8.0,7.0,14.0,The Black Eyed Peas
10,2010-01-02,3,Britney Spears,9.0,1.0,11.0,Britney Spears
11,2010-01-02,Hard,Rihanna Featuring Jeezy,21.0,11.0,5.0,Rihanna Featuring Jeezy
12,2010-01-02,BedRock,Young Money Featuring Lloyd,20.0,12.0,4.0,Young Money Featuring Lloyd
13,2010-01-02,How Low,Ludacris,13.0,13.0,2.0,Ludacris
14,2010-01-02,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,16.0,14.0,7.0,Jay Sean Featuring Sean Paul Featuring Lil Jon
15,2010-01-02,Paparazzi,Lady Gaga,11.0,6.0,17.0,Lady Gaga
16,2010-01-02,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",14.0,8.0,14.0,Drake Featuring Kanye West Featuring Lil Wayne Featuring Eminem
17,2010-01-02,Sweet Dreams,Beyonce,12.0,10.0,22.0,Beyonce
18,2010-01-02,Already Gone,Kelly Clarkson,15.0,13.0,21.0,Kelly Clarkson
19,2010-01-02,Party In The U.S.A.,Miley Cyrus,17.0,2.0,19.0,Miley Cyrus
20,2010-01-02,I Gotta Feeling,The Black Eyed Peas,18.0,1.0,28.0,The Black Eyed Peas
21,2010-01-02,Need You Now,Lady Antebellum,19.0,5.0,19.0,Lady Antebellum
22,2010-01-02,You Belong With Me,Taylor Swift,22.0,2.0,35.0,Taylor Swift
23,2010-01-02,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,28.0,23.0,9.0,Boys Like Girls Featuring Taylor Swift
24,2010-01-02,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,24.0,20.0,11.0,Chris Brown Featuring Lil Wayne Featuring Swizz Beatz
25,2010-01-02,Use Somebody,Kings Of Leon,23.0,4.0,47.0,Kings Of Leon
26,2010-01-02,Money To Blow,Birdman Featuring Lil Wayne & Drake,26.0,26.0,11.0,Birdman Featuring Lil Wayne Featuring Drake
27,2010-01-02,Try Sleeping With A Broken Heart,Alicia Keys,56.0,27.0,5.0,Alicia Keys
28,2010-01-02,Evacuate The Dancefloor,Cascada,25.0,25.0,19.0,Cascada
29,2010-01-02,Hell Breaks Loose,Eminem Featuring Dr. Dre,,,,Eminem Featuring Dr. Dre
30,2010-01-02,Fifteen,Taylor Swift,27.0,23.0,16.0,Taylor Swift
31,2010-01-02,Tie Me Down,New Boyz Featuring Ray J,33.0,31.0,10.0,New Boyz Featuring Ray J
32,2010-01-02,"Hey, Soul Sister",Train,45.0,32.0,12.0,Train
33,2010-01-02,Live Like We're Dying,Kris Allen,36.0,33.0,8.0,Kris Allen
34,2010-01-02,Say Aah,Trey Songz Featuring Fabolous,38.0,34.0,6.0,Trey Songz Featuring Fabolous
35,2010-01-02,Gangsta Luv,Snoop Dogg Featuring The-Dream,35.0,35.0,9.0,Snoop Dogg Featuring The-Dream
36,2010-01-02,Baby By Me,50 Cent Featuring Ne-Yo,29.0,28.0,8.0,50 Cent Featuring Ne-Yo
37,2010-01-02,Run This Town,"Jay-Z, Rihanna & Kanye West",32.0,2.0,21.0,Jay-Z Featuring Rihanna Featuring Kanye West
38,2010-01-02,Telephone,Lady Gaga Featuring Beyonce,46.0,30.0,4.0,Lady Gaga Featuring Beyonce
39,2010-01-02,Cowboy Casanova,Carrie Underwood,30.0,11.0,14.0,Carrie Underwood
40,2010-01-02,Give It Up To Me,Shakira Featuring Lil Wayne,34.0,29.0,6.0,Shakira Featuring Lil Wayne
41,2010-01-02,According To You,Orianthi,55.0,41.0,3.0,Orianthi
42,2010-01-02,I Invented Sex,Trey Songz Featuring Drake,43.0,42.0,9.0,Trey Songz Featuring Drake
43,2010-01-02,Do I,Luke Bryan,37.0,34.0,16.0,Luke Bryan
44,2010-01-02,Fallin' For You,Colbie Caillat,39.0,12.0,25.0,Colbie Caillat
45,2010-01-02,Consider Me Gone,Reba,40.0,38.0,12.0,Reba
46,2010-01-02,If You Only Knew,Shinedown,47.0,42.0,8.0,Shinedown
47,2010-01-02,One Time,Justin Bieber,41.0,20.0,22.0,Justin Bieber
48,2010-01-02,The Truth,Jason Aldean,48.0,47.0,7.0,Jason Aldean
49,2010-01-02,It Kills Me,Melanie Fiona,54.0,49.0,5.0,Melanie Fiona
50,2010-01-02,Southern Voice,Tim McGraw,50.0,49.0,9.0,Tim McGraw
51,2010-01-02,Spotlight,Gucci Mane Featuring Usher,42.0,42.0,8.0,Gucci Mane Featuring Usher
52,2010-01-02,White Liar,Miranda Lambert,49.0,38.0,10.0,Miranda Lambert
53,2010-01-02,Russian Roulette,Rihanna,44.0,9.0,9.0,Rihanna
54,2010-01-02,Smile,Uncle Kracker,58.0,47.0,20.0,Uncle Kracker
55,2010-01-02,Empire State Of Mind (Part II) Broken Down,Alicia Keys,,,,Alicia Keys
56,2010-01-02,Uprising,Muse,66.0,37.0,15.0,Muse
57,2010-01-02,I Wanna Make You Close Your Eyes,Dierks Bentley,52.0,52.0,12.0,Dierks Bentley
58,2010-01-02,Life After You,Daughtry,64.0,58.0,3.0,Daughtry
59,2010-01-02,Carry Out,Timbaland Featuring Justin Timberlake,31.0,31.0,3.0,Timbaland Featuring Justin Timberlake
60,2010-01-02,One Less Lonely Girl,Justin Bieber,73.0,16.0,10.0,Justin Bieber
61,2010-01-02,Papers,Usher,57.0,31.0,10.0,Usher
62,2010-01-02,Never Gonna Be Alone,Nickelback,61.0,61.0,8.0,Nickelback
63,2010-01-02,Red Light,David Nail,59.0,54.0,13.0,David Nail
64,2010-01-02,Why Don't We Just Dance,Josh Turner,75.0,64.0,6.0,Josh Turner
65,2010-01-02,I Am,Mary J. Blige,67.0,65.0,2.0,Mary J. Blige
66,2010-01-02,History In The Making,Darius Rucker,70.0,64.0,8.0,Darius Rucker
67,2010-01-02,Elevator,Eminem,,,,Eminem
68,2010-01-02,Crawl,Chris Brown,60.0,60.0,4.0,Chris Brown
69,2010-01-02,Shut It Down,Pitbull Featuring Akon,83.0,69.0,3.0,Pitbull Featuring Akon
70,2010-01-02,In My Head,Jason Derulo,63.0,63.0,2.0,Jason Derulo
71,2010-01-02,Haven't Met You Yet,Michael Buble,74.0,57.0,12.0,Michael Buble
72,2010-01-02,Whataya Want From Me,Adam Lambert,,,,Adam Lambert
73,2010-01-02,Eight Second Ride,Jake Owen,77.0,70.0,7.0,Jake Owen
74,2010-01-02,Someday,Rob Thomas,76.0,72.0,7.0,Rob Thomas
75,2010-01-02,I Wanna Rock,Snoop Dogg,80.0,75.0,2.0,Snoop Dogg
76,2010-01-02,Bonfire,Craig Morgan,65.0,57.0,13.0,Craig Morgan
77,2010-01-02,Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,68.0,36.0,16.0,Gucci Mane Featuring Plies Or OJ Da Juiceman
78,2010-01-02,All The Right Moves,OneRepublic,79.0,53.0,11.0,OneRepublic
79,2010-01-02,Sex Therapy,Robin Thicke,,,,Robin Thicke
80,2010-01-02,Body Language,Jesse McCartney Featuring T-Pain,69.0,35.0,12.0,Jesse McCartney Featuring T-Pain
81,2010-01-02,I Will Not Bow,Breaking Benjamin,81.0,40.0,16.0,Breaking Benjamin
82,2010-01-02,Break,Three Days Grace,84.0,82.0,15.0,Three Days Grace
83,2010-01-02,Bad Habits,Maxwell,78.0,71.0,13.0,Maxwell
84,2010-01-02,On Fire,Lil Wayne,62.0,62.0,2.0,Lil Wayne
85,2010-01-02,Heartbreak Warfare,John Mayer,,85.0,2.0,John Mayer
86,2010-01-02,American Saturday Night,Brad Paisley,90.0,86.0,3.0,Brad Paisley
87,2010-01-02,That's How Country Boys Roll,Billy Currington,85.0,85.0,4.0,Billy Currington
88,2010-01-02,Cryin' For Me (Wayman's Song),Toby Keith,91.0,88.0,3.0,Toby Keith
89,2010-01-02,Breakeven,The Script,93.0,89.0,3.0,The Script
90,2010-01-02,1901,Phoenix,87.0,87.0,3.0,Phoenix
91,2010-01-02,Halfway Gone,Lifehouse,99.0,91.0,2.0,Lifehouse
92,2010-01-02,Gettin' You Home,Chris Young,86.0,33.0,19.0,Chris Young
93,2010-01-02,Imma Be,The Black Eyed Peas,,50.0,3.0,The Black Eyed Peas
94,2010-01-02,Hey Daddy (Daddy's Home),Usher Featuring Plies,,,,Usher Featuring Plies
95,2010-01-02,(If You're Wondering If I Want You To) I Want You To,Weezer,95.0,81.0,8.0,Weezer
