Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,1962-01-06,The Lion Sleeps Tonight,The Tokens,1.0,1.0,8.0,The Tokens
2,1962-01-06,The Twist,Chubby Checker,3.0,1.0,26.0,Chubby Checker
3,1962-01-06,Run To Him,Bobby Vee,2.0,2.0,8.0,Bobby Vee
4,1962-01-06,Peppermint Twist - Part I,Joey Dee & the Starliters,6.0,4.0,7.0,Joey Dee Featuring the Starliters
5,1962-01-06,Can't Help Falling In Love,Elvis Presley With The Jordanaires,10.0,5.0,5.0,Elvis Presley Featuring The Jordanaires
6,1962-01-06,"Happy Birthday, Sweet Sixteen",Neil Sedaka,8.0,6.0,8.0,Neil Sedaka
7,1962-01-06,Goodbye Cruel World,James Darren,4.0,3.0,12.0,James Darren
8,1962-01-06,Walk On By,Leroy Van Dyke,5.0,5.0,10.0,Leroy Van Dyke
9,1962-01-06,When I Fall In Love,The Lettermen,13.0,9.0,7.0,The Lettermen
10,1962-01-06,Unchain My Heart,Ray Charles and his Orchestra,14.0,10.0,6.0,Ray Charles and his Orchestra
11,1962-01-06,When The Boy In Your Arms (Is The Boy In Your Heart),Connie Francis,15.0,11.0,7.0,Connie Francis
12,1962-01-06,White Christmas,Bing Crosby,20.0,12.0,10.0,Bing Crosby
13,1962-01-06,Please Mr. Postman,The Marvelettes,7.0,1.0,18.0,The Marvelettes
14,1962-01-06,'Til,The Angels,17.0,14.0,11.0,The Angels
15,1962-01-06,I Know (You Don't Love Me No More),Barbara George,26.0,15.0,8.0,Barbara George
16,1962-01-06,I Don't Know Why,Linda Scott,12.0,12.0,10.0,Linda Scott
17,1962-01-06,Let There Be Drums,Sandy Nelson,9.0,7.0,10.0,Sandy Nelson
18,1962-01-06,Revenge,Brook Benton,22.0,18.0,7.0,Brook Benton
19,1962-01-06,Moon River,Henry Mancini And His Orchestra,11.0,11.0,13.0,Henry Mancini And His Orchestra
20,1962-01-06,There's No Other (Like My Baby),The Crystals,23.0,20.0,7.0,The Crystals
21,1962-01-06,Jingle Bell Rock,Bobby Rydell/Chubby Checker,27.0,21.0,4.0,Bobby Rydell/Chubby Checker
22,1962-01-06,The Little Drummer Boy,The Harry Simeone Chorale,34.0,13.0,24.0,The Harry Simeone Chorale
23,1962-01-06,Rock-A-Hula Baby,Elvis Presley With The Jordanaires,25.0,23.0,5.0,Elvis Presley Featuring The Jordanaires
24,1962-01-06,Town Without Pity,Gene Pitney,36.0,24.0,10.0,Gene Pitney
25,1962-01-06,Gypsy Woman,The Impressions,21.0,20.0,12.0,The Impressions
26,1962-01-06,Baby's First Christmas,Connie Francis,43.0,26.0,4.0,Connie Francis
27,1962-01-06,Moon River,Jerry Butler,16.0,11.0,13.0,Jerry Butler
28,1962-01-06,A Little Bitty Tear,Burl Ives,52.0,28.0,3.0,Burl Ives
29,1962-01-06,If You Gotta Make A Fool Of Somebody,James Ray,39.0,29.0,7.0,James Ray
30,1962-01-06,The Wanderer,Dion,41.0,30.0,5.0,Dion
31,1962-01-06,Funny How Time Slips Away,Jimmy Elledge,31.0,31.0,8.0,Jimmy Elledge
32,1962-01-06,Cotton Fields,The Highwaymen,37.0,32.0,6.0,The Highwaymen
33,1962-01-06,Jambalaya (On The Bayou),Fats Domino,35.0,33.0,4.0,Fats Domino
34,1962-01-06,Baby It's You,The Shirelles,45.0,34.0,3.0,The Shirelles
35,1962-01-06,Your Ma Said You Cried In Your Sleep Last Night,Kenny Dino,24.0,24.0,9.0,Kenny Dino
36,1962-01-06,Tonight,Ferrante & Teicher,18.0,8.0,12.0,Ferrante & Teicher
37,1962-01-06,Johnny Will,Pat Boone,40.0,37.0,8.0,Pat Boone
38,1962-01-06,Hey! Little Girl,Del Shannon,44.0,38.0,6.0,Del Shannon
39,1962-01-06,The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,47.0,39.0,11.0,David Seville And The Chipmunks
40,1962-01-06,Big Bad John,Jimmy Dean,19.0,1.0,14.0,Jimmy Dean
41,1962-01-06,Jingle Bell Rock,Bobby Helms,49.0,35.0,11.0,Bobby Helms
42,1962-01-06,Poor Fool,Ike & Tina Turner,46.0,42.0,6.0,Ike Featuring Tina Turner
43,1962-01-06,"Well, I Told You",The Chantels,32.0,29.0,8.0,The Chantels
44,1962-01-06,Small Sad Sam,Phil McLean,33.0,33.0,5.0,Phil McLean
45,1962-01-06,Little Altar Boy,Vic Dana,48.0,45.0,6.0,Vic Dana
46,1962-01-06,Norman,Sue Thompson,60.0,46.0,5.0,Sue Thompson
47,1962-01-06,Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks,51.0,21.0,5.0,David Seville And The Chipmunks
48,1962-01-06,Dear Lady Twist,Gary U.S. Bonds,50.0,48.0,4.0,Gary U.S. Bonds
49,1962-01-06,Just Out Of Reach (Of My Two Open Arms),Solomon Burke,30.0,24.0,16.0,Solomon Burke
50,1962-01-06,Rockin' Around The Christmas Tree,Brenda Lee,58.0,14.0,8.0,Brenda Lee
51,1962-01-06,Turn On Your Love Light,Bobby Bland,61.0,51.0,5.0,Bobby Bland
52,1962-01-06,Twist-Her,Bill Black's Combo,65.0,52.0,3.0,Bill Black's Combo
53,1962-01-06,Irresistible You,Bobby Darin,63.0,53.0,4.0,Bobby Darin
54,1962-01-06,Dreamy Eyes,Johnny Tillotson,73.0,54.0,14.0,Johnny Tillotson
55,1962-01-06,Dear Ivan,Jimmy Dean,,,,Jimmy Dean
56,1962-01-06,The Gypsy Rover,The Highwaymen,42.0,42.0,9.0,The Highwaymen
57,1962-01-06,Up A Lazy River,Si Zentner And His Orchestra,67.0,43.0,7.0,Si Zentner And His Orchestra
58,1962-01-06,Pocketful Of Miracles,Frank Sinatra,64.0,58.0,3.0,Frank Sinatra
59,1962-01-06,Flying Circle,Frank Slay And His Orchestra,69.0,59.0,4.0,Frank Slay And His Orchestra
60,1962-01-06,Do-Re-Mi,Lee Dorsey,66.0,60.0,3.0,Lee Dorsey
61,1962-01-06,Maria,Roger Williams,68.0,61.0,4.0,Roger Williams
62,1962-01-06,Letter Full Of Tears,Gladys Knight And The Pips,70.0,62.0,4.0,Gladys Knight And The Pips
63,1962-01-06,Multiplication,Bobby Darin,83.0,63.0,3.0,Bobby Darin
64,1962-01-06,She's Everything (I Wanted You To Be),Ral Donner,76.0,64.0,2.0,Ral Donner
65,1962-01-06,Let's Twist Again,Chubby Checker,29.0,8.0,19.0,Chubby Checker
66,1962-01-06,"Turn Around, Look At Me",Glen Campbell,62.0,62.0,8.0,Glen Campbell
67,1962-01-06,Just Got To Know,Jimmy McCracklin,75.0,67.0,4.0,Jimmy McCracklin
68,1962-01-06,Fool #1,Brenda Lee,28.0,3.0,14.0,Brenda Lee
69,1962-01-06,Walkin' With My Angel,Bobby Vee,74.0,69.0,6.0,Bobby Vee
70,1962-01-06,Soothe Me,Sims Twins,53.0,42.0,8.0,Sims Twins
71,1962-01-06,It Will Stand,The Showmen,78.0,67.0,8.0,The Showmen
72,1962-01-06,I Understand (Just How You Feel),The G-Clefs,38.0,9.0,16.0,The G-Clefs
73,1962-01-06,Alvin's Harmonica,David Seville And The Chipmunks,84.0,3.0,14.0,David Seville And The Chipmunks
74,1962-01-06,Unsquare Dance,The Dave Brubeck Quartet,82.0,74.0,5.0,The Dave Brubeck Quartet
75,1962-01-06,Language Of Love,John D. Loudermilk,59.0,32.0,9.0,John D. Loudermilk
76,1962-01-06,Please Come Home For Christmas,Charles Brown,85.0,76.0,2.0,Charles Brown
77,1962-01-06,Let's Go Trippin',Dick Dale and The Del-Tones,86.0,77.0,6.0,Dick Dale and The Del-Tones
78,1962-01-06,Tuff,Ace Cannon,92.0,78.0,2.0,Ace Cannon
79,1962-01-06,The Majestic,Dion,54.0,36.0,5.0,Dion
80,1962-01-06,I Could Have Loved You So Well,Ray Peterson,89.0,80.0,3.0,Ray Peterson
81,1962-01-06,Twistin' All Night Long,Danny & The Juniors with Freddy Cannon,,,,Danny Featuring The Juniors Featuring Freddy Cannon
82,1962-01-06,Go On Home,Patti Page,91.0,82.0,2.0,Patti Page
83,1962-01-06,Smoky Places,"The Corsairs Featuring Jay ""Bird"" Uzzell",95.0,83.0,2.0,"The Corsairs Featuring Jay ""Bird"" Uzzell"
