Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,2008-01-05,Low,Flo Rida Featuring T-Pain,2.0,1.0,9.0,Flo Rida Featuring T-Pain
2,2008-01-05,No One,Alicia Keys,1.0,1.0,16.0,Alicia Keys
3,2008-01-05,Apologize,Timbaland Featuring OneRepublic,3.0,2.0,21.0,Timbaland Featuring OneRepublic
4,2008-01-05,Kiss Kiss,Chris Brown Featuring T-Pain,4.0,1.0,15.0,Chris Brown Featuring T-Pain
5,2008-01-05,Clumsy,Fergie,5.0,5.0,11.0,Fergie
6,2008-01-05,Paralyzer,Finger Eleven,7.0,6.0,29.0,Finger Eleven
7,2008-01-05,Bubbly,Colbie Caillat,6.0,5.0,26.0,Colbie Caillat
8,2008-01-05,Tattoo,Jordin Sparks,8.0,8.0,13.0,Jordin Sparks
9,2008-01-05,Love Song,Sara Bareilles,16.0,9.0,8.0,Sara Bareilles
10,2008-01-05,Hate That I Love You,Rihanna Featuring Ne-Yo,9.0,7.0,17.0,Rihanna Featuring Ne-Yo
11,2008-01-05,Crank That (Soulja Boy),Soulja Boy Tell'em,11.0,1.0,24.0,Soulja Boy Tell'em
12,2008-01-05,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",23.0,12.0,15.0,Wyclef Jean Featuring Akon Featuring Lil Wayne Featuring Niia
13,2008-01-05,Cyclone,Baby Bash Featuring T-Pain,12.0,7.0,22.0,Baby Bash Featuring T-Pain
14,2008-01-05,Good Life,Kanye West Featuring T-Pain,10.0,7.0,15.0,Kanye West Featuring T-Pain
15,2008-01-05,Take You There,Sean Kingston,18.0,15.0,8.0,Sean Kingston
16,2008-01-05,With You,Chris Brown,25.0,16.0,4.0,Chris Brown
17,2008-01-05,Hypnotized,Plies Featuring Akon,14.0,14.0,13.0,Plies Featuring Akon
18,2008-01-05,Love Like This,Natasha Bedingfield Featuring Sean Kingston,19.0,18.0,10.0,Natasha Bedingfield Featuring Sean Kingston
19,2008-01-05,Like You'll Never See Me Again,Alicia Keys,13.0,13.0,7.0,Alicia Keys
20,2008-01-05,Stronger,Kanye West,17.0,1.0,22.0,Kanye West
21,2008-01-05,Piece Of Me,Britney Spears,45.0,21.0,8.0,Britney Spears
22,2008-01-05,Just Fine,Mary J. Blige,26.0,22.0,10.0,Mary J. Blige
23,2008-01-05,Teardrops On My Guitar,Taylor Swift,24.0,23.0,29.0,Taylor Swift
24,2008-01-05,Can't Help But Wait,Trey Songz,15.0,14.0,14.0,Trey Songz
25,2008-01-05,The Way I Are,Timbaland Featuring Keri Hilson,20.0,3.0,30.0,Timbaland Featuring Keri Hilson
26,2008-01-05,Our Song,Taylor Swift,21.0,21.0,13.0,Taylor Swift
27,2008-01-05,Sensual Seduction,Snoop Dogg,37.0,27.0,4.0,Snoop Dogg
28,2008-01-05,Shadow Of The Day,Linkin Park,29.0,28.0,7.0,Linkin Park
29,2008-01-05,Duffle Bag Boy,Playaz Circle Featuring Lil Wayne,22.0,15.0,14.0,Playaz Circle Featuring Lil Wayne
30,2008-01-05,How Far We've Come,matchbox twenty,27.0,11.0,17.0,matchbox twenty
31,2008-01-05,Misery Business,Paramore,35.0,31.0,23.0,Paramore
32,2008-01-05,I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,34.0,26.0,16.0,Good Charlotte
33,2008-01-05,Into The Night,Santana Featuring Chad Kroeger,30.0,30.0,12.0,Santana Featuring Chad Kroeger
34,2008-01-05,Don't Stop The Music,Rihanna,47.0,34.0,5.0,Rihanna
35,2008-01-05,Suffocate,J. Holiday,41.0,35.0,7.0,J. Holiday
36,2008-01-05,Flashing Lights,Kanye West Featuring Dwele,39.0,36.0,5.0,Kanye West Featuring Dwele
37,2008-01-05,Over You,Daughtry,31.0,18.0,20.0,Daughtry
38,2008-01-05,I'm So Hood,"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",28.0,19.0,15.0,"DJ Khaled Featuring T-Pain Featuring Trick Daddy, Rick Ross Featuring Plies"
39,2008-01-05,Big Girls Don't Cry,Fergie,36.0,1.0,36.0,Fergie
40,2008-01-05,Wake Up Call,Maroon 5,42.0,19.0,20.0,Maroon 5
41,2008-01-05,Girlfriend,Bow Wow & Omarion,33.0,33.0,8.0,Bow Wow Featuring Omarion
42,2008-01-05,Pop Bottles,Birdman Featuring Lil Wayne,46.0,42.0,8.0,Birdman Featuring Lil Wayne
43,2008-01-05,Until The End Of Time,Justin Timberlake Duet With Beyonce,38.0,17.0,25.0,Justin Timberlake Duet Featuring Beyonce
44,2008-01-05,Stay,Sugarland,40.0,32.0,11.0,Sugarland
45,2008-01-05,Rockstar,Nickelback,49.0,6.0,46.0,Nickelback
46,2008-01-05,Bed,J. Holiday,43.0,5.0,23.0,J. Holiday
47,2008-01-05,If I Had Eyes,Jack Johnson,63.0,47.0,2.0,Jack Johnson
48,2008-01-05,Sorry,Buckcherry,59.0,48.0,3.0,Buckcherry
49,2008-01-05,Who Knew,P!nk,44.0,9.0,29.0,P!nk
50,2008-01-05,Shawty Is A 10,The-Dream,32.0,17.0,16.0,The-Dream
51,2008-01-05,Shoulda Let You Go,Keyshia Cole Introducing Amina,50.0,41.0,13.0,Keyshia Cole Introducing Amina
52,2008-01-05,Get Buck In Here,"DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon",51.0,41.0,7.0,"DJ Felli Fel Featuring Diddy, Akon Featuring Ludacris Featuring Lil Jon"
53,2008-01-05,"Ready, Set, Don't Go",Billy Ray Cyrus With Miley Cyrus,58.0,53.0,14.0,Billy Ray Cyrus Featuring Miley Cyrus
54,2008-01-05,Don't Blink,Kenny Chesney,48.0,29.0,16.0,Kenny Chesney
55,2008-01-05,The Pretender,Foo Fighters,60.0,37.0,20.0,Foo Fighters
56,2008-01-05,Fake It,Seether,61.0,56.0,12.0,Seether
57,2008-01-05,Hero/Heroine,Boys Like Girls,79.0,57.0,3.0,Boys Like Girls
58,2008-01-05,Independent,Webbie Featuring Lil' Phat & Lil' Boosie,64.0,58.0,5.0,Webbie Featuring Lil' Phat & Lil' Boosie
59,2008-01-05,Soulja Girl,Soulja Boy Tell'em Featuring I-15,52.0,32.0,12.0,Soulja Boy Tell'em Featuring I-15
60,2008-01-05,See You Again,Miley Cyrus,78.0,60.0,3.0,Miley Cyrus
61,2008-01-05,Calabria 2008,Enur Featuring Natasja,68.0,61.0,6.0,Enur Featuring Natasja
62,2008-01-05,This Christmas,Chris Brown,74.0,62.0,5.0,Chris Brown
63,2008-01-05,My Drink N' My 2 Step,Cassidy Featuring Swizz Beatz,55.0,33.0,15.0,Cassidy Featuring Swizz Beatz
64,2008-01-05,Superstar,Lupe Fiasco Featuring Matthew Santos,76.0,64.0,2.0,Lupe Fiasco Featuring Matthew Santos
65,2008-01-05,Gimme More,Britney Spears,69.0,3.0,16.0,Britney Spears
66,2008-01-05,1234,Feist,70.0,8.0,13.0,Feist
67,2008-01-05,Ayo Technology,50 Cent Featuring Justin Timberlake & Timbaland,54.0,5.0,20.0,50 Cent Featuring Justin Timberlake Featuring Timbaland
68,2008-01-05,So Small,Carrie Underwood,57.0,17.0,19.0,Carrie Underwood
69,2008-01-05,Letter To Me,Brad Paisley,65.0,63.0,6.0,Brad Paisley
70,2008-01-05,The Chipmunk Song (Christmas Don't Be Late) (2007),Alvin And The Chipmunks,,,,Alvin And The Chipmunks
71,2008-01-05,Firecracker,Josh Turner,53.0,50.0,15.0,Josh Turner
72,2008-01-05,Baby Don't Go,Fabolous Featuring Jermaine Dupri,67.0,23.0,17.0,Fabolous Featuring Jermaine Dupri
73,2008-01-05,Won't Go Home Without You,Maroon 5,84.0,73.0,2.0,Maroon 5
74,2008-01-05,Winner At A Losing Game,Rascal Flatts,66.0,61.0,9.0,Rascal Flatts
75,2008-01-05,What Do Ya Think About That,Montgomery Gentry,62.0,59.0,12.0,Montgomery Gentry
76,2008-01-05,How 'Bout Them Cowgirls,George Strait,56.0,49.0,16.0,George Strait
77,2008-01-05,Watching Airplanes,Gary Allan,73.0,73.0,9.0,Gary Allan
78,2008-01-05,Work That,Mary J. Blige,100.0,65.0,4.0,Mary J. Blige
79,2008-01-05,Stop And Stare,OneRepublic,98.0,79.0,2.0,OneRepublic
80,2008-01-05,Crying Out For Me,Mario,75.0,75.0,4.0,Mario
81,2008-01-05,Everybody,Keith Urban,71.0,66.0,12.0,Keith Urban
82,2008-01-05,Freaky Gurl,Gucci Mane,77.0,62.0,14.0,Gucci Mane
83,2008-01-05,crushcrushcrush,Paramore,93.0,83.0,2.0,Paramore
84,2008-01-05,I Remember,Keyshia Cole,80.0,80.0,2.0,Keyshia Cole
85,2008-01-05,S.O.S.,Jonas Brothers,91.0,17.0,20.0,Jonas Brothers
86,2008-01-05,Pictures Of You,The Last Goodnight,83.0,77.0,11.0,The Last Goodnight
87,2008-01-05,The Way I Am,Ingrid Michaelson,88.0,37.0,9.0,Ingrid Michaelson
88,2008-01-05,Cleaning This Gun (Come On In Boy),Rodney Atkins,89.0,88.0,5.0,Rodney Atkins
89,2008-01-05,Fly Like Me,Chingy Featuring Amerie,,,,Chingy Featuring Amerie
90,2008-01-05,Do You Hear What I Hear,Carrie Underwood,,,,Carrie Underwood
91,2008-01-05,Me Enamora,Juanes,97.0,69.0,14.0,Juanes
92,2008-01-05,The Anthem,Pitbull Featuring Lil Jon,,,,Pitbull Featuring Lil Jon
93,2008-01-05,Falling In Love At A Coffee Shop,Landon Pigg,,,,Landon Pigg
94,2008-01-05,What Is It,Baby Bash Featuring Sean Kingston,,,,Baby Bash Featuring Sean Kingston
95,2008-01-05,International Harvester,Craig Morgan,96.0,95.0,4.0,Craig Morgan
96,2008-01-05,Stealing Cinderella,Chuck Wicks,94.0,90.0,6.0,Chuck Wicks
97,2008-01-05,He Said She Said,Ashley Tisdale,,77.0,3.0,Ashley Tisdale
98,2008-01-05,Fall,Clay Walker,81.0,55.0,16.0,Clay Walker
99,2008-01-05,Nothin' Better To Do,LeAnn Rimes,85.0,73.0,13.0,LeAnn Rimes
100,2008-01-05,Go Girl,Pitbull Featuring Trina & Young Boss,,92.0,3.0,Pitbull Featuring Trina Featuring Young Boss
1,2008-01-12,Low,Flo Rida Featuring T-Pain,1.0,1.0,10.0,Flo Rida Featuring T-Pain
2,2008-01-12,No One,Alicia Keys,2.0,1.0,17.0,Alicia Keys
3,2008-01-12,Apologize,Timbaland Featuring OneRepublic,3.0,2.0,22.0,Timbaland Featuring OneRepublic
4,2008-01-12,Kiss Kiss,Chris Brown Featuring T-Pain,4.0,1.0,16.0,Chris Brown Featuring T-Pain
5,2008-01-12,Crank That (Soulja Boy),Soulja Boy Tell'em,11.0,1.0,25.0,Soulja Boy Tell'em
6,2008-01-12,Clumsy,Fergie,5.0,5.0,12.0,Fergie
7,2008-01-12,Bubbly,Colbie Caillat,7.0,5.0,27.0,Colbie Caillat
8,2008-01-12,Paralyzer,Finger Eleven,6.0,6.0,30.0,Finger Eleven
9,2008-01-12,Love Song,Sara Bareilles,9.0,9.0,9.0,Sara Bareilles
10,2008-01-12,Tattoo,Jordin Sparks,8.0,8.0,14.0,Jordin Sparks
11,2008-01-12,Cyclone,Baby Bash Featuring T-Pain,13.0,7.0,23.0,Baby Bash Featuring T-Pain
12,2008-01-12,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",12.0,12.0,16.0,Wyclef Jean Featuring Akon Featuring Lil Wayne Featuring Niia
13,2008-01-12,Take You There,Sean Kingston,15.0,13.0,9.0,Sean Kingston
14,2008-01-12,Stronger,Kanye West,20.0,1.0,23.0,Kanye West
15,2008-01-12,Hate That I Love You,Rihanna Featuring Ne-Yo,10.0,7.0,18.0,Rihanna Featuring Ne-Yo
16,2008-01-12,Good Life,Kanye West Featuring T-Pain,14.0,7.0,16.0,Kanye West Featuring T-Pain
17,2008-01-12,Our Song,Taylor Swift,26.0,17.0,14.0,Taylor Swift
18,2008-01-12,With You,Chris Brown,16.0,16.0,5.0,Chris Brown
19,2008-01-12,Teardrops On My Guitar,Taylor Swift,23.0,19.0,30.0,Taylor Swift
20,2008-01-12,Love Like This,Natasha Bedingfield Featuring Sean Kingston,18.0,18.0,11.0,Natasha Bedingfield Featuring Sean Kingston
21,2008-01-12,Big Girls Don't Cry,Fergie,39.0,1.0,37.0,Fergie
22,2008-01-12,Hypnotized,Plies Featuring Akon,17.0,14.0,14.0,Plies Featuring Akon
23,2008-01-12,Rockstar,Nickelback,45.0,6.0,47.0,Nickelback
24,2008-01-12,How Far We've Come,matchbox twenty,30.0,11.0,18.0,matchbox twenty
25,2008-01-12,I Don't Wanna Be In Love (Dance Floor Anthem),Good Charlotte,32.0,25.0,17.0,Good Charlotte
26,2008-01-12,Misery Business,Paramore,31.0,26.0,24.0,Paramore
27,2008-01-12,Shadow Of The Day,Linkin Park,28.0,27.0,8.0,Linkin Park
28,2008-01-12,Piece Of Me,Britney Spears,21.0,21.0,9.0,Britney Spears
29,2008-01-12,The Way I Are,Timbaland Featuring Keri Hilson,25.0,3.0,31.0,Timbaland Featuring Keri Hilson
30,2008-01-12,Into The Night,Santana Featuring Chad Kroeger,33.0,30.0,13.0,Santana Featuring Chad Kroeger
31,2008-01-12,Over You,Daughtry,37.0,18.0,21.0,Daughtry
32,2008-01-12,I'm So Hood,"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",38.0,19.0,16.0,"DJ Khaled Featuring T-Pain Featuring Trick Daddy, Rick Ross Featuring Plies"
33,2008-01-12,Don't Stop The Music,Rihanna,34.0,33.0,6.0,Rihanna
34,2008-01-12,Just Fine,Mary J. Blige,22.0,22.0,11.0,Mary J. Blige
35,2008-01-12,Duffle Bag Boy,Playaz Circle Featuring Lil Wayne,29.0,15.0,15.0,Playaz Circle Featuring Lil Wayne
