Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,2017-01-07,Starboy,The Weeknd Featuring Daft Punk,2.0,1.0,14.0,The Weeknd Featuring Daft Punk
2,2017-01-07,Black Beatles,Rae Sremmurd Featuring Gucci Mane,1.0,1.0,15.0,Rae Sremmurd Featuring Gucci Mane
3,2017-01-07,Closer,The Chainsmokers Featuring Halsey,3.0,1.0,21.0,The Chainsmokers Featuring Halsey
4,2017-01-07,24K Magic,Bruno Mars,4.0,4.0,11.0,Bruno Mars
5,2017-01-07,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zayion McCall,8.0,5.0,13.0,Zay Hilfigerrr Featuring Zayion McCall
6,2017-01-07,Side To Side,Ariana Grande Featuring Nicki Minaj,5.0,4.0,17.0,Ariana Grande Featuring Nicki Minaj
7,2017-01-07,Let Me Love You,DJ Snake Featuring Justin Bieber,9.0,4.0,20.0,DJ Snake Featuring Justin Bieber
8,2017-01-07,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,10.0,7.0,11.0,Maroon 5 Featuring Kendrick Lamar
9,2017-01-07,Bad Things,Machine Gun Kelly x Camila Cabello,14.0,9.0,8.0,Machine Gun Kelly Featuring Camila Cabello
10,2017-01-07,Fake Love,Drake,12.0,10.0,9.0,Drake
11,2017-01-07,Caroline,Amine,16.0,11.0,16.0,Amine
12,2017-01-07,Heathens,twenty one pilots,15.0,2.0,27.0,twenty one pilots
13,2017-01-07,Bad And Boujee,Migos Featuring Lil Uzi Vert,26.0,13.0,6.0,Migos Featuring Lil Uzi Vert
14,2017-01-07,Scars To Your Beautiful,Alessia Cara,18.0,13.0,17.0,Alessia Cara
15,2017-01-07,Broccoli,D.R.A.M. Featuring Lil Yachty,17.0,5.0,28.0,D.R.A.M. Featuring Lil Yachty
16,2017-01-07,All I Want For Christmas Is You,Mariah Carey,20.0,11.0,18.0,Mariah Carey
17,2017-01-07,Starving,Hailee Steinfeld & Grey Featuring Zedd,19.0,12.0,21.0,Hailee Steinfeld Featuring Grey Featuring Zedd
18,2017-01-07,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,6.0,6.0,2.0,Zayn / Taylor Swift
19,2017-01-07,OOOUUU,Young M.A,47.0,19.0,17.0,Young M.A
20,2017-01-07,Love On The Brain,Rihanna,27.0,20.0,10.0,Rihanna
21,2017-01-07,Bounce Back,Big Sean,31.0,21.0,7.0,Big Sean
22,2017-01-07,The Greatest,Sia Featuring Kendrick Lamar,28.0,18.0,16.0,Sia Featuring Kendrick Lamar
23,2017-01-07,Hallelujah,Pentatonix,45.0,23.0,9.0,Pentatonix
24,2017-01-07,All Time Low,Jon Bellion,36.0,24.0,11.0,Jon Bellion
25,2017-01-07,I Feel It Coming,The Weeknd Featuring Daft Punk,33.0,22.0,5.0,The Weeknd Featuring Daft Punk
26,2017-01-07,Treat You Better,Shawn Mendes,32.0,6.0,29.0,Shawn Mendes
27,2017-01-07,Rockin' Around The Christmas Tree,Brenda Lee,48.0,14.0,18.0,Brenda Lee
28,2017-01-07,Mercy,Shawn Mendes,44.0,28.0,14.0,Shawn Mendes
29,2017-01-07,Jingle Bell Rock,Bobby Helms,46.0,29.0,19.0,Bobby Helms
30,2017-01-07,In The Name Of Love,Martin Garrix & Bebe Rexha,35.0,24.0,19.0,Martin Garrix Featuring Bebe Rexha
31,2017-01-07,I Hate U I Love U,gnash Featuring Olivia O'Brien,25.0,10.0,36.0,gnash Featuring Olivia O'Brien
32,2017-01-07,Can't Stop The Feeling!,Justin Timberlake,39.0,1.0,33.0,Justin Timberlake
33,2017-01-07,Blue Ain't Your Color,Keith Urban,38.0,24.0,15.0,Keith Urban
34,2017-01-07,Don't Let Me Down,The Chainsmokers Featuring Daya,43.0,3.0,45.0,The Chainsmokers Featuring Daya
35,2017-01-07,Deja Vu,J. Cole,7.0,7.0,2.0,J. Cole
36,2017-01-07,Cheap Thrills,Sia Featuring Sean Paul,41.0,1.0,45.0,Sia Featuring Sean Paul
37,2017-01-07,This Town,Niall Horan,50.0,25.0,13.0,Niall Horan
