Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,2002-01-05,How You Remind Me,Nickelback,1.0,1.0,18.0,Nickelback
2,2002-01-05,U Got It Bad,Usher,2.0,1.0,16.0,Usher
3,2002-01-05,Family Affair,Mary J. Blige,3.0,1.0,24.0,Mary J. Blige
4,2002-01-05,Get The Party Started,P!nk,4.0,4.0,11.0,P!nk
5,2002-01-05,Always On Time,Ja Rule Featuring Ashanti,7.0,5.0,8.0,Ja Rule Featuring Ashanti
6,2002-01-05,My Sacrifice,Creed,9.0,6.0,11.0,Creed
7,2002-01-05,"Whenever, Wherever",Shakira,6.0,6.0,11.0,Shakira
8,2002-01-05,Hero,Enrique Iglesias,5.0,3.0,15.0,Enrique Iglesias
9,2002-01-05,Differences,Ginuwine,8.0,4.0,24.0,Ginuwine
10,2002-01-05,A Woman's Worth,Alicia Keys,11.0,10.0,11.0,Alicia Keys
11,2002-01-05,Livin' It Up,Ja Rule Featuring Case,10.0,6.0,19.0,Ja Rule Featuring Case
12,2002-01-05,Gone,'N Sync,13.0,11.0,16.0,'N Sync
13,2002-01-05,Wherever You Will Go,The Calling,15.0,13.0,9.0,The Calling
14,2002-01-05,Rock The Boat,Aaliyah,16.0,14.0,18.0,Aaliyah
15,2002-01-05,In The End,Linkin Park,26.0,15.0,10.0,Linkin Park
16,2002-01-05,I Do!!,Toya,17.0,16.0,32.0,Toya
17,2002-01-05,Turn Off The Light,Nelly Furtado,12.0,5.0,21.0,Nelly Furtado
18,2002-01-05,We Thuggin',Fat Joe Featuring R. Kelly,22.0,18.0,11.0,Fat Joe Featuring R. Kelly
19,2002-01-05,Butterflies,Michael Jackson,21.0,19.0,8.0,Michael Jackson
20,2002-01-05,Hey Baby,No Doubt Featuring Bounty Killer,27.0,20.0,5.0,No Doubt Featuring Bounty Killer
21,2002-01-05,Superman (It's Not Easy),Five For Fighting,14.0,14.0,19.0,Five For Fighting
22,2002-01-05,Caramel,City High Featuring Eve,23.0,19.0,13.0,City High Featuring Eve
23,2002-01-05,Only Time,Enya,19.0,10.0,26.0,Enya
24,2002-01-05,Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,20.0,20.0,12.0,Aaron Tippin
25,2002-01-05,#1,Nelly,25.0,22.0,12.0,Nelly
