Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,1995-01-07,On Bended Knee,Boyz II Men,1.0,1.0,8.0,Boyz II Men
2,1995-01-07,Creep,TLC,4.0,2.0,9.0,TLC
3,1995-01-07,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,2.0,1.0,17.0,Ini Kamoze
4,1995-01-07,Another Night,Real McCoy,3.0,3.0,20.0,Real McCoy
5,1995-01-07,Always,Bon Jovi,5.0,4.0,15.0,Bon Jovi
6,1995-01-07,I Wanna Be Down,Brandy,6.0,6.0,15.0,Brandy
7,1995-01-07,Before I Let You Go,BLACKstreet,8.0,7.0,12.0,BLACKstreet
8,1995-01-07,Tootsee Roll,69 Boyz,9.0,8.0,27.0,69 Boyz
9,1995-01-07,I'll Make Love To You,Boyz II Men,7.0,1.0,22.0,Boyz II Men
10,1995-01-07,You Want This/70's Love Groove,Janet Jackson,11.0,8.0,12.0,Janet Jackson
11,1995-01-07,I'm The Only One,Melissa Etheridge,10.0,10.0,23.0,Melissa Etheridge
12,1995-01-07,Take A Bow,Madonna,14.0,12.0,4.0,Madonna
13,1995-01-07,Sukiyaki,4PM,13.0,13.0,17.0,4PM
14,1995-01-07,Short Dick Man,20 Fingers Featuring Gillette,15.0,14.0,18.0,20 Fingers Featuring Gillette
15,1995-01-07,Secret,Madonna,12.0,3.0,14.0,Madonna
16,1995-01-07,You Gotta Be,Des'ree,16.0,16.0,19.0,Des'ree
17,1995-01-07,All I Wanna Do,Sheryl Crow,17.0,2.0,23.0,Sheryl Crow
18,1995-01-07,Practice What You Preach,Barry White,19.0,18.0,14.0,Barry White
19,1995-01-07,Constantly,Immature,29.0,19.0,7.0,Immature
20,1995-01-07,"Turn The Beat Around (From ""The Specialist"")",Gloria Estefan,18.0,13.0,16.0,Gloria Estefan
21,1995-01-07,The Rhythm Of The Night,Corona,22.0,21.0,9.0,Corona
22,1995-01-07,You Don't Know How It Feels,Tom Petty,24.0,22.0,6.0,Tom Petty
23,1995-01-07,I'll Stand By You,Pretenders,20.0,16.0,22.0,Pretenders
24,1995-01-07,The Sweetest Days,Vanessa Williams,23.0,23.0,9.0,Vanessa Williams
25,1995-01-07,Hold My Hand,Hootie & The Blowfish,25.0,25.0,14.0,Hootie Featuring The Blowfish
26,1995-01-07,100% Pure Love,Crystal Waters,21.0,11.0,33.0,Crystal Waters
27,1995-01-07,"New Age Girl (From ""Dumb And Dumber"")",Deadeye Dick,31.0,27.0,20.0,Deadeye Dick
28,1995-01-07,Every Day Of The Week,Jade,28.0,28.0,7.0,Jade
29,1995-01-07,"December 1963 (Oh, What A Night)",The 4 Seasons,26.0,14.0,22.0,The 4 Seasons
30,1995-01-07,I Belong To You/How Many Ways,Toni Braxton,33.0,30.0,15.0,Toni Braxton
31,1995-01-07,Flava In Ya Ear,Craig Mack,35.0,9.0,22.0,Craig Mack
32,1995-01-07,Living In Danger,Ace Of Base,27.0,20.0,12.0,Ace Of Base
33,1995-01-07,Be Happy,Mary J. Blige,34.0,29.0,10.0,Mary J. Blige
34,1995-01-07,If You Love Me,Brownstone,41.0,34.0,5.0,Brownstone
35,1995-01-07,Thuggish Ruggish Bone,Bone Thugs-N-Harmony,39.0,22.0,17.0,Bone Thugs-N-Harmony
36,1995-01-07,"What's The Frequency, Kenneth?",R.E.M.,32.0,21.0,16.0,R.E.M.
37,1995-01-07,I Never Seen A Man Cry (aka I Seen A Man Die),Scarface,40.0,37.0,8.0,Scarface
38,1995-01-07,Never Lie,Immature,30.0,5.0,24.0,Immature
39,1995-01-07,When Can I See You,Babyface,36.0,4.0,30.0,Babyface
40,1995-01-07,Playaz Club,Rappin' 4-Tay,42.0,36.0,16.0,Rappin' 4-Tay
41,1995-01-07,"U Will Know (From ""Jason's Lyric"")",B.M.U. (Black Men United),49.0,28.0,14.0,B.M.U. Black Men United
42,1995-01-07,Do You See,Warren G,51.0,42.0,6.0,Warren G
43,1995-01-07,Foolin' Around,Changing Faces,47.0,43.0,8.0,Changing Faces
44,1995-01-07,I Miss You,N2U,44.0,44.0,6.0,N2U
45,1995-01-07,Bring The Pain,Method Man,45.0,45.0,9.0,Method Man
46,1995-01-07,Wild Night,John Mellencamp With Me'Shell Ndegeocello,37.0,3.0,33.0,John Mellencamp Featuring Me'Shell Ndegeocello
47,1995-01-07,"Shame (From ""A Low Down Dirty Shame"")",Zhane,38.0,28.0,7.0,Zhane
48,1995-01-07,Blind Man,Aerosmith,48.0,48.0,9.0,Aerosmith
49,1995-01-07,Fa All Y'all,Da Brat,52.0,37.0,13.0,Da Brat
50,1995-01-07,When We Dance,Sting,43.0,38.0,11.0,Sting
51,1995-01-07,Far Behind,Candlebox,50.0,18.0,20.0,Candlebox
52,1995-01-07,Mental Picture,Jon Secada,46.0,46.0,7.0,Jon Secada
53,1995-01-07,House Of Love,Amy Grant With Vince Gill,56.0,53.0,7.0,Amy Grant Featuring Vince Gill
54,1995-01-07,The Most Beautifullest Thing In This World,Keith Murray,53.0,50.0,12.0,Keith Murray
55,1995-01-07,"Sympathy For The Devil (""Interview With The Vampire"")",Guns N' Roses,62.0,55.0,2.0,Guns N' Roses
56,1995-01-07,"Circle Of Life (From ""The Lion King"")",Elton John,55.0,18.0,20.0,Elton John
57,1995-01-07,Black Coffee,Heavy D & The Boyz,60.0,57.0,10.0,Heavy D Featuring The Boyz
58,1995-01-07,Kitty Kitty,69 Boyz,66.0,58.0,5.0,69 Boyz
59,1995-01-07,Always And Forever,Luther Vandross,59.0,59.0,5.0,Luther Vandross
60,1995-01-07,Pickup Man,Joe Diffie,68.0,60.0,3.0,Joe Diffie
61,1995-01-07,Lucas With The Lid Off,Lucas,57.0,29.0,15.0,Lucas
62,1995-01-07,Dance Naked,John Mellencamp,54.0,41.0,11.0,John Mellencamp
63,1995-01-07,Juicy/Unbelievable,The Notorious B.I.G.,63.0,27.0,20.0,The Notorious B.I.G.
64,1995-01-07,Mishale,Andru Donalds,64.0,64.0,5.0,Andru Donalds
65,1995-01-07,Get Ready For This,2 Unlimited,65.0,65.0,17.0,2 Unlimited
66,1995-01-07,Something's Always Wrong,Toad The Wet Sprocket,58.0,41.0,15.0,Toad The Wet Sprocket
67,1995-01-07,Get Down,Craig Mack,73.0,67.0,2.0,Craig Mack
68,1995-01-07,Doll Parts,Hole,61.0,61.0,5.0,Hole
69,1995-01-07,At Your Best (You Are Love),Aaliyah,67.0,6.0,19.0,Aaliyah
