Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,2019-01-05,"Thank U, Next",Ariana Grande,1.0,1.0,8.0,Ariana Grande
2,2019-01-05,Without Me,Halsey,2.0,2.0,12.0,Halsey
3,2019-01-05,All I Want For Christmas Is You,Mariah Carey,7.0,3.0,30.0,Mariah Carey
4,2019-01-05,Sicko Mode,Travis Scott,3.0,1.0,21.0,Travis Scott
5,2019-01-05,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,4.0,4.0,10.0,Post Malone Featuring Swae Lee
6,2019-01-05,High Hopes,Panic! At The Disco,6.0,5.0,21.0,Panic! At The Disco
7,2019-01-05,Happier,Marshmello & Bastille,5.0,3.0,19.0,Marshmello & Bastille
8,2019-01-05,Jingle Bell Rock,Bobby Helms,13.0,8.0,25.0,Bobby Helms
9,2019-01-05,Rockin' Around The Christmas Tree,Brenda Lee,11.0,9.0,27.0,Brenda Lee
10,2019-01-05,A Holly Jolly Christmas,Burl Ives,12.0,10.0,10.0,Burl Ives
11,2019-01-05,The Christmas Song (Merry Christmas To You),Nat King Cole,17.0,11.0,17.0,Nat King Cole
12,2019-01-05,Drip Too Hard,Lil Baby & Gunna,9.0,4.0,15.0,Lil Baby Featuring Gunna
13,2019-01-05,It's The Most Wonderful Time Of The Year,Andy Williams,10.0,10.0,10.0,Andy Williams
14,2019-01-05,Girls Like You,Maroon 5 Featuring Cardi B,15.0,1.0,31.0,Maroon 5 Featuring Cardi B
15,2019-01-05,ZEZE,Kodak Black Featuring Travis Scott & Offset,8.0,2.0,11.0,Kodak Black Featuring Travis Scott Featuring Offset
16,2019-01-05,Rudolph The Red-Nosed Reindeer,Gene Autry,28.0,16.0,4.0,Gene Autry
17,2019-01-05,Mo Bamba,Sheck Wes,16.0,6.0,18.0,Sheck Wes
18,2019-01-05,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,14.0,11.0,15.0,Gucci Mane Featuring Bruno Mars Featuring Kodak Black
19,2019-01-05,Money,Cardi B,30.0,13.0,10.0,Cardi B
20,2019-01-05,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,32.0,20.0,4.0,Dean Martin
21,2019-01-05,Eastside,"benny blanco, Halsey & Khalid",18.0,16.0,24.0,benny blanco Featuring Halsey Featuring Khalid
22,2019-01-05,Breathin,Ariana Grande,19.0,12.0,19.0,Ariana Grande
23,2019-01-05,Better Now,Post Malone,21.0,3.0,35.0,Post Malone
24,2019-01-05,Youngblood,5 Seconds Of Summer,20.0,7.0,30.0,5 Seconds Of Summer
25,2019-01-05,Last Christmas,Wham!,27.0,25.0,9.0,Wham!
26,2019-01-05,Sleigh Ride,The Ronettes,33.0,26.0,3.0,The Ronettes
27,2019-01-05,Lucid Dreams,Juice WRLD,23.0,2.0,33.0,Juice WRLD
28,2019-01-05,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,35.0,28.0,3.0,Gene Autry
29,2019-01-05,Feliz Navidad,Jose Feliciano,34.0,29.0,5.0,Jose Feliciano
30,2019-01-05,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",25.0,11.0,13.0,DJ Snake Featuring Selena Gomez Featuring Ozuna Featuring Cardi B
31,2019-01-05,MIA,Bad Bunny Featuring Drake,26.0,5.0,11.0,Bad Bunny Featuring Drake
32,2019-01-05,(There's No Place Like) Home For The Holidays,Perry Como,41.0,32.0,2.0,Perry Como
33,2019-01-05,Leave Me Alone,Flipp Dinero,31.0,27.0,15.0,Flipp Dinero
34,2019-01-05,White Christmas,Bing Crosby,48.0,12.0,15.0,Bing Crosby
35,2019-01-05,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,42.0,35.0,2.0,Perry Como And The Fontane Sisters Featuring Mitchell Ayres And His Orchestra
36,2019-01-05,Going Bad,Meek Mill Featuring Drake,22.0,6.0,4.0,Meek Mill Featuring Drake
37,2019-01-05,A Lot,21 Savage,,,,21 Savage
38,2019-01-05,Trip,Ella Mai,29.0,11.0,21.0,Ella Mai
39,2019-01-05,I Like It,"Cardi B, Bad Bunny & J Balvin",40.0,1.0,38.0,Cardi B Featuring Bad Bunny Featuring J Balvin
40,2019-01-05,Blue Christmas,Elvis Presley,,,,Elvis Presley
41,2019-01-05,Speechless,Dan + Shay,36.0,33.0,16.0,Dan Featuring Shay
