Unnamed: 0,Week,Song,Artist,Last week,Peak position,Weeks on chart,Artist_fix
1,1998-01-03,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John,1.0,1.0,13.0,Elton John
2,1998-01-03,Been Around The World,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase),5.0,2.0,5.0,Puff Daddy Featuring The Family Feat. The Notorious B.I.G. & Mase
3,1998-01-03,How Do I Live,LeAnn Rimes,2.0,2.0,29.0,LeAnn Rimes
4,1998-01-03,Together Again,Janet,4.0,4.0,3.0,Janet
5,1998-01-03,My Body,LSG,6.0,4.0,10.0,LSG
6,1998-01-03,You Make Me Wanna...,Usher,3.0,2.0,20.0,Usher
7,1998-01-03,Truly Madly Deeply,Savage Garden,9.0,7.0,5.0,Savage Garden
8,1998-01-03,Feel So Good,Mase,7.0,5.0,10.0,Mase
9,1998-01-03,A Song For Mama,Boyz II Men,12.0,9.0,4.0,Boyz II Men
10,1998-01-03,Show Me Love,Robyn,8.0,7.0,8.0,Robyn
11,1998-01-03,I Will Come To You,Hanson,13.0,9.0,6.0,Hanson
12,1998-01-03,My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara,10.0,4.0,19.0,Somethin' For The People Featuring Trina Featuring Tamara
13,1998-01-03,Tubthumping,Chumbawamba,11.0,6.0,17.0,Chumbawamba
14,1998-01-03,We're Not Making Love No More,Dru Hill,16.0,14.0,4.0,Dru Hill
15,1998-01-03,I Don't Ever Want To See You Again,Uncle Sam,20.0,15.0,9.0,Uncle Sam
16,1998-01-03,The One I Gave My Heart To,Aaliyah,15.0,9.0,14.0,Aaliyah
17,1998-01-03,I Don't Want To Wait,Paula Cole,14.0,12.0,10.0,Paula Cole
18,1998-01-03,Butta Love,Next,19.0,16.0,18.0,Next
19,1998-01-03,Spice Up Your Life,Spice Girls,18.0,18.0,9.0,Spice Girls
20,1998-01-03,Sock It 2 Me,"Missy ""Misdemeanor"" Elliott Featuring Da Brat",21.0,12.0,12.0,"Missy ""Misdemeanor"" Elliott Featuring Da Brat"
21,1998-01-03,All Cried Out,Allure Featuring 112,17.0,4.0,19.0,Allure Featuring 112
22,1998-01-03,I Do,Lisa Loeb,23.0,22.0,10.0,Lisa Loeb
23,1998-01-03,How's It Going To Be,Third Eye Blind,27.0,23.0,5.0,Third Eye Blind
24,1998-01-03,Lollipop (Candyman),Aqua,29.0,24.0,4.0,Aqua
25,1998-01-03,4 Seasons Of Loneliness,Boyz II Men,24.0,1.0,15.0,Boyz II Men
26,1998-01-03,Foolish Games/You Were Meant For Me,Jewel,22.0,2.0,58.0,Jewel
27,1998-01-03,What About Us,Total,28.0,16.0,19.0,Total
28,1998-01-03,Semi-Charmed Life,Third Eye Blind,25.0,4.0,27.0,Third Eye Blind
29,1998-01-03,Quit Playing Games (With My Heart),Backstreet Boys,26.0,2.0,28.0,Backstreet Boys
30,1998-01-03,"No, No, No",Destiny's Child,35.0,30.0,6.0,Destiny's Child
31,1998-01-03,Criminal,Fiona Apple,31.0,21.0,14.0,Fiona Apple
32,1998-01-03,Going Back To Cali,The Notorious B.I.G.,37.0,32.0,5.0,The Notorious B.I.G.
33,1998-01-03,Heaven,Nu Flavor,33.0,33.0,13.0,Nu Flavor
34,1998-01-03,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,30.0,1.0,23.0,The Notorious B.I.G. Featuring Puff Daddy Featuring Mase
35,1998-01-03,All For You,Sister Hazel,34.0,11.0,26.0,Sister Hazel
36,1998-01-03,Breaking All The Rules,She Moves,32.0,32.0,9.0,She Moves
37,1998-01-03,If I Could Teach The World,Bone Thugs-N-Harmony,39.0,27.0,12.0,Bone Thugs-N-Harmony
38,1998-01-03,The Memory Remains,Metallica,43.0,28.0,6.0,Metallica
39,1998-01-03,Building A Mystery,Sarah McLachlan,36.0,13.0,18.0,Sarah McLachlan
40,1998-01-03,Honey,Mariah Carey,41.0,1.0,17.0,Mariah Carey
41,1998-01-03,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112,40.0,1.0,30.0,Puff Daddy Featuring Faith Evans Featuring 112
42,1998-01-03,No Tengo Dinero,Los Umbrellos,42.0,42.0,19.0,Los Umbrellos
43,1998-01-03,Don't Be Stupid (You Know I Love You),Shania Twain,48.0,43.0,5.0,Shania Twain
44,1998-01-03,They Like It Slow,H-Town,38.0,35.0,13.0,H-Town
45,1998-01-03,Kiss The Rain,Billie Myers,52.0,45.0,9.0,Billie Myers
46,1998-01-03,2 Become 1,Spice Girls,45.0,4.0,21.0,Spice Girls
47,1998-01-03,Invisible Man,98 Degrees,44.0,12.0,26.0,98 Degrees
48,1998-01-03,At The Beginning,Richard Marx & Donna Lewis,51.0,48.0,9.0,Richard Marx Featuring Donna Lewis
49,1998-01-03,Sunny Came Home,Shawn Colvin,46.0,7.0,26.0,Shawn Colvin
50,1998-01-03,I Care 'Bout You,Milestone,49.0,23.0,19.0,Milestone
51,1998-01-03,You Light Up My Life,LeAnn Rimes,59.0,34.0,17.0,LeAnn Rimes
52,1998-01-03,Everything,Mary J. Blige,47.0,24.0,15.0,Mary J. Blige
53,1998-01-03,32 Flavors,Alana Davis,56.0,53.0,5.0,Alana Davis
